abbreviation_id,abbreviation,full_term,source_document
ABBR-APT,APT,Advanced Persistent Threat,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-BCM,BCM,Business Continuity Management,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-BYOD,BYOD,Bring Your Own Device,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-CCTV,CCTV,Closed-Circuit Television,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-CNI,CNI,Critical National Infrastructure,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-DDoS,DDoS,Distributed Denial of Service Attack,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-DKIM,DKIM,Domain Keys Identified Mail,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-DMARC,DMARC,Domain Message Authentication Reporting and Conformance,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-DNS,DNS,Domain Name System,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-ECC,ECC,Essential Cybersecurity Controls,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-HTTPS,HTTPS,Hyper Text Transfer Protocol Secure,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-ICT,ICT,Information and Communication Technology,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-IT,IT,Information Technology,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-MFA,MFA,Multi-Factor Authentication,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-OT,OT,Operational Technology,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-SIEM,SIEM,Security Information and Event Management,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-SLA,SLA,Service Level Agreement,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
ABBR-SPF,SPF,Sender Policy Framework,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
