section_id,subpart_id,part_id,section_number,section_title,section_text,source_document
SEC-201.101,SUBPART-201.1,PART-201,201.101,Purpose.,,KB 2/USA/DFARS.pdf
SEC-201.104,SUBPART-201.1,PART-201,201.104,Applicability.,"The FAR and the Defense Federal Acquisition Regulation Supplement (DFARS) also apply to purchases and contracts by DoD contracting activities made in support of foreign military sales or North Atlantic Treaty Organization cooperative projects without regard to the nature or sources of funds obligated, unless otherwise specified in this regulation.",KB 2/USA/DFARS.pdf
SEC-201.105,SUBPART-201.1,PART-201,201.105,Issuance.,,KB 2/USA/DFARS.pdf
SEC-201.105-3,SUBPART-201.1,PART-201,201.105-3,Copies.,"The DFARS and the DFARS Procedures, Guidance, and Information (PGI) are available electronically via the World Wide Web at https://www.acq.osd.mil/dpap/dars/dfarspgi/current/index.html.",KB 2/USA/DFARS.pdf
SEC-201.106,SUBPART-201.1,PART-201,201.106,OMB approval under the Paperwork Reduction Act.,See PGI 201.106 for a list of the information collection and record keeping requirements contained in this regulation that have been approved by the Office of Management and Budget.,KB 2/USA/DFARS.pdf
SEC-201.107,SUBPART-201.1,PART-201,201.107,Certifications.,"In accordance with 41 U.S.C. 1304, a new requirement for a certification by a contractor or offeror may not be included in the DFARS unless—",KB 2/USA/DFARS.pdf
SEC-201.109,SUBPART-201.1,PART-201,201.109,Statutory acquisition-related dollar thresholds - adjustment for inflation.,,KB 2/USA/DFARS.pdf
SEC-201.170,SUBPART-201.1,PART-201,201.170,Peer reviews.,,KB 2/USA/DFARS.pdf
SEC-201.201,SUBPART-201.2,PART-201,201.201,Maintenance of the FAR.,,KB 2/USA/DFARS.pdf
SEC-201.201-1,SUBPART-201.2,PART-201,201.201-1,The two councils.,,KB 2/USA/DFARS.pdf
SEC-201.201-70,SUBPART-201.2,PART-201,201.201-70,"Maintenance of Procedures, Guidance, and Information.","The DAR Council is also responsible for maintenance of the DFARS Procedures, Guidance, and Information (PGI).",KB 2/USA/DFARS.pdf
