part_id,part_number,part_title,source_document
PART-201,201,FEDERAL ACQUISITION REGULATIONS SYSTEM,KB 2/USA/DFARS.pdf
PART-202,202,DEFINITIONS OF WORDS AND TERMS,KB 2/USA/DFARS.pdf
PART-203,203,IMPROPER BUSINESS PRACTICES AND PERSONAL CONFLICTS OF INTEREST,KB 2/USA/DFARS.pdf
PART-204,204,ADMINISTRATIVE AND INFORMATION MATTERS,KB 2/USA/DFARS.pdf
PART-205,205,PUBLICIZING CONTRACT ACTIONS,KB 2/USA/DFARS.pdf
PART-206,206,COMPETITION REQUIREMENTS,KB 2/USA/DFARS.pdf
PART-207,207,ACQUISITION PLANNING,KB 2/USA/DFARS.pdf
PART-208,208,REQUIRED SOURCES OF SUPPLIES AND SERVICES,KB 2/USA/DFARS.pdf
PART-209,209,CONTRACTOR QUALIFICATIONS,KB 2/USA/DFARS.pdf
PART-210,210,MARKET RESEARCH,KB 2/USA/DFARS.pdf
PART-211,211,DESCRIBING AGENCY NEEDS,KB 2/USA/DFARS.pdf
PART-212,212,ACQUISITION OF COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES,KB 2/USA/DFARS.pdf
PART-213,213,SIMPLIFIED ACQUISITION PROCEDURES,KB 2/USA/DFARS.pdf
PART-214,214,SEALED BIDDING,KB 2/USA/DFARS.pdf
PART-215,215,CONTRACTING BY NEGOTIATION,KB 2/USA/DFARS.pdf
PART-216,216,TYPES OF CONTRACTS,KB 2/USA/DFARS.pdf
PART-217,217,SPECIAL CONTRACTING METHODS,KB 2/USA/DFARS.pdf
PART-218,218,EMERGENCY ACQUISITIONS,KB 2/USA/DFARS.pdf
PART-219,219,SMALL BUSINESS PROGRAMS,KB 2/USA/DFARS.pdf
PART-220,220,RESERVED,KB 2/USA/DFARS.pdf
PART-221,221,RESERVED,KB 2/USA/DFARS.pdf
PART-222,222,APPLICATION OF LABOR LAWS TO GOVERNMENT ACQUISITIONS,KB 2/USA/DFARS.pdf
PART-223,223,"ENVIRONMENT, SUSTAINABLE ACQUISITION, AND MATERIAL SAFETY",KB 2/USA/DFARS.pdf
PART-224,224,PROTECTION OF PRIVACY AND FREEDOM OF INFORMATION,KB 2/USA/DFARS.pdf
PART-225,225,FOREIGN ACQUISITION,KB 2/USA/DFARS.pdf
DFARS-P226,226,OTHER SOCIOECONOMIC PROGRAMS,KB 2/USA/DFARS.pdf
DFARS-P227,227,"PATENTS, DATA, AND COPYRIGHTS",KB 2/USA/DFARS.pdf
DFARS-P228,228,BONDS AND INSURANCE,KB 2/USA/DFARS.pdf
DFARS-P229,229,TAXES,KB 2/USA/DFARS.pdf
DFARS-P230,230,COST ACCOUNTING STANDARDS,KB 2/USA/DFARS.pdf
