source_id,target_id,rel_type,cited_text
SEC-201.106,,CROSS_REFERENCES,PGI 201.106
SEC-201.106,SEC-201.106,CROSS_REFERENCES,201.106
SEC-201.602-70,,CROSS_REFERENCES,252.201-7000
SEC-203.070,SEC-209.406-3,CROSS_REFERENCES,209.406-3
SEC-203.070,SEC-209.407-3,CROSS_REFERENCES,209.407-3
SEC-203.104-1,,CROSS_REFERENCES,FAR 3.104-1
SEC-203.570-1,,CROSS_REFERENCES,PGI 203.570-1
SEC-203.570-1,SEC-203.570-1,CROSS_REFERENCES,203.570-1
SEC-203.570-2,,CROSS_REFERENCES,252.203-7001
SEC-203.570-3,,CROSS_REFERENCES,252.203-7001
SEC-203.806,,CROSS_REFERENCES,PGI 203.806(a)
SEC-203.806,SEC-203.806,CROSS_REFERENCES,203.806(a)
SEC-203.909-3,,CROSS_REFERENCES,FAR 52.203-18
SEC-203.970,,CROSS_REFERENCES,FAR part 12
SEC-204.101,,CROSS_REFERENCES,PGI 204.101
SEC-204.101,SEC-204.101,CROSS_REFERENCES,204.101
SEC-204.201,,CROSS_REFERENCES,PGI 204.201
SEC-204.201,SEC-204.201,CROSS_REFERENCES,204.201
SEC-204.402,,CROSS_REFERENCES,PGI 204.402
SEC-204.402,SEC-204.402,CROSS_REFERENCES,204.402
SEC-204.470-3,,CROSS_REFERENCES,252.204-7010
SEC-204.602,,CROSS_REFERENCES,PGI 204.602
SEC-204.602,SEC-204.602,CROSS_REFERENCES,204.602
SEC-204.606,,CROSS_REFERENCES,FAR 4.606
SEC-204.606,SEC-204.606,CROSS_REFERENCES,204.606
SEC-204.804-70,,CROSS_REFERENCES,FAR part 12
SEC-204.1103,,CROSS_REFERENCES,PGI 204.1103
SEC-204.1103,SEC-204.1103,CROSS_REFERENCES,204.1103
SEC-204.1202,,CROSS_REFERENCES,FAR 52.204-8
SEC-204.1670,,CROSS_REFERENCES,PGI 204.1670
SEC-204.1670,SEC-204.1670,CROSS_REFERENCES,204.1670
SEC-204.1870,,CROSS_REFERENCES,PGI 204.1870
SEC-204.1870,SEC-204.1870,CROSS_REFERENCES,204.1870
SEC-204.2104,SEC-204.2102,CROSS_REFERENCES,204.2102
SEC-204.7103,,CROSS_REFERENCES,PGI 204.7103
SEC-204.7103,SEC-204.7103,CROSS_REFERENCES,204.7103
SEC-204.7103-2,,CROSS_REFERENCES,PGI 204.7103-2
SEC-204.7103-2,SEC-204.7103-2,CROSS_REFERENCES,204.7103-2
SEC-204.7104-2,,CROSS_REFERENCES,PGI 204.7104-2
SEC-204.7104-2,SEC-204.7104-2,CROSS_REFERENCES,204.7104-2
SEC-204.7105,,CROSS_REFERENCES,PGI 204.7105
SEC-204.7105,SEC-204.7105,CROSS_REFERENCES,204.7105
SEC-204.7107,,CROSS_REFERENCES,PGI 204.7107
SEC-204.7107,SEC-204.7107,CROSS_REFERENCES,204.7107
SEC-204.7108,,CROSS_REFERENCES,PGI 204.7108
SEC-204.7108,SEC-204.7108,CROSS_REFERENCES,204.7108
SEC-204.7203,,CROSS_REFERENCES,FAR part 12
SEC-204.7602,,CROSS_REFERENCES,FAR part 12
SEC-204.7603,SEC-204.7603,CROSS_REFERENCES,204.7603
SEC-204.7604,,CROSS_REFERENCES,FAR part 12
SEC-205.102-70,,CROSS_REFERENCES,PGI 205.102-70
SEC-205.102-70,SEC-205.102-70,CROSS_REFERENCES,205.102-70
SEC-205.205,,CROSS_REFERENCES,PGI 205.205
SEC-205.205,SEC-205.205,CROSS_REFERENCES,205.205
SEC-205.205-71,,CROSS_REFERENCES,FAR 6.302-1
SEC-205.205-71,SEC-206.302-1,CROSS_REFERENCES,206.302-1
SEC-205.470,,CROSS_REFERENCES,FAR part 12
SEC-206.000,,CROSS_REFERENCES,PGI 206.000
SEC-206.000,SEC-206.000,CROSS_REFERENCES,206.000
