clause_id,section_id,parent_clause_id,citation,label,level,text,source_document
CL-11.1(a),SEC-11.1,,21 CFR 11.1(a),(a),1,"The regulations in this part set forth the criteria under which the agency considers electronic records, electronic signatures, and handwritten signatures executed to electronic records to be trustworthy, reliable, and generally equivalent to paper records and handwritten signatures executed on paper.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(b),SEC-11.1,,21 CFR 11.1(b),(b),1,"This part applies to records in electronic form that are created, modified, maintained, archived, retrieved, or transmitted, under any records requirements set forth in agency regulations. This part also applies to electronic records submitted to the agency under requirements of the Federal Food, Drug, and Cosmetic Act and the Public Health Service Act, even if such records are not specifically identified in agency regulations. However, this part does not apply to paper records that are, or have been, transmitted by electronic means.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(c),SEC-11.1,,21 CFR 11.1(c),(c),1,"Where electronic signatures and their associated electronic records meet the requirements of this part, the agency will consider the electronic signatures to be equivalent to full handwritten signatures, initials, and other general signings as required by agency regulations, unless specifically excepted by regulation(s) effective on or after August 20, 1997.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(d),SEC-11.1,,21 CFR 11.1(d),(d),1,"Electronic records that meet the requirements of this part may be used in lieu of paper records, in accordance with § 11.2, unless paper records are specifically required.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(e),SEC-11.1,,21 CFR 11.1(e),(e),1,"Computer systems (including hardware and software), controls, and attendant documentation maintained under this part shall be readily available for, and subject to, FDA inspection.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(f),SEC-11.1,,21 CFR 11.1(f),(f),1,"This part does not apply to records required to be established or maintained by §§ 1.326 through 1.368 of this chapter. Records that satisfy the requirements of part 1, subpart J of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(g),SEC-11.1,,21 CFR 11.1(g),(g),1,This part does not apply to electronic signatures obtained under § 101.11(d) of this chapter.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(h),SEC-11.1,,21 CFR 11.1(h),(h),1,This part does not apply to electronic signatures obtained under § 101.8(d) of this chapter.,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(i),SEC-11.1,,21 CFR 11.1(i),(i),1,"This part does not apply to records required to be established or maintained by part 117 of this chapter. Records that satisfy the requirements of part 117 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(j),SEC-11.1,,21 CFR 11.1(j),(j),1,"This part does not apply to records required to be established or maintained by part 507 of this chapter. Records that satisfy the requirements of part 507 of this chapter, but that also are required under other applicable statutory provisions or regulations, remain subject to this part.","21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
