source_id,target_id,rel_type,source_document
INST-GUID,G-I,HAS_SECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
INST-GUID,G-II,HAS_SECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
INST-GUID,G-III,HAS_SECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
INST-GUID,G-IV,HAS_SECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III,G-III.A,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III,G-III.B,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B,G-III.B.1,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B,G-III.B.2,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III,G-III.C,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C,G-III.C.1,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C,G-III.C.2,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C,G-III.C.3,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C,G-III.C.4,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C,G-III.C.5,HAS_SUBSECTION,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GFN-1,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GFN-2,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GFN-3,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GFN-4,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-II,GFN-5,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.2,GFN-6,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.3,GFN-7,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.5,GFN-8,HAS_FOOTNOTE,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GTERM-predicate-rules,DEFINES_TERM,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.3,GTERM-legacy-system,DEFINES_TERM,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.2,GTERM-part-11-records,DEFINES_TERM,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,GTERM-should,DEFINES_TERM,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.5,GTERM-hybrid,DEFINES_TERM,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
