sourcecontrol_id,control_identifier,control_name,sp800_53_family,catalog,source_document
AC-01,AC-01,Policy and Procedures,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02,AC-02,Account Management,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(01),AC-02(01),Account Management | Automated System Account Management,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(02),AC-02(02),Account Management | Automated Temporary and Emergency Account Management,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(03),AC-02(03),Account Management | Disable Accounts,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(04),AC-02(04),Account Management | Automated Audit Actions,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(05),AC-02(05),Account Management | Inactivity Logout,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-02(13),AC-02(13),Account Management | Disable Accounts for High-Risk Individuals,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-03,AC-03,Access Enforcement,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
AC-04,AC-04,Information Flow Enforcement,AC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
