node_id,node_name,control_id,standard_id,control_category,definition,official_description,implementation_guidance,verification_method,applies_to,criticality,pci_requirement_mapping,iso_27001_mapping
ctrl_001,Encryption at Rest,ENC-001,std_001,Technical,"Encryption of stored cardholder data rendering PAN unreadable using strong cryptographic algorithms.","Per PCI DSS v4.0.1 Requirement 3.5: Render PAN unreadable at all points where stored using: (1) Encryption of stored cardholder data with strong cryptography (AES-256 or RSA 2048 equivalent); (2) Tokenization; (3) Truncation; (4) Hash-based mechanism (SHA-256 or PBKDF2). Keys must be stored in HSM or KMS. Encryption process must protect PAN in all states: backup, log files, memory, database.","Algorithm: AES-256 or stronger; Key management: HSM/KMS; Key rotation: quarterly or semi-annually; Key backup: secure; Encrypted data verification; Key access control; Documentation of encryption process; Testing of decryption/recovery capability","Verify encryption algorithm AES-256+; Confirm keys in HSM/KMS; Test key rotation process; Verify key management documentation; Test ability to recover data; Verify access controls on keys","Merchant;Service Provider;Payment Processor","CRITICAL","PCI DSS 3.5","ISO 27001 A.8.3: Cryptography"
ctrl_002,Tokenization,ENC-002,std_001,Technical,"Process of replacing sensitive cardholder data with surrogate values (tokens) that have no intrinsic value outside the tokenization system.","Per PCI DSS v4.0.1 Requirement 3.5: Tokenization is approved method to render PAN unreadable. Token system separates sensitive data from merchant environment. Tokens cannot be reverse-engineered to obtain original PAN. Tokenization provider must be validated (PCI compliance, security). Stored tokens cannot reveal PAN even if compromised.","Tokenization system must be P2PE certified or equivalent; Tokens non-reversible to PAN; Tokenization provider assessed for security; Tokens stored securely; Token rotation strategy; Backup tokens procedure; Token compromise handling procedure; Documentation of tokenization process","Verify tokens cannot be reverse-engineered; Test tokenization system security; Verify provider compliance status; Test token storage security; Verify handling procedures","Merchant;Service Provider;Payment Processor","HIGH","PCI DSS 3.5","ISO 27001 A.8.3; A.5.9"
ctrl_003,Data Truncation,ENC-003,std_001,Technical,"Rendering PAN unreadable by removing or replacing all but the first 6 and last 4 digits of the PAN.","Per PCI DSS v4.0.1 Requirement 3.5: Truncation is approved method to render PAN unreadable when implemented with mask. Only first 6 and last 4 digits of PAN retained. Truncated PAN can be displayed to users and logged without showing full PAN. Original untruncated PAN must be encrypted separately or stored nowhere.","Implement truncation at point of capture; Apply before storage; Separate unencrypted PAN from truncated version; Verify truncation applied to all stored references; Logging shows truncated PAN only; Display shows truncated PAN (XXXXXX****1234); Documented truncation procedures","Verify only first 6/last 4 digits in stored and logged data; Confirm full PAN encrypted separately; Test truncation consistency; Verify display of truncated PAN; Check logs contain truncated PAN only","Merchant;Service Provider","HIGH","PCI DSS 3.5","ISO 27001 A.8.11: Data Masking"
ctrl_004,Network Firewall,FW-001,std_001,Technical,"Network firewalls and related network security controls that restrict and monitor all network traffic between the Cardholder Data Environment and other networks.","Per PCI DSS v4.0.1 Requirement 1: Firewalls control and restrict all network traffic entering and exiting the CDE. Firewall rules implemented with default-deny-all policy: all traffic denied except explicitly allowed. Rules documented and reviewed at least every 6 months. DMZ (Demilitarized Zone) separates CDE from external networks. Firewall logs reviewed. High-availability firewall pairs for redundancy.","Firewall rules documented and approved; Default-deny-all policy; Rules reviewed every 6 months; All inbound/outbound traffic through firewall; DMZ implementation; Firewall logging enabled; Log review daily; Change management for rules; High availability setup; Firewall testing quarterly; Rules documented with business justification","Verify firewall rules present; Test default-deny policy; Review rule documentation; Verify review cycle; Test firewall enforcement; Review logs for activity; Verify DMZ configuration; Test rule changes","Merchant;Service Provider;Acquirer","CRITICAL","PCI DSS 1","ISO 27001 A.8.6: Boundary Protection"
ctrl_005,Multi-Factor Authentication,AUTH-001,std_001,Technical,"Multi-factor authentication (MFA) requiring two or more independent factors (something you know, have, or are) to authenticate access to systems.","Per PCI DSS v4.0.1 Requirement 8: MFA required for ALL access to Cardholder Data Environment, both administrative and user access. Factors must be independent: (1) Something you know (password); (2) Something you have (token, smart card); (3) Something you are (biometric). Phishing-resistant authentication factors may substitute for MFA for non-admin access. MFA implementations: TOTP, U2F, hardware tokens, biometric, SMS (less preferred).","MFA enabled for all CDE access; Factors independent (password + token/biometric); User MFA: password + TOTP or U2F; Admin MFA: password + hardware token or biometric; Remote access MFA required; MFA cannot be bypassed; MFA logging captured; MFA setup documented; User training on MFA; MFA challenge-response","Verify MFA active for all CDE access; Test MFA enforcement; Attempt bypass (should fail); Review MFA logs; Verify factor independence; Test MFA functionality; Verify admin MFA; Verify remote access MFA; Check MFA documentation","Merchant;Service Provider;Acquirer","CRITICAL","PCI DSS 8.3; 8.4; 8.5","ISO 27001 A.8.2: User Registration and De-registration; A.8.3: User Access Management"
ctrl_006,Access Control Lists,AC-001,std_001,Technical,"Access control mechanisms that define and enforce which users or systems can access which resources, implementing principle of least privilege.","Per PCI DSS v4.0.1 Requirement 7: Access to cardholder data restricted based on principle of least privilege. Access Control Lists (ACLs) define who can access which resources. Role-Based Access Control (RBAC) groups users by job function. Access matrix documents access requirements. Access reviewed annually. Segregation of duties prevents conflicts of interest. Access removed when no longer needed.","RBAC implemented with defined roles; Access matrix documenting who needs what access; ACLs enforcing restrictions; Annual access reviews; Access removal upon termination/role change; Segregation of duties (no one can: approve and execute, create and verify); Access request/approval process; Documentation of access decisions; Privileged access management (PAM) for sensitive resources","Verify RBAC roles defined; Review access matrix; Test ACL enforcement; Verify annual access review documentation; Test access removal after termination; Verify segregation of duties; Review access request logs; Test privilege escalation prevention","Merchant;Service Provider;Acquirer","CRITICAL","PCI DSS 7","ISO 27001 A.8.2: User Access Management; A.5.15: Access Control"
ctrl_007,Vulnerability Scanning,VS-001,std_001,Technical,"Automated vulnerability assessment tools that scan systems for known security vulnerabilities and weaknesses.","Per PCI DSS v4.0.1 Requirement 11: Vulnerability scans performed at least quarterly by Approved Scanning Vendor (ASV). Scans identify all known vulnerabilities on systems exposed to internet. Scans must cover all externally accessible IP addresses and domains. Scan reports must document vulnerabilities found, severity ratings, and remediation status. Failed scans must be investigated and re-scanned after remediation.","ASV quarterly scans; Internal quarterly scans; Scan scope includes: Web applications, databases, servers, network devices exposed to internet; Vulnerability database current; Scan documentation: findings, severity, remediation; Failed ASV scans investigated; Remediation verified; Re-scanned after patching; Scan trend analysis","Review ASV scan reports; Verify quarterly schedule; Check scan scope adequacy; Verify vulnerability remediation; Test re-scanning after patches; Review scan trend; Verify ASV accreditation; Check internal scan process","Merchant;Service Provider;Acquirer","HIGH","PCI DSS 11.2","ISO 27001 A.8.5: Control of Technical Vulnerabilities"
ctrl_008,Penetration Testing,PT-001,std_001,Technical,"Authorized security testing simulating attacker activities to identify vulnerabilities and weaknesses in systems and networks.","Per PCI DSS v4.0.1 Requirement 11: Annual penetration testing of all networks and systems in and connecting to CDE. Testing covers external and internal penetration attempts. Testing includes application penetration testing and network penetration testing. Must be performed after significant changes. Scope includes: POS systems, web applications, databases, authentication systems, networks. Penetration tester qualifications verified.","Annual penetration test by qualified tester; Scope: external and internal networks; Includes: network-layer and application-layer penetration; After significant changes: retesting; Results documented; Vulnerabilities ranked by severity; Remediation plan; Follow-up testing; Testing methodology documented; Non-disclosure agreements; Unauthorized access attempts vs authorized testing clear","Review penetration test reports; Verify annual frequency; Check scope adequacy; Review vulnerability findings; Verify remediation action; Test after significant changes; Verify tester qualifications; Review testing scope and methodology","Merchant;Service Provider;Acquirer","HIGH","PCI DSS 11.3","ISO 27001 A.8.5: Penetration Testing"
ctrl_009,Intrusion Detection/Prevention,IDS-001,std_001,Technical,"Systems that monitor network traffic and system activity to detect and prevent unauthorized access or suspicious behavior.","Per PCI DSS v4.0.1: IDS/IPS systems monitor CDE networks for unauthorized access attempts, attacks, and anomalies. IDS (detection) alerts security staff; IPS (prevention) blocks identified attacks. IDS/IPS rules current with latest threat intelligence. Alerts investigated and logged. IDS/IPS testing validates functionality. Baseline of normal traffic established for anomaly detection. Real-time alerting for critical events.","IDS/IPS deployed on CDE network segments; Rules updated regularly (at least monthly); Alerts monitored 24/7; Automatic response to critical events; Baseline traffic patterns established; Anomaly detection configured; Alert investigation logged; Incident response triggered for IDS/IPS alerts; Testing of IDS/IPS functionality quarterly; IDS/IPS tuning to reduce false positives","Verify IDS/IPS deployment; Check rule update frequency; Test alert generation; Review alert investigation logs; Verify 24/7 monitoring; Test IDS/IPS response; Review baseline configuration; Check tuning for false positives","Merchant;Service Provider;Acquirer","HIGH","PCI DSS 10; 11","ISO 27001 A.8.15: Monitoring; A.8.16: Event Logging"
ctrl_010,Web Application Firewall,WAF-001,std_001,Technical,"Specialized firewall protecting web applications from common attacks including injection, cross-site scripting, and unauthorized access.","Per PCI DSS v4.0.1 Requirement 6: Web application firewalls (WAF) protect web-based payment card applications from attacks: SQL injection, cross-site scripting (XSS), cross-site request forgery (CSRF), buffer overflows, malicious file uploads. WAF rules block known attack patterns. WAF logs attacks attempted. WAF tuning prevents false positives blocking legitimate traffic. WAF for payment pages mandatory.","WAF deployed in front of web applications accepting card data; Rules protect against: SQL injection, XSS, CSRF, uploads; Rules updated regularly; Attack logging; Rules tuned for legitimate traffic; Testing of WAF rules; WAF bypass attempts blocked; WAF alerts monitored; Incident response for WAF-detected attacks; Web application scan results integrated into WAF tuning","Verify WAF deployment; Review WAF rules; Test against known attacks (SQL injection, XSS); Check log of attempted attacks; Verify rule updates; Test WAF bypass attempts; Review false positive rate; Check attack alerting","Merchant;Service Provider","HIGH","PCI DSS 6.6","ISO 27001 A.8.6; A.8.7: Web Application Security"
