node_type,field_name,field_description,data_type,mandatory,length_limit,valid_values,validation_rules,example_value,purpose
Internal-Role,node_id,Unique identifier for role,string,YES,20,"role_001-role_999","Format: role_XXX; Unique; No duplicates","role_001","Primary key"
Internal-Role,node_name,Role name,string,YES,100,"Chief Security Officer, Database Admin, Developer, etc.","Non-empty; Max 100 chars; Plain text; Job title format","Chief Security Officer","Display name"
Internal-Role,role_title,Official job title,string,YES,100,"Job title from organization structure","Non-empty; Max 100 chars; Plain text; Official title","Chief Information Security Officer (CISO)","Organizational title"
Internal-Role,department,Department or team,string,YES,50,"Security, IT, Compliance, Facilities, Legal, Development","Valid department; Plain text","Security and Compliance","Department assignment"
Internal-Role,responsibility_summary,Role summary,string,YES,500,"High-level description of role purpose","Non-empty; Max 500 chars; Plain text; Business-focused","Accountable for overall security strategy and PCI compliance","Role overview"
Internal-Role,pci_dss_responsibilities,PCI responsibilities,string,YES,500,"Semicolon-separated PCI responsibilities","Semicolon-separated; Specific PCI tasks; Plain text","Compliance program management; Board reporting; Incident oversight","PCI obligations"
Internal-Role,required_qualifications,Required qualifications,string,YES,300,"Semicolon-separated qualifications","Semicolon-separated; Certs/experience; Plain text","Senior security professional; 10+ years security; Executive skills","Hiring requirements"
Internal-Role,training_requirements,Training requirements,string,YES,300,"Semicolon-separated training items","Semicolon-separated; Annual + specialized; Plain text","Annual PCI DSS training; Executive briefings; Audit findings review","Training mandates"
Internal-Role,key_functions,Key functions and activities,string,YES,500,"Semicolon-separated job functions","Semicolon-separated; Specific activities; Action-oriented; Plain text","Security strategy development; Budget allocation; Risk oversight","Job duties"
Internal-Role,pci_requirement_mapping,Related PCI requirements,string,YES,100,"Semicolon-separated requirement numbers","Semicolon-separated; Format: Req X; Relevant to role","PCI DSS 12; PCI DSS 8; PCI DSS 10","Requirement mapping"
Internal-Role,criticality,Role importance,string,YES,20,"CRITICAL, HIGH, MEDIUM, LOW","One of 4 values; Case-sensitive; All caps","CRITICAL","Priority ranking"
