node_id,industry_standard_regulation_id,sub_requirement_id,parent_requirement_ref,title,text,defined_approach_applicability,customized_approach_objective
SR-1.2.4,PCI-DSS 4.0,1.2.4,1,Data Flow Diagrams,Current network diagrams that identify all connections between the CDE and other networks, including any wireless networks, are maintained.,All Entities,Network connections are known and documented to prevent unauthorized access.
SR-3.2.1,PCI-DSS 4.0,3.2.1,3,Data Retention Policy,Data retention and disposal policies, procedures, and processes are defined and understood.,All Entities,Data is only retained for as long as necessary for business, legal, or regulatory purposes.
SR-3.5.1,PCI-DSS 4.0,3.5.1,3,PAN Masking,Primary Account Number (PAN) is masked when displayed (the first six and last four digits are the maximum number of digits to be displayed).,All Entities,PAN confidentiality is maintained during display.
SR-5.3.2.1,PCI-DSS 4.0,5.3.2.1,5,Malware Scan Frequency,If periodic malware scans are performed, the frequency of scans is defined in the entity's targeted risk analysis (TRA).,All Entities,Malware is detected and addressed in a timely manner according to risk.
SR-5.4.1,PCI-DSS 4.0,5.4.1,5,Anti-Phishing Mechanisms,Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.,All Entities,Personnel are protected from phishing attacks that could compromise the CDE.
SR-6.3.2,PCI-DSS 4.0,6.3.2,6,Custom Software Inventory,An inventory of bespoke and custom software is maintained to facilitate vulnerability and patch management.,All Entities,All custom software is known and managed to prevent vulnerabilities.
SR-6.4.3,PCI-DSS 4.0,6.4.3,6,Payment Page Scripts,All payment page scripts that are loaded and executed in the consumer's browser are managed as follows: A method is implemented to confirm that each script is authorized.,Merchants (E-commerce),Unauthorized scripts on payment pages are prevented (e.g., skimming protection).
SR-8.3.6,PCI-DSS 4.0,8.3.6,8,Password Complexity,Passwords meet minimum complexity requirements (alphanumeric, 12 characters minimum).,System Components,Authentication credentials are sufficiently complex to prevent guessing attacks.
SR-8.3.7,PCI-DSS 4.0,8.3.7,8,Password History,Individuals are prevented from submitting a new password that is the same as any of the last four passwords used.,System Components,Compromised or old passwords are not reused.
SR-8.6.2,PCI-DSS 4.0,8.6.2,8,App/System Passwords,Passwords/passphrases for application and system accounts are protected against misuse.,System Components,Non-interactive account credentials are secured.
SR-11.6.1,PCI-DSS 4.0,11.6.1,11,Change and Tamper Detection,A change- and tamper-detection mechanism is deployed to alert personnel to unauthorized modification of HTTP headers and the contents of payment pages.,Merchants (E-commerce),Unauthorized changes to payment pages are detected promptly.
SR-12.5.2,PCI-DSS 4.0,12.5.2,12,PCI Scope Documentation,PCI DSS scope is documented and confirmed by the entity at least once every 12 months.,All Entities,The scope of the CDE is accurately defined and maintained.
SR-12.10.7,PCI-DSS 4.0,12.10.7,12,PAN Leak Response,The incident response plan includes coverage for alerts from the change- and tamper-detection mechanism (Requirement 11.6.1) and detection of unencrypted PAN.,All Entities,Response to PAN leaks is timely and effective.
