node_type,field_name,field_description,data_type,mandatory,length_limit,valid_values,validation_rules,example_value,purpose
System-Component,node_id,Unique identifier for component,string,YES,20,"comp_001-comp_999","Format: comp_XXX; Unique; No duplicates","comp_001","Primary key"
System-Component,node_name,Component name,string,YES,100,"Windows Server, Database, Firewall, POS Terminal, etc.","Non-empty; Max 100 chars; Plain text; Technology term","Windows Server","Display name"
System-Component,component_type,Component classification,string,YES,50,"Operating System, Database, Network Device, Security, Hardware, etc.","Valid type; Plain text","Operating System","Component type"
System-Component,definition,Component definition,string,YES,300,"What the component is and function","Non-empty; Max 300 chars; Plain text; Include role in CDE","Server OS running applications and services in CDE","Quick reference"
System-Component,in_scope_for_pci,In CDE scope,boolean,YES,5,"TRUE, FALSE","Must be TRUE or FALSE; Capital letters","TRUE","Compliance scope"
System-Component,security_requirements,Security requirements,string,YES,500,"Semicolon-separated requirements","Semicolon-separated; Specific security controls; Plain text","Patch management (30 days critical); Hardening; Antivirus; Logging","Security mandates"
System-Component,monitoring_requirements,Monitoring requirements,string,YES,500,"Semicolon-separated monitoring items","Semicolon-separated; Real-time + periodic; Plain text","Patch compliance; Antivirus status; Log review; Vulnerability scans","Monitoring mandates"
System-Component,examples,Real-world examples,string,YES,300,"Semicolon-separated product names","Semicolon-separated; Actual products; Plain text; Include version if relevant","Windows Server 2019, 2022; SQL Server 2019+; Oracle 19c+","Practical examples"
System-Component,update_frequency,Update/patch frequency,string,YES,50,"Monthly, Quarterly, As Needed, Continuous","Valid frequency; Plain text; Include timeframe if specific","Monthly (critical patches within 30 days)","Update schedule"
System-Component,pci_requirement_mapping,PCI requirement link,string,YES,100,"Semicolon-separated requirement numbers","Semicolon-separated; Format: Req X; Valid for standard","PCI DSS 2; PCI DSS 6; PCI DSS 10","Requirement mapping"
System-Component,criticality,Importance rating,string,YES,20,"CRITICAL, HIGH, MEDIUM, LOW","One of 4 values; Case-sensitive; All caps","CRITICAL","Risk prioritization"
