node_id,payment_brand_name,official_full_name,headquarters_location,founded_year,market_coverage,accepted_merchants_worldwide,transaction_volume_annual,network_type,card_types_supported,geographic_focus,regional_dominance,pci_dss_compliance,security_standards,data_protection_requirements,fraud_prevention
pb_001,Visa,Visa Inc.,"San Mateo, California, USA",1958,"Global - 200+ countries and territories","70+ million merchants worldwide",">100 billion transactions/year","Four-party network (issuer, acquirer, cardholder, merchant)","Visa Debit; Visa Credit; Visa Electron; Visa Prepaid; Visa Commercial","Worldwide - Primary network globally","Global leader with 40% transaction volume; Dominant in North America, Europe, Asia Pacific","PCI DSS compliance mandatory; Visa enforces compliance; Monthly monitoring","Visa Advanced Authentication (VAA); Visa Token Service; Visa Security Code; EMV; 3D Secure 2.0","AES-256 encryption; TLS 1.2+; ISO 27001; SOC 2 Type II annual audits","Real-time fraud detection; Visa Risk Management; Behavioral analytics"
pb_002,Mastercard,Mastercard International Incorporated,"Purchase, New York, USA",1966,"Global - 210+ countries","80+ million merchants worldwide",">90 billion transactions/year","Four-party network (issuer, acquirer, cardholder, merchant)","Mastercard; Maestro; Cirrus; World Mastercard; Business Mastercard; Prepaid Mastercard","Worldwide - Second largest global network","24% of global transaction volume; Strong in Europe, Asia, emerging markets","PCI DSS compliance mandatory; Mastercard Security Rules enforce compliance","Mastercard Multi Token Services; SecureCode; Identity Check; Advanced fraud monitoring; Machine learning","AES-256+ encryption; TLS 1.2+; ISO 27001; SOC 2 Type II; API security standards","Real-time monitoring; Behavioral analytics; Risk scoring"
pb_003,American Express,American Express Company,"New York, New York, USA",1850,"Global - 130+ countries","10+ million merchants worldwide",">7 billion transactions/year","Three-party network (AmEx owns both issuer and acquirer)","American Express (Green, Gold, Platinum, Centurion); Business; Corporate; Prepaid","Worldwide - Premium market segment","Focus on premium and business customers; Strong in North America","PCI DSS alignment; American Express Data Security Standards","Enhanced encryption; AmEx ID Theft Prevention Service; Chip and PIN; Contactless security","AES-256+; TLS 1.2+; ISO 27001; SOC 2 Type II; Annual security assessments","Advanced fraud detection; Real-time monitoring; Premium security features"
pb_004,Discover,Discover Financial Services,"Riverwoods, Illinois, USA",1985,"Global - 200+ countries","8+ million merchants worldwide",">2 billion transactions/year","Four-party network (issuer, acquirer, cardholder, merchant) with in-house issuing","Discover Card; Discover It; Business Discover; Discover Prepaid; Diners Club International; PULSE","Worldwide - Built on Diners Club and PULSE legacy","Strong in North America; Diners Club in international markets; PULSE in ATM networks","PCI DSS compliance; Discover Network Rules enforce compliance; Annual attestation","Network ID Theft Protection; Fraud detection systems; Real-time monitoring; Tokenization support","AES-256; TLS 1.2+; ISO 27001; SOC 2 Type II; Annual security audits","Fraud detection systems; Real-time monitoring; Chargeback protection"
pb_005,JCB,Japan Credit Bureau Co. Ltd.,"Tokyo, Japan",1961,"Global - 190+ countries","30+ million merchants worldwide",">1 billion transactions/year","Four-party network (issuer, acquirer, cardholder, merchant)","JCB Standard; JCB Gold; JCB Platinum; Business JCB; Prepaid JCB","Worldwide - Primarily Asia Pacific, growing globally","Dominant in Japan and Asia; Expanding international acceptance","PCI DSS compliance; JCB Security Standards; Annual verification required","JCB Tokenization Service; Encryption standards (AES-256); Real-time monitoring","AES-256 minimum; TLS 1.2+; ISO 27001; SOC 2 Type II; Annual security assessments","Fraud detection; Real-time monitoring; Security initiatives"
pb_006,UnionPay,China UnionPay Co. Ltd.,"Shanghai, China",2002,"Global - 180+ countries","26+ million merchants (primarily China)","Billions of transactions annually - largest by card volume","Four-party network connecting banks and payment processors in China","UnionPay Debit; UnionPay Credit; UnionPay Prepaid; UnionPay Mobile; UnionPay International","Worldwide - Primarily Asia, expanding globally","Largest card issuer globally (5.4+ billion cards); China domestic focus; Rapid international expansion","PCI DSS alignment; UnionPay security standards; International compliance requirements","UnionPay Token Service; PBOC (People's Bank of China) encryption standards; Enhanced security","256-bit encryption minimum; Data residency (China); SMS verification; Real-time monitoring","Real-time fraud monitoring; Behavioral analysis; China banking system security protocols"
pb_007,Rupay,National Payments Corporation of India (NPCI),"New Delhi, India",2012,"Regional - 50+ countries (Asia Pacific focus)","5+ million merchants (primarily India)","500+ million transactions annually","Four-party network (issuer, acquirer, cardholder, merchant) - India domestic focus","RuPay Debit; RuPay Credit; RuPay Prepaid; RuPay International","Regional - Asia Pacific, primarily India","Dominant in India; Designed for inclusive financial services; Growing regional acceptance","RBI (Reserve Bank of India) regulated; PCI DSS alignment; Mandatory for Indian acquirers","NPCI security standards; Chip-based cards mandatory; RuPay authentication protocols; International security","256-bit encryption minimum; Data residency (India); Two-factor authentication; Real-time monitoring","Fraud detection; Real-time monitoring; Focus on financial inclusion security"
pb_008,Interac,Interac Association,"Toronto, Canada",1985,"Regional - Canada focused with limited international","3+ million merchant terminals (primarily Canada)","Billions of transactions annually (debit-focused)","Four-party network (Canadian debit card focus)","Interac Debit; Interac Credit; Interac e-Transfer","Regional - Canada","Dominant Canadian debit network; 59,000+ ATMs; Accepted at 500,000+ merchants Canada","PCI DSS compliance for payment processors; Canadian payment standards","Canadian security standards; EMV chip implementation; Real-time online verification","256-bit encryption; TLS 1.2+; Canadian banking security protocols; Real-time monitoring","Real-time fraud detection; Canadian bank security partnerships; Online verification"
pb_009,Bancontact,Bancontact,Belgium,"Brussels, Belgium",1976,"Regional - Belgium primarily, EU limited","Millions of merchants (Belgium-centric)","Billions of transactions annually (domestic debit)","Domestic debit network (Belgium-focused)","Bancontact Debit; Bancontact Co-branded cards","Regional - Belgium and limited EU","Dominant Belgian debit and online payment network; Limited international","PCI DSS compliance required; Belgium FSMA regulation; EU payment standards","EU security standards; PIN verification; Data protection regulations compliance","256-bit encryption; GDPR compliance; EU data residency; Real-time monitoring","Real-time fraud detection; Belgian banking security standards; Transaction verification"
pb_010,Cartes Bancaires,Cartes Bancaires SA,"Paris, France",1987,"Regional - France primary, EU limited","2+ million merchant terminals (France-centric)","Billions of transactions annually (France)","Domestic debit card network (France)","CB (Cartes Bancaires) Debit; CB Credit; Co-branded cards","Regional - France and select EU countries","French national standard; Limited EU acceptance; Planned EU integration (Wero)","PCI DSS compliance required; France ACPR regulation; EU payment standards","French banking security standards; PIN-based authentication; Chip technology","256-bit encryption; GDPR compliance; French data residency requirements; Real-time monitoring","Real-time fraud detection; French banking system integration; Security protocols"
pb_011,Girocard,Girocard Association,"Berlin, Germany",1992,"Regional - Germany primary, EU limited","Millions of merchant terminals (Germany-centric)","Billions of transactions annually (domestic)","Domestic debit card network (German focus)","Girocard Debit; Girocard co-branded cards","Regional - Germany and select EU","German domestic standard; Strong in German-speaking Europe; Limited international","PCI DSS compliance for processors; German Bundesbank standards; EU payment regulations","German banking security protocols; PIN verification; Chip technology; EMV compliance","256-bit encryption; GDPR compliance; German data residency; Real-time monitoring","Real-time fraud detection; German banking partnerships; Secure PIN handling"
