node_id,node_name,component_type,definition,in_scope_for_pci,security_requirements,monitoring_requirements,examples,update_frequency,pci_requirement_mapping,criticality
comp_001,Windows Server,Operating System,"Server OS running applications and services in CDE",TRUE,"Patch management (30 days critical); OS hardening; Antivirus; Windows Defender; Full disk encryption; Local audit logging; User access controls",Patch compliance; Antivirus status; Log review (weekly); Vulnerability scans (quarterly); Boot diagnostics; Performance monitoring,"Windows Server 2019; Windows Server 2022; Windows Server 2025","Monthly (critical patches within 30 days)",PCI DSS 2; PCI DSS 6; PCI DSS 10,CRITICAL
comp_002,Linux Server,Operating System,"Linux-based OS for applications in CDE",TRUE,"System hardening; SELinux or AppArmor; Firewall (iptables/firewalld); SSH key-only access; No default credentials; File integrity monitoring; Centralized logging",Patch compliance; Firewall rules; SSH access logs; File integrity verification; Kernel security; User account changes,"Red Hat Enterprise Linux 8+; Ubuntu 20.04 LTS; CentOS 8; Debian 11+","Monthly (security patches within 14 days)",PCI DSS 2; PCI DSS 6; PCI DSS 10,CRITICAL
comp_003,SQL Database Server,Database,"Relational database storing cardholder data in CDE",TRUE,"Encryption at rest (AES-256); Encryption in transit (TLS 1.2+); Strong authentication (AD or multi-factor); Row-level security; Transparent data encryption; Audit logging",Query logging (real-time); Access attempts; Configuration changes (weekly); Backup verification; Replication status; Failed login attempts,"Microsoft SQL Server 2019+; Oracle 19c+; PostgreSQL 13+; MySQL 8.0+","Monthly (security patches); Quarterly (major updates)",PCI DSS 3; PCI DSS 6; PCI DSS 10,CRITICAL
comp_004,Application Server,Application Platform,"Server hosting business applications that process cardholder data",TRUE,"Application authentication; Authorization controls; Input validation; Output encoding; SQL injection prevention; Cross-site scripting (XSS) protection; API rate limiting; Application logging",Application access logs (real-time); Failed authentication attempts; API call monitoring; Error tracking; Performance metrics; Security event alerts,"JBoss EAP; Apache Tomcat 10+; IBM WebSphere; Java applications 11+","Monthly (patches); Quarterly (framework updates)",PCI DSS 2; PCI DSS 6; PCI DSS 10,CRITICAL
comp_005,Web Application Firewall (WAF),Security Device,"Protects web applications from common attack vectors in CDE",TRUE,"DDoS protection; SQL injection blocking; XSS prevention; Bot detection; Rate limiting; SSL/TLS inspection; GeoIP blocking; Custom rule capability",Real-time attack logs; Blocked traffic analysis (hourly); Rule effectiveness review (weekly); False positive analysis (daily); Performance metrics; Threat intelligence updates,"AWS WAF; Cloudflare; ModSecurity; F5 WAF; Akamai Kona; Imperva SecureSphere","Continuous (threat definitions updated daily)",PCI DSS 6; PCI DSS 10,CRITICAL
comp_006,Firewall,Network Device,"Controls network traffic between CDE and external networks",TRUE,"Stateful inspection; Default deny policy; Rule logging; Redundancy/failover; Configuration backup; Access control lists; Port restrictions; Protocol enforcement",Connection logs (real-time); Denied traffic analysis (daily); Configuration changes (immediately); Performance metrics; High availability status; Security rule audit (weekly),"Palo Alto Networks; Cisco ASA; Fortinet FortiGate; Check Point; Juniper SRX; Huawei USG","Monthly (firmware); Quarterly (major updates)",PCI DSS 1; PCI DSS 10,CRITICAL
comp_007,Intrusion Detection System (IDS),Security Device,"Monitors network for suspicious activity in CDE",TRUE,"Real-time threat detection; Signature and anomaly-based detection; Alert correlation; Integration with SIEM; Custom rules; DDoS detection; Zero-day detection capability",Real-time alerts (immediate action); Event logs (continuous); Pattern analysis (weekly); Alert effectiveness (monthly); Threat intelligence updates (daily); False positive rate,"Suricata; Snort 3; Zeek (Bro); IBM QRadar; Splunk; Elastic Stack","Continuous (threat definitions)",PCI DSS 10; PCI DSS 11,HIGH
comp_008,VPN Gateway,Network Security,"Secure remote access point to CDE network",TRUE,"VPN encryption (AES-256 or AES-128); Strong authentication (2FA/MFA); Session timeout; Certificate-based or token-based; Access logging; Split tunneling disabled; Firewall integrated",Connection logs (real-time); Failed authentication attempts (immediate); Session duration monitoring; Configuration changes (immediately); Certificate expiration tracking; Bandwidth usage,"Cisco AnyConnect; Fortinet FortiClient; F5 Big-IP; OpenVPN; Pulse Secure; SonicWall","Monthly (software updates)",PCI DSS 1; PCI DSS 8; PCI DSS 10,HIGH
comp_009,Load Balancer,Network Device,"Distributes traffic across multiple servers for performance and redundancy",TRUE,"SSL/TLS termination (TLS 1.2+); Traffic encryption; Session persistence; Health checking; DDoS mitigation; Request filtering; Connection logging; Failover capability",Connection logs (real-time); Backend health status (continuous); Configuration changes (immediately); Performance metrics (hourly); SSL certificate expiration; Traffic distribution analysis,"Nginx; HAProxy; AWS Elastic Load Balancer; Citrix NetScaler; F5 BIG-IP; Kemp LoadMaster","Monthly (patches)",PCI DSS 1; PCI DSS 10,HIGH
comp_010,Backup System,Storage,"Provides data backup and recovery for CDE systems",TRUE,"Encryption at rest (AES-256); Encryption in transit (TLS); Offsite backup location; Backup encryption keys secured; Immutable backups (write-once); Retention policies; Integrity verification; Access logging",Backup completion status (daily); Restoration test (quarterly); Backup integrity verification (weekly); Access to backups (real-time); Storage encryption status; Key rotation (annual),"Veeam Backup & Replication; Commvault; Acronis; EMC NetWorker; Bacula; Veritas NetBackup","Daily (backups); Monthly (retention review)",PCI DSS 3; PCI DSS 10,CRITICAL
comp_011,File Server,Storage,"Centralized storage for business files in CDE",TRUE,"NTFS/Linux permissions; Share-level access control; Encryption at rest; Audit logging; Antivirus scanning; Data classification; Quotas per user; Access logging; Inactive file cleanup",Access logs (real-time); Permission changes (immediate); Failed access attempts; File modification tracking (weekly); Antivirus scan status; Encryption verification; Disk space monitoring,"Windows File Server 2019+; NAS (Synology, QNAP); Linux Samba; NetApp; EMC storage","Monthly (security updates)",PCI DSS 3; PCI DSS 8; PCI DSS 10,HIGH
comp_012,Syslog Server,Monitoring,"Centralized logging and event management for CDE",TRUE,"Log retention (90+ days); Encryption at rest; Authentication for log access; Log integrity protection; Timestamp synchronization; Log rotation; Archival capability; Alert on critical events",Disk space monitoring; Log rotation status (daily); Failed delivery attempts; Time synchronization (hourly); Access logs to syslog server (real-time); Alert generation; Archive integrity,"Splunk; ELK Stack (Elasticsearch, Logstash, Kibana); Sumo Logic; ArcSight; Graylog; Syslog-ng","Continuous (real-time log collection)",PCI DSS 10; PCI DSS 11,HIGH
