secao_id,capitulo_id,numero,titulo,title_en,nota_alteracao,source_document
sec_II_I,cap_II,Seção I,Dos Requisitos para o Tratamento de Dados Pessoais,Requirements for the Processing of Personal Data,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_II_II,cap_II,Seção II,Do Tratamento de Dados Pessoais Sensíveis,Processing of Sensitive Personal Data,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_II_III,cap_II,Seção III,Do Tratamento de Dados Pessoais de Crianças e de Adolescentes,Processing of Children’s and Adolescents’ Personal Data,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_II_III-A,cap_II,Seção III-A,,,"(VETADA na Lei nº 15.134, de 6/5/2025)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_II_IV,cap_II,Seção IV,Do Término do Tratamento de Dados,Termination of Data Processing,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_IV_I,cap_IV,Seção I,Das Regras,Rules,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_IV_II,cap_IV,Seção II,Da Responsabilidade,Liability,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VI_I,cap_VI,Seção I,Do Controlador e do Operador,Controller and Processor,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VI_II,cap_VI,Seção II,Do Encarregado pelo Tratamento de Dados Pessoais,Data Protection Officer,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VI_III,cap_VI,Seção III,Da Responsabilidade e do Ressarcimento de Danos,Liability and Damage Compensation,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VII_I,cap_VII,Seção I,Da Segurança e do Sigilo de Dados,Data Security and Confidentiality,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VII_II,cap_VII,Seção II,Das Boas Práticas e da Governança,Good Practices and Governance,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_VIII_I,cap_VIII,Seção I,Das Sanções Administrativas,Administrative Sanctions / Penalties,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_IX_I,cap_IX,Seção I,Da Agência Nacional de Proteção de Dados,The National Data Protection Authority (ANPD),"(Seção com redação dada pela Medida Provisória nº 1.317, de 17/9/2025, convertida na Lei nº 15.352, de 25/2/2026)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
sec_IX_II,cap_IX,Seção II,Do Conselho Nacional de Proteção de Dados Pessoais e da Privacidade,The National Council for the Protection of Personal Data and Privacy,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
