control_id,control_name,source_framework,source_framework_version,source_framework_full_name,control_text,control_type
1,CIS Control 1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1 from CIS Critical Security Controls v8.1,External
2,CIS Control 2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 2 from CIS Critical Security Controls v8.1,External
3,CIS Control 3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 3 from CIS Critical Security Controls v8.1,External
1,CIS Control 1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 1 from CIS Critical Security Controls v8.1 Implementation Group 1,External
2,CIS Control 2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 2 from CIS Critical Security Controls v8.1 Implementation Group 1,External
3,CIS Control 3,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,Control 3 from CIS Critical Security Controls v8.1 Implementation Group 1,External
1,CIS Control 1,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,Control 1 from CIS Critical Security Controls v8.1 Implementation Group 2,External
2,CIS Control 2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,Control 2 from CIS Critical Security Controls v8.1 Implementation Group 2,External
3,CIS Control 3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,Control 3 from CIS Critical Security Controls v8.1 Implementation Group 2,External
1,CIS Control 1,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,Control 1 from CIS Critical Security Controls v8.1 Implementation Group 3,External
2,CIS Control 2,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,Control 2 from CIS Critical Security Controls v8.1 Implementation Group 3,External
3,CIS Control 3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,Control 3 from CIS Critical Security Controls v8.1 Implementation Group 3,External
1,GDPR Control 1,GDPR,EU Regulation 2016/679,General Data Protection Regulation,Control 1 from General Data Protection Regulation,External
2,GDPR Control 2,GDPR,EU Regulation 2016/679,General Data Protection Regulation,Control 2 from General Data Protection Regulation,External
3,GDPR Control 3,GDPR,EU Regulation 2016/679,General Data Protection Regulation,Control 3 from General Data Protection Regulation,External
1,HIPAA Control 1,HIPAA,Administrative Simplification 2013,Health Insurance Portability and Accountability Act - Administrative Simplification,Control 1 from Health Insurance Portability and Accountability Act - Administrative Simplification,External
2,HIPAA Control 2,HIPAA,Administrative Simplification 2013,Health Insurance Portability and Accountability Act - Administrative Simplification,Control 2 from Health Insurance Portability and Accountability Act - Administrative Simplification,External
3,HIPAA Control 3,HIPAA,Administrative Simplification 2013,Health Insurance Portability and Accountability Act - Administrative Simplification,Control 3 from Health Insurance Portability and Accountability Act - Administrative Simplification,External
1,HIPAA Control 1,HIPAA,HICP Large Practice,HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,Control 1 from HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,External
2,HIPAA Control 2,HIPAA,HICP Large Practice,HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,Control 2 from HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,External
3,HIPAA Control 3,HIPAA,HICP Large Practice,HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,Control 3 from HIPAA Healthcare Industry Cybersecurity Practices - Large Practice,External
1,HIPAA Control 1,HIPAA,HICP Medium Practice,HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,Control 1 from HIPAA Healthcare Industry Cybersecurity Practices - Medium Practice,External
