control_id,control_name,control_text,domain_identifier,pptdf_scope,control_question,relative_weighting,nist_csf_function,is_new_control,is_mcr,is_dsr,control_type
AAT-01,Artificial Intelligence (AI) & Autonomous Technologies Governance,"Mechanisms exist to ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively.",AAT,Process,"Does the organization ensure policies, processes, procedures and practices related to the mapping, measuring and managing of Artificial Intelligence (AI) and Autonomous Technologies (AAT)-related risks are in place, transparent and implemented effectively?",10,Govern,No,No,No,SCF
AAT-01.1,AI & Autonomous Technologies-Related Legal Requirements Definition,"Mechanisms exist to identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT).",AAT,Process,"Does the organization identify, understand, document and manage applicable statutory and regulatory requirements for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?",8,Govern,No,No,No,SCF
AAT-01.2,Trustworthy AI & Autonomous Technologies,"Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences.",AAT,Process,"Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) are designed to be reliable, safe, fair, secure, resilient, transparent, explainable and data privacy-enhanced to minimize emergent properties or unintended consequences?",10,Protect,No,No,No,SCF
AAT-01.3,AI & Autonomous Technologies Value Sustainment,Mechanisms exist to sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization sustain the value of deployed Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,1,Identify,No,No,No,SCF
AAT-02,Situational Awareness of AI & Autonomous Technologies,Mechanisms exist to develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party).,AAT,Process,Does the organization develop and maintain an inventory of Artificial Intelligence (AI) and Autonomous Technologies (AAT) (internal and third-party)?,9,Identify,No,No,No,SCF
AAT-02.1,AI & Autonomous Technologies Risk Mapping,"Mechanisms exist to identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements.",AAT,Process,"Does the organization identify Artificial Intelligence (AI) and Autonomous Technologies (AAT) in use and map those components to potential legal risks, including statutory and regulatory compliance requirements?",9,Identify,No,No,No,SCF
AAT-02.2,AI & Autonomous Technologies Internal Controls,Mechanisms exist to identify and document internal cybersecurity & data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization identify and document internal cybersecurity & data privacy controls for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,9,Identify,No,No,No,SCF
AAT-02.3,Adequate Protections For AI & Autonomous Technologies,Mechanisms exist to ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) include reasonable cybersecurity and data protections that are commensurate with assessed risks and threats.,AAT,Process,Does the organization ensure Artificial Intelligence (AI) and Autonomous Technologies (AAT) include reasonable cybersecurity and data protections that are commensurate with assessed risks and threats?,10,Govern,Yes,No,No,SCF
AAT-03,AI & Autonomous Technologies Context Definition,"Mechanisms exist to establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:
(1) Intended purposes;
(2) Potentially beneficial uses;
(3) Context-specific laws and regulations;
(4) Norms and expectations; and
(5) Prospective settings in which the system(s) will be deployed.",AAT,Process,"Does the organization establish and document the context surrounding Artificial Intelligence (AI) and Autonomous Technologies (AAT), including:
 (1) Intended purposes;
 (2) Potentially beneficial uses;
 (3) Context-specific laws and regulations;
 (4) Norms and expectations; and
 (5) Prospective settings in which the system(s) will be deployed?",8,Identify,No,No,No,SCF
AAT-03.1,AI & Autonomous Technologies Mission and Goals Definition,Mechanisms exist to define and document the organization's mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT).,AAT,Process,Does the organization define and document its mission and defined goals for Artificial Intelligence (AI) and Autonomous Technologies (AAT)?,8,Identify,No,No,No,SCF
