Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
HAS_RECITAL,Regulation,REG-001,Recital,REC-001,order:1
HAS_RECITAL,Regulation,REG-001,Recital,REC-002,order:2
HAS_RECITAL,Regulation,REG-001,Recital,REC-003,order:3
HAS_RECITAL,Regulation,REG-001,Recital,REC-004,order:4
HAS_RECITAL,Regulation,REG-001,Recital,REC-005,order:5
HAS_RECITAL,Regulation,REG-001,Recital,REC-006,order:6
HAS_RECITAL,Regulation,REG-001,Recital,REC-007,order:7
HAS_RECITAL,Regulation,REG-001,Recital,REC-008,order:8
HAS_RECITAL,Regulation,REG-001,Recital,REC-009,order:9
HAS_RECITAL,Regulation,REG-001,Recital,REC-010,order:10
HAS_RECITAL,Regulation,REG-001,Recital,REC-011,order:11
HAS_RECITAL,Regulation,REG-001,Recital,REC-012,order:12
HAS_RECITAL,Regulation,REG-001,Recital,REC-013,order:13
HAS_RECITAL,Regulation,REG-001,Recital,REC-014,order:14
HAS_RECITAL,Regulation,REG-001,Recital,REC-015,order:15
HAS_RECITAL,Regulation,REG-001,Recital,REC-016,order:16
HAS_RECITAL,Regulation,REG-001,Recital,REC-017,order:17
HAS_RECITAL,Regulation,REG-001,Recital,REC-018,order:18
HAS_RECITAL,Regulation,REG-001,Recital,REC-019,order:19
HAS_RECITAL,Regulation,REG-001,Recital,REC-020,order:20
HAS_RECITAL,Regulation,REG-001,Recital,REC-021,order:21
HAS_RECITAL,Regulation,REG-001,Recital,REC-022,order:22
HAS_RECITAL,Regulation,REG-001,Recital,REC-023,order:23
HAS_RECITAL,Regulation,REG-001,Recital,REC-024,order:24
HAS_RECITAL,Regulation,REG-001,Recital,REC-025,order:25
HAS_RECITAL,Regulation,REG-001,Recital,REC-026,order:26
HAS_RECITAL,Regulation,REG-001,Recital,REC-027,order:27
HAS_RECITAL,Regulation,REG-001,Recital,REC-028,order:28
HAS_RECITAL,Regulation,REG-001,Recital,REC-029,order:29
HAS_RECITAL,Regulation,REG-001,Recital,REC-030,order:30
HAS_RECITAL,Regulation,REG-001,Recital,REC-031,order:31
HAS_RECITAL,Regulation,REG-001,Recital,REC-032,order:32
HAS_RECITAL,Regulation,REG-001,Recital,REC-033,order:33
HAS_RECITAL,Regulation,REG-001,Recital,REC-034,order:34
HAS_RECITAL,Regulation,REG-001,Recital,REC-035,order:35
HAS_RECITAL,Regulation,REG-001,Recital,REC-036,order:36
HAS_RECITAL,Regulation,REG-001,Recital,REC-037,order:37
HAS_RECITAL,Regulation,REG-001,Recital,REC-038,order:38
HAS_RECITAL,Regulation,REG-001,Recital,REC-039,order:39
HAS_RECITAL,Regulation,REG-001,Recital,REC-040,order:40
HAS_RECITAL,Regulation,REG-001,Recital,REC-041,order:41
HAS_RECITAL,Regulation,REG-001,Recital,REC-042,order:42
HAS_RECITAL,Regulation,REG-001,Recital,REC-043,order:43
HAS_RECITAL,Regulation,REG-001,Recital,REC-044,order:44
HAS_RECITAL,Regulation,REG-001,Recital,REC-045,order:45
HAS_RECITAL,Regulation,REG-001,Recital,REC-046,order:46
HAS_RECITAL,Regulation,REG-001,Recital,REC-047,order:47
HAS_RECITAL,Regulation,REG-001,Recital,REC-048,order:48
HAS_RECITAL,Regulation,REG-001,Recital,REC-049,order:49
HAS_RECITAL,Regulation,REG-001,Recital,REC-050,order:50
HAS_RECITAL,Regulation,REG-001,Recital,REC-051,order:51
HAS_RECITAL,Regulation,REG-001,Recital,REC-052,order:52
HAS_RECITAL,Regulation,REG-001,Recital,REC-053,order:53
