Node_Type,Node_ID,Chapter_Number,Name,Article_Range,Total_Articles,Total_Sections
Chapter,CH-01,1,General provisions,1-4,4,0
Chapter,CH-02,2,Principles,5-11,7,0
Chapter,CH-03,3,Rights of the data subject,12-23,12,5
Chapter,CH-04,4,Controller and processor,24-43,20,5
Chapter,CH-05,5,Transfers of personal data to third countries or international organisations,44-50,7,0
Chapter,CH-06,6,Independent supervisory authorities,51-59,9,3
Chapter,CH-07,7,Cooperation and consistency,60-76,17,3
Chapter,CH-08,8,"Remedies, liability and penalties",77-84,8,0
Chapter,CH-09,9,Provisions relating to specific processing situations,85-91,7,0
Chapter,CH-10,10,Delegated acts and implementing acts,92-93,2,0
Chapter,CH-11,11,Final provisions,94-99,6,0
