Node_ID,Node_Type,data_category_id,name,definition,level,parent_category,is_restricted,regulated_by_articles
DC001,DataCategory,GDPR-PD,Personal Data,"Any information relating to an identified or identifiable natural person",Root,NULL,false,"Article 4(1)"
DC002,DataCategory,GDPR-SPD,Special Categories of Personal Data,"Data revealing racial/ethnic origin, political opinions, religious beliefs, trade union membership, genetic data, biometric data for ID, health data, sex life/orientation data",Special,DC001,true,"Article 9"
DC003,DataCategory,GDPR-HD,Health Data,"Data relating to the health status of an individual",Special,DC002,true,"Article 9(1)"
DC004,DataCategory,GDPR-BD,Biometric Data,"Personal data resulting from specific technical processing relating to physical, physiological or behavioural characteristics",Special,DC002,true,"Article 9(1)"
DC005,DataCategory,GDPR-GD,Genetic Data,"Personal data relating to the genetic characteristics of an individual",Special,DC002,true,"Article 9(1)"
DC006,DataCategory,GDPR-RD,Racial/Ethnic Origin Data,"Data revealing racial or ethnic origin of an individual",Special,DC002,true,"Article 9(1)"
DC007,DataCategory,GDPR-POD,Political Opinion Data,"Data revealing political opinions of an individual",Special,DC002,true,"Article 9(1)"
DC008,DataCategory,GDPR-RBD,Religious/Philosophical Belief Data,"Data revealing religious or philosophical beliefs",Special,DC002,true,"Article 9(1)"
DC009,DataCategory,GDPR-TUD,Trade Union Data,"Data relating to trade union membership",Special,DC002,true,"Article 9(1)"
DC010,DataCategory,GDPR-SOD,Sex Life/Sexual Orientation Data,"Data relating to sex life or sexual orientation",Special,DC002,true,"Article 9(1)"
DC011,DataCategory,GDPR-CPD,Children's Personal Data,"Personal data of individuals under 16 years old",Child,DC001,false,"Article 8"
DC012,DataCategory,GDPR-SENPD,Sensitive Personal Data,"Personal data requiring special protection and restricted processing",Sensitive,DC001,true,"Article 9-10"
DC013,DataCategory,GDPR-PDCROSS,Cross-Border Personal Data,"Personal data transferred across borders",Context,DC001,false,"Chapter V"
DC014,DataCategory,GDPR-PII,Personally Identifiable Information,"Any data that can directly identify an individual",Core,DC001,false,"Article 4(1)"
DC015,DataCategory,GDPR-QUASI,Quasi-Identifying Data,"Data that can indirectly identify when combined with other information",Core,DC001,false,"Article 4(1)"
