Node_Type,Node_ID,Recital_Number,Title
Recital,REC-001,1,Data protection as a fundamental right
Recital,REC-002,2,Respect of the fundamental rights and freedoms
Recital,REC-003,3,Directive 95/46/EC harmonisation
Recital,REC-004,4,Data protection in balance with other fundamental rights
Recital,REC-005,5,Cooperation between Member States to exchange personal data
Recital,REC-006,6,Ensuring a high level of data protection despite the increased exchange of data
Recital,REC-007,7,The framework is based on control and certainty
Recital,REC-008,8,Adoption into national law
Recital,REC-009,9,Different standards of protection by the Directive 95/46/EC
Recital,REC-010,10,Harmonised level of data protection despite national scope
Recital,REC-011,11,Harmonisation of the powers and sanctions
Recital,REC-012,12,Authorization of the European Parliament and the Council
Recital,REC-013,13,"Taking account of micro, small and medium-sized enterprises"
Recital,REC-014,14,Not applicable to legal persons
Recital,REC-015,15,Technology neutrality
Recital,REC-016,16,Not applicable to activities regarding national and common security
Recital,REC-017,17,Adaptation of Regulation (EC) No 45/2001
Recital,REC-018,18,Not applicable to personal or household activities
Recital,REC-019,19,Not applicable to criminal prosecution
Recital,REC-020,20,Respecting the independence of the judiciary
Recital,REC-021,21,Liability rules of intermediary service providers shall remain unaffected
Recital,REC-022,22,Processing by an establishment
Recital,REC-023,23,Applicable to processors not established in the Union if data subjects within the Union are targeted
Recital,REC-024,24,Applicable to processors not established in the Union if data subjects within the Union are profiled
Recital,REC-025,25,Applicable to processors due to international law
Recital,REC-026,26,Not applicable to anonymous data
Recital,REC-027,27,Not applicable to pseudonymous data without additional information
Recital,REC-028,28,Introduction of pseudonymisation
Recital,REC-029,29,Pseudonymisation at the same controller
Recital,REC-030,30,Online identifiers for profiling and identification
Recital,REC-031,31,Establishment of public authorities
Recital,REC-032,32,Consent should be freely given
Recital,REC-033,33,Consent should be unambiguous
Recital,REC-034,34,Genetic data
Recital,REC-035,35,Health data
Recital,REC-036,36,Main establishment
Recital,REC-037,37,Group of undertakings
Recital,REC-038,38,Children deserve specific protection
Recital,REC-039,39,Principles of transparency and proportionality
Recital,REC-040,40,Processing necessary for the performance of a contract
Recital,REC-041,41,Processing necessary for compliance with a legal obligation
Recital,REC-042,42,Freely given consent
Recital,REC-043,43,Consent not freely given if there is a clear imbalance
Recital,REC-044,44,Processing necessary to protect the vital interests
Recital,REC-045,45,Processing in the public interest or in the exercise of official authority
Recital,REC-046,46,Definition of public interest
Recital,REC-047,47,Legitimate interest of the controller
Recital,REC-048,48,Controllers in the same group of undertakings
Recital,REC-049,49,Network and information security as overriding legitimate interest
Recital,REC-050,50,Further processing of personal data
Recital,REC-051,51,Protecting sensitive personal data
Recital,REC-052,52,Exceptions to the prohibition on processing special categories of personal data
Recital,REC-053,53,Processing of sensitive data in health and social sector
Recital,REC-054,54,Processing by public authorities
Recital,REC-055,55,Processing for health purposes by professional subject to confidentiality
Recital,REC-056,56,Processing for public health purposes
Recital,REC-057,57,Proportionate information to the data subject
Recital,REC-058,58,Right of access
Recital,REC-059,59,Procedures for the exercise of the rights of the data subjects
Recital,REC-060,60,Information obligation towards data subject
Recital,REC-061,61,Right of access including the information about the purposes
Recital,REC-062,62,Right to obtain copies of the data
Recital,REC-063,63,Right to rectification and erasure
Recital,REC-064,64,Right to erasure and restrictions on the exercise of that right
