source_id,target_id,rel_type,detail
DOC-KVKK-GDPR-2023,REF-01,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-02,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-03,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-04,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-05,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-06,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-07,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-08,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-09,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-10,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-11,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-12,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-13,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-14,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-15,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-16,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-17,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-18,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-19,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-20,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-21,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-22,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-23,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-24,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-25,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-26,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-27,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-28,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-29,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-30,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-31,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-32,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-33,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-34,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-35,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-36,CITES_REFERENCE,
DOC-KVKK-GDPR-2023,REF-37,CITES_REFERENCE,
