"section_id","heading"
"1798.100","General Duties of Businesses that Collect Personal Information"
"1798.105","Consumers' Right to Delete Personal Information"
"1798.106","Consumers' Right to Correct Inaccurate Personal Information"
"1798.110","The Right to Know What Personal Information is Being Collected"
"1798.115","The Right to Know What Personal Information is Sold or Shared and to Whom"
"1798.120","The Right to Opt-Out of Sale or Sharing of Personal Information"
"1798.121","The Right to Limit the Use and Disclosure of Sensitive Personal Information"
"1798.125","The Right to Non-Discrimination for the Exercise of a Consumer's Privacy Rights"
"1798.130","Notice, Disclosure, and Reporting Requirements"
"1798.135","Mechanisms for Opting Out of Sale or Sharing"
"1798.140","Definitions"
"1798.150","Private Right of Action for Data Breaches"
"1798.155","Administrative Enforcement and Fines"
"1798.160","Consumer Privacy Fund"
"1798.185","Rulemaking Authority of the CPPA"
"1798.199.40","Functions of the California Privacy Protection Agency"
