"requirement_id","section_id","type","text"
"REQ-100-1","1798.100","Obligation","Inform consumers at or before the point of collection about the categories of personal information to be collected."
"REQ-100-2","1798.100","Obligation","Do not collect additional categories of PI or use PI for incompatible purposes without providing notice."
"REQ-100-3","1798.100","Obligation","Inform consumers of the length of time the business intends to retain each category of personal information."
"REQ-100-4","1798.100","Restriction","Collection, use, retention, and sharing of PI shall be reasonably necessary and proportionate."
"REQ-100-5","1798.100","Obligation","Implement reasonable security procedures and practices."
"REQ-100-6","1798.100","Obligation","Ensure contracts with Service Providers, Contractors, and Third Parties are in place to protect PI."
"REQ-105-1","1798.105","Obligation","Delete a consumer's personal information upon receipt of a verifiable consumer request."
"REQ-106-1","1798.106","Obligation","Correct inaccurate personal information upon receipt of a verifiable consumer request."
"REQ-120-1","1798.120","Obligation","Provide a clear and conspicuous link on the business’s Internet homepage(s), titled ’Do Not Sell or Share My Personal Information’."
"REQ-121-1","1798.121","Obligation","Provide a clear and conspicuous link on the business’s Internet homepage(s), titled ’Limit the Use of My Sensitive Personal Information’."
"REQ-121-2","1798.121","Restriction","Stop using and disclosing sensitive personal information for purposes other than those specified in the regulations upon request."
"REQ-125-1","1798.125","Restriction","Do not discriminate against a consumer because the consumer exercised any of their rights."
"REQ-130-1","1798.130","Obligation","Disclose information about consumer rights and how to exercise them in a privacy policy."
"REQ-135-1","1798.135","Obligation","Ensure that the business’s privacy policy is updated at least once every 12 months."
"REQ-150-1","1798.150","Obligation","Maintain reasonable security procedures to protect personal information from unauthorized access, theft, or disclosure."
