"data_id","name","sensitivity"
"PI","Personal Information","Standard"
"SPI","Sensitive Personal Information","High"
"SPI-GovID","Government Identifiers (SSN, Passport)","High"
"SPI-Financial","Financial Account Information","High"
"SPI-Geolocation","Precise Geolocation","High"
"SPI-Race-Ethnic","Racial or Ethnic Origin","High"
"SPI-Communications","Contents of Mail, Email, or Text Messages","High"
"SPI-Genetic","Genetic Data","High"
"SPI-Biometric","Biometric Information","High"
"SPI-Health","Health Information","High"
"SPI-Sexual","Sex Life or Sexual Orientation","High"
