guidance_id,control_id,text
B.1.2.2,A.1.2.2,"The organization should ensure that PII principals understand the purpose for which their PII is processed. Documentation should be sufficiently clear and detailed."
B.1.2.3,A.1.2.3,"The legal basis for the processing of PII can include: consent, performance of a contract, compliance with legal obligation, legitimate interests, etc."
B.1.2.4,A.1.2.4,"The organization should clearly document when consent needs to be obtained and the requirements for obtaining consent, tracking specific jurisdictional requirements."
B.1.2.5,A.1.2.5,"The organization should obtain and record consent in such a way that it can provide details by request (time, identification, statement). Consent should be freely given, specific, and explicit."
B.1.2.6,A.1.2.6,"PII processing generates risks for PII principals. These risks should be assessed through a privacy impact assessment."
B.1.2.7,A.1.2.7,"The contract between the organization and any PII processor should require the PII processor to implement appropriate controls from Table A.2."
B.1.2.8,A.1.2.8,"Roles and responsibilities for the processing of PII should be determined in a transparent manner and documented in a contract or data sharing agreement."
B.1.2.9,A.1.2.9,"Documented information of the processing of PII can be maintained through an inventory or list of the PII processing activities that the organization performs."
B.1.3.2,A.1.3.2,"The organization should ensure that they provide appropriate means to meet obligations to PII principals in an accessible and timely manner."
B.1.3.3,A.1.3.3,"The organization should determine the legal, regulatory or business requirements for providing information to the PII principal."
B.1.3.4,A.1.3.4,"Information should be provided in a timely, concise, complete, transparent, intelligible and easily accessible form."
B.1.3.5,A.1.3.5,"The organization should inform PII principals of their rights related to withdrawing consent at any time and provide the mechanism to do so."
B.1.3.6,A.1.3.6,"The organization should document the legal and regulatory requirements related to objections by the PII principals to processing."
B.1.3.7,A.1.3.7,"The organization should implement policies for enabling PII principals to obtain access to, correct and erase their PII, if requested and without undue delay."
B.1.3.8,A.1.3.8,"The organization should take appropriate steps to inform third parties of any modification or withdrawal of consent, or objections pertaining to the shared PII."
B.1.3.9,A.1.3.9,"The organization should provide a copy of the PII that is processed in a structured, commonly used, format accessible by the PII principal."
B.1.3.10,A.1.3.10,"Requests should be handled within the appropriate defined response times depending on the complexity and number of the requests."
B.1.3.11,A.1.3.11,"Organizations should be able to demonstrate how they take compliance into account when a decision based solely on automated processing significantly affects principals."
B.1.4.2,A.1.4.2,"The organization should limit the collection of PII to what is adequate, relevant and necessary in relation to the identified purposes."
B.1.4.3,A.1.4.3,"Limiting the processing of PII should be managed through information security and privacy policies along with documented procedures."
B.1.4.4,A.1.4.4,"The organization should implement policies, procedures or mechanisms to minimize inaccuracies in the PII it processes."
B.1.4.5,A.1.4.5,"Organizations should identify how specific PII is limited relative to identified purposes, which can include de-identification or data minimization techniques."
B.1.4.6,A.1.4.6,"The organization should have mechanisms to erase the PII when no further processing is anticipated or use de-identification techniques."
B.1.4.7,A.1.4.7,"The organization should perform periodic checks that unused temporary files are deleted within the identified time period."
B.1.4.8,A.1.4.8,"The organization should develop and maintain retention schedules for information it retains."
B.1.4.9,A.1.4.9,"Factors to consider when choosing a disposal technique include the nature of the PII, metadata, and physical characteristics of the media."
B.1.4.10,A.1.4.10,"Transmission of PII should be controlled, ensuring only authorized individuals have access to transmission systems."
B.1.5.2,A.1.5.2,"The organization should document compliance to legal requirements as the basis for PII transfer depending on jurisdiction."
B.1.5.3,A.1.5.3,"The identities of the countries and international organizations to which PII can possibly be transferred should be made available to customers."
B.1.5.4,A.1.5.4,"The organization should apply the data minimization principle to the records of transfers by retaining only the strictly needed information."
B.1.5.5,A.1.5.5,"PII can be disclosed during normal operations. These disclosures should be recorded, including the source of authority."
B.2.2.2,A.2.2.2,"The contract should include privacy by design, achieving security, notification of breaches, and privacy impact assessments."
B.2.2.3,A.2.2.3,"The organization should allow the customer to verify its compliance with the purpose specification and limitation principles."
B.2.2.4,A.2.2.4,"Compliance of PII processors with the customer's contractual requirements should be documented, especially where marketing or advertising is planned."
B.2.2.5,A.2.2.5,"The organization's ability to verify if the instruction infringes legal requirements can depend on the technological context."
B.2.2.6,A.2.2.6,"Information needed by the customer can include whether the organization allows for and contributes to audits conducted by the customer."
B.2.2.7,A.2.2.7,"The organization must record categories of processing, transfers to third countries, and a description of security measures."
B.2.3.2,A.2.3.2,"Where a customer depends on the organization for information or technical measures, relevant measures should be specified in a contract."
B.2.4.2,A.2.4.2,"The organization should conduct periodic verification that unused temporary files are deleted within the identified time period."
B.2.4.3,A.2.4.3,"The capability for the return, transfer or disposal of PII should be managed in a secure manner."
B.2.4.4,A.2.4.4,"Requirements for transmission controls can be included in the contract between the PII processor and the customer."
B.2.5.2,A.2.5.2,"The organization should inform the customer of any transfer of PII, including transfers to suppliers, other parties, or countries."
B.2.5.3,A.2.5.3,"Identities of countries arising from the use of subcontracted PII processing should be included."
B.2.5.4,A.2.5.4,"Any additional disclosures to third parties, such as those arising from legal investigations, should be recorded."
B.2.5.5,A.2.5.5,"The organization should notify the customer of any request within agreed time frames unless legally prohibited."
B.2.5.6,A.2.5.6,"Details relevant to the implementation of the control can be included in the customer contract."
B.2.5.7,A.2.5.7,"Information disclosed should cover the fact that subcontracting is used and the names of relevant subcontractors."
B.2.5.8,A.2.5.8,"A written authorization from the customer is required prior to the PII being processed by the subcontractor."
B.2.5.9,A.2.5.9,"Where the organization changes the subcontractor, written authorization from the customer is required for the change."
