Subcategory_Code,Category_Code,Function_Code,Subcategory_Description
ID.IM-P1,ID.IM-P,ID-P,"Systems/products/services that process data are inventoried."
ID.IM-P2,ID.IM-P,ID-P,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried."
ID.IM-P3,ID.IM-P,ID-P,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried."
ID.IM-P4,ID.IM-P,ID-P,"Data actions of the systems/products/services are inventoried."
ID.IM-P5,ID.IM-P,ID-P,"The purposes for the data actions are inventoried."
ID.IM-P6,ID.IM-P,ID-P,"Data elements within the data actions are inventoried."
ID.IM-P7,ID.IM-P,ID-P,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties)."
ID.IM-P8,ID.IM-P,ID-P,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services."
ID.BE-P1,ID.BE-P,ID-P,"The organization’s role(s) in the data processing ecosystem are identified and communicated."
ID.BE-P2,ID.BE-P,ID-P,"Priorities for organizational mission, objectives, and activities are established and communicated."
ID.BE-P3,ID.BE-P,ID-P,"Systems/products/services that support organizational priorities are identified and key requirements communicated."
ID.RA-P1,ID.RA-P,ID-P,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties)."
ID.RA-P2,ID.RA-P,ID-P,"Data analytic inputs and outputs are identified and evaluated for bias."
ID.RA-P3,ID.RA-P,ID-P,"Potential problematic data actions and associated problems are identified."
ID.RA-P4,ID.RA-P,ID-P,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk."
ID.RA-P5,ID.RA-P,ID-P,"Risk responses are identified, prioritized, and implemented."
ID.DE-P1,ID.DE-P,ID-P,"Data processing ecosystem risk management policies, processes, and procedures are identified, established, assessed, managed, and agreed to by organizational stakeholders."
ID.DE-P2,ID.DE-P,ID-P,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified, prioritized, and assessed using a privacy risk assessment process."
ID.DE-P3,ID.DE-P,ID-P,"Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program."
ID.DE-P4,ID.DE-P,ID-P,"Interoperability frameworks or similar multi-party approaches are used to manage data processing ecosystem privacy risks."
ID.DE-P5,ID.DE-P,ID-P,"Data processing ecosystem parties are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual, interoperability framework, or other obligations."
GV.PO-P1,GV.PO-P,GV-P,"Organizational privacy values and policies (e.g., conditions on data processing such as data uses or retention periods, individuals’ prerogatives with respect to data processing) are established and communicated."
GV.PO-P2,GV.PO-P,GV-P,"Processes to instill organizational privacy values within system/product/service development and operations are established and in place."
GV.PO-P3,GV.PO-P,GV-P,"Roles and responsibilities for the workforce are established with respect to privacy."
GV.PO-P4,GV.PO-P,GV-P,"Privacy roles and responsibilities are coordinated and aligned with third-party stakeholders (e.g., service providers, customers, partners)."
GV.PO-P5,GV.PO-P,GV-P,"Legal, regulatory, and contractual requirements regarding privacy are understood and managed."
GV.PO-P6,GV.PO-P,GV-P,"Governance and risk management policies, processes, and procedures address privacy risks."
GV.RM-P1,GV.RM-P,GV-P,"Risk management processes are established, managed, and agreed to by organizational stakeholders."
