category_id,function_id,category_name,subcategory_count,category_description
ID.IM-P,ID-P,Inventory and Mapping,8,"Data processing by systems, products, or services is understood and informs the management of privacy risk"
ID.BE-P,ID-P,Business Environment,3,"The organizations mission, objectives, stakeholders, and activities are understood and prioritized"
ID.RA-P,ID-P,Risk Assessment,5,The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts
ID.DE-P,ID-P,Data Processing Ecosystem Risk Management,5,"Processes to identify, assess, and manage privacy risks within the data processing ecosystem"
GV.PO-P,GV-P,"Governance Policies, Processes, and Procedures",6,"Policies, processes, and procedures to manage and monitor regulatory, legal, risk, environmental, and operational requirements"
GV.RM-P,GV-P,Risk Management Strategy,3,"Organizations priorities, constraints, risk tolerances, and assumptions to support operational risk decisions"
GV.AT-P,GV-P,Awareness and Training,4,Workforce and third parties are provided privacy awareness education and training
GV.MT-P,GV-P,Monitoring and Review,7,"Policies, processes, and procedures for ongoing review of the organizations privacy posture"
CT.PO-P,CT-P,"Data Processing Policies, Processes, and Procedures",4,"Policies, processes, and procedures maintained and used to manage data processing"
CT.DM-P,CT-P,Data Processing Management,10,Data are managed consistent with the organizations risk strategy to protect individuals privacy
CT.DP-P,CT-P,Disassociated Processing,5,Data processing solutions increase disassociability consistent with the organizations risk strategy
CM.PO-P,CM-P,"Communication Policies, Processes, and Procedures",2,"Policies, processes, and procedures to increase transparency of data processing practices"
CM.AW-P,CM-P,Data Processing Awareness,8,Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks
PR.PO-P,PR-P,"Data Protection Policies, Processes, and Procedures",10,"Security and privacy policies, processes, and procedures maintained and used to manage the protection of data"
PR.AC-P,PR-P,"Identity Management, Authentication, and Access Control",6,"Access to data and devices is limited to authorized individuals, processes, and devices"
PR.DS-P,PR-P,Data Security,8,"Data are managed consistent with the organizations risk strategy to protect individuals privacy and maintain data confidentiality, integrity, and availability"
PR.MA-P,PR-P,Maintenance,2,"System maintenance and repairs are performed consistent with policies, processes, and procedures"
PR.PT-P,PR-P,Protective Technology,4,Technical security solutions are managed to ensure the security and resilience of systems/products/services
