Sub-Category,Category,Function,subcategory_name,,subcategory_type
ID.IM-P1,ID.IM-P,ID-P,Systems/products/services that process data are inventoried.,,Inventory and Mapping
ID.IM-P2,ID.IM-P,ID-P,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried.",,Inventory and Mapping
ID.IM-P3,ID.IM-P,ID-P,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried.",,Inventory and Mapping
ID.IM-P4,ID.IM-P,ID-P,Data actions of the systems/products/services are inventoried.,,Inventory and Mapping
ID.IM-P5,ID.IM-P,ID-P,The purposes for the data actions are inventoried.,,Inventory and Mapping
ID.IM-P6,ID.IM-P,ID-P,Data elements within the data actions are inventoried.,,Inventory and Mapping
ID.IM-P7,ID.IM-P,ID-P,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties).",,Inventory and Mapping
ID.IM-P8,ID.IM-P,ID-P,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services.",,Inventory and Mapping
ID.BE-P1,ID.BE-P,ID-P,The organization’s role(s) in the data processing ecosystem are identified and communicated.,,Business Environment
ID.BE-P2,ID.BE-P,ID-P,"Priorities for organizational mission, objectives, and activities are established and communicated.",,Business Environment
ID.BE-P3,ID.BE-P,ID-P,Systems/products/services that support organizational priorities are identified and key requirements communicated.,,Business Environment
ID.RA-P1,ID.RA-P,ID-P,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties). ",,Risk Assessment
ID.RA-P2,ID.RA-P,ID-P,Data analytic inputs and outputs are identified and evaluated for bias.,,Risk Assessment
ID.RA-P3,ID.RA-P,ID-P,Potential problematic data actions and associated problems are identified.,,Risk Assessment
ID.RA-P4,ID.RA-P,ID-P,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk.",,Risk Assessment
