category_id,category_name,category_code,description,requires_consent,gdpr_equivalent,special_handling_required,examples,consumer_visibility,retention_guidance_months,audit_frequency_months
CAT-001,Contact Information,CONTACT,"Name, email, phone, mailing address",false,Contact Data,false,"John Doe, john@example.com, 555-1234",true,12,6
CAT-002,Financial Information,FINANCIAL,"Bank accounts, credit card numbers, transaction history, income",true,Financial Data,true,"Bank account ending in 1234, Annual income $75000",true,36,3
CAT-003,Health Information,HEALTH,"Medical records, prescriptions, health conditions, hospital visits",true,Health Data,true,"Diabetes diagnosis, Allergy to penicillin",true,72,3
CAT-004,Biometric Data,BIOMETRIC,"Fingerprints, facial recognition, iris scan, voice patterns",true,Biometric Data,true,"Fingerprint scan, Facial recognition ID",true,60,2
CAT-005,Location Data,LOCATION,"GPS coordinates, IP address, movement tracking, home address",true,Location Data,true,"Last known location: 123 Main St, Current IP: 192.168.1.1",true,24,6
CAT-006,Behavioral Data,BEHAVIORAL,"Browsing history, purchase patterns, website activity, social media",false,Behavioral Data,false,"Browsing history, Purchase history, Clickstream data",true,12,6
CAT-007,Government Identifiers,GOV_ID,"Social Security numbers, driver's license, passport",true,Government ID,true,"SSN: XXX-XX-1234, DL: D12345678",true,72,2
CAT-008,Employment Information,EMPLOYMENT,"Job title, employment history, salary, performance reviews",false,Employment Data,false,"Software Engineer at Tech Corp, 5 years tenure",true,24,6
CAT-009,Educational Records,EDUCATION,"School records, degrees, grades, GPA, transcript",false,Education Data,false,"BS Computer Science, GPA 3.8, Graduated 2020",true,60,12
CAT-010,Professional Licenses,LICENSE,"Professional certifications, licenses, credentials, memberships",false,Professional Data,false,"CPA License #1234, AWS Certification",true,36,12
