category_id,category_name,category_code,description,requires_consent,gdpr_equivalent,special_handling_required,examples,consumer_visibility,retention_guidance_months,audit_frequency_months
DC-001,Contact Information,CONTACT,"Information used to communicate with consumer including email, phone, and postal address",False,Article 4(1) - Personal data definition,False,Email Address|Phone Number|Postal Address|Business Address|Contact Phone,True,36,12
DC-002,Identity Information,IDENTITY,"Data used for identification purposes including names, identifiers, and document numbers",False,Article 4(1) - Personal data definition,False,First Name|Last Name|Full Name|Customer ID|Passport Number|Driver License Number,True,60,12
DC-003,Demographic Information,DEMOGRAPHIC,"Data about personal characteristics such as age, gender, race, and marital status",True,Article 9 - Special categories of data,True,Age|Birth Date|Gender|Race|Ethnicity|Marital Status|Family Composition,True,24,6
DC-004,Financial Information,FINANCIAL,"Data related to financial status, accounts, and transactions",False,Article 4(1) - Personal data definition,True,Bank Account Number|Credit Card Number|Income|Financial Accounts|Transaction History|Credit Score,True,84,6
DC-005,Health and Medical Information,HEALTH,"Data related to physical or mental health condition, medical records, and health history",True,Article 9(1) - Special categories requiring explicit consent,True,Medical Diagnosis|Health Condition|Prescription|Medical Records|Health Insurance|Medical Provider,True,120,3
DC-006,Location and Movement Data,LOCATION,Data about geographical location and movement patterns including precise geolocation,True,Article 9 - Special category when combined with personal data,True,GPS Coordinates|Home Address|Work Address|Travel History|Movement Patterns|Location Timestamp,True,12,3
DC-007,Biometric Information,BIOMETRIC,"Biometric data for identification including fingerprints, facial features, and iris scans",True,Article 9(1) - Special categories,True,Fingerprint|Facial Features|Iris Scan|Voice Pattern|Gait Analysis|DNA,False,36,3
DC-008,Behavioral and Activity Data,BEHAVIORAL,"Data about online and offline behavior, browsing history, and activity patterns",True,Article 4(11) - Profiling definition,True,Browsing History|Purchase History|Search Queries|Website Activity|Click Patterns|Usage Statistics,True,24,6
DC-009,Device and Network Information,DEVICE,Information about devices and network identifiers used by consumer,False,Article 4(1) - Personal data when linked to individual,False,IP Address|Device ID|MAC Address|Device Type|Operating System|Browser Type|Cookies,True,12,12
DC-010,Professional and Employment Information,EMPLOYMENT,"Data related to employment status, job title, employer, and professional background",False,Article 4(1) - Personal data definition,False,Job Title|Employer|Employment Status|Work Experience|Professional Credentials|Salary,True,36,12
DC-011,Education and Qualification Information,EDUCATION,"Data about educational background, qualifications, and learning history",False,Article 4(1) - Personal data definition,False,School Name|Degree|GPA|Graduation Date|Certification|Field of Study|Education History,True,60,12
DC-012,Social and Relationship Information,SOCIAL,"Data about social connections, relationships, and family information",True,Article 9 - Special categories when sensitive,True,Family Members|Relationships|Social Network Connections|Emergency Contacts|Spouse Info|Children Info,True,24,6
