external_id,source_framework,text
GDPR-Article_15,GDPR,Right to access personal data
GDPR-Article_16,GDPR,Right to rectification of inaccurate personal data
GDPR-Article_17,GDPR,Right to erasure (right to be forgotten)
GDPR-Article_20,GDPR,Right to data portability
GDPR-Article_21,GDPR,Right to object to processing including profiling
GDPR-Article_7,GDPR,Conditions for consent
GDPR-Article_9,GDPR,Processing of special categories of personal data
GDPR-Article_5,GDPR,Principles relating to processing (lawfulness fairness transparency)
GDPR-Article_25,GDPR,Data protection by design and by default
GDPR-Article_32,GDPR,Security of processing
GDPR-Article_35,GDPR,Data protection impact assessment
GDPR-Article_13,GDPR,Information to be provided where personal data collected from data subject
GDPR-Article_28,GDPR,Processor obligations and contracts
CCPA-1798.100,CCPA,Right to know what personal information is collected
CCPA-1798.105,CCPA,Right to deletion of personal information
CCPA-1798.110,CCPA,Right to know categories and specific pieces of personal information
CCPA-1798.115,CCPA,Right to know categories of personal information sold or disclosed
CCPA-1798.120,CCPA,Right to opt-out of sale of personal information
CCPA-1798.125,CCPA,Non-discrimination for exercising privacy rights
CCPA-1798.130,CCPA,Notice at collection of personal information
CCPA-1798.135,CCPA,Methods for submitting requests and opt-out
CCPA-1798.140,CCPA,Definitions including personal information and sale
CPRA-1798.121,CPRA,Right to limit use and disclosure of sensitive personal information
CPRA-1798.106,CPRA,Right to correct inaccurate personal information
CPRA-1798.185,CPRA,Regulations for automated decision-making technology
CPRA-1798.100-c,CPRA,Consent required for collection use or disclosure of sensitive personal information
NIST-PR.AC-1,NIST Privacy Framework,Identity and access management for individuals and devices
NIST-PR.AC-2,NIST Privacy Framework,Enable individuals to access their data
NIST-PR.AC-3,NIST Privacy Framework,Enable individuals to manage processing of their data
NIST-PR.AC-4,NIST Privacy Framework,Enable individuals to correct delete or port their data
NIST-PR.DS-1,NIST Privacy Framework,Data processing policies and procedures
NIST-PR.DS-2,NIST Privacy Framework,Data quality and integrity
NIST-PR.DS-3,NIST Privacy Framework,Data disposal retention and deletion
NIST-PR.DS-5,NIST Privacy Framework,De-identification of personal data
NIST-PR.DS-8,NIST Privacy Framework,Integrity and confidentiality of personal data
NIST-PR.IP-1,NIST Privacy Framework,Consent and choice mechanisms
NIST-PR.IP-2,NIST Privacy Framework,Data minimization and retention
NIST-PR.IP-3,NIST Privacy Framework,Purpose limitation
NIST-PR.IP-4,NIST Privacy Framework,Privacy notice and transparency
NIST-PR.PO-1,NIST Privacy Framework,Organizational privacy governance and risk management
NIST-PR.PO-3,NIST Privacy Framework,Data protection assessments
NIST-CM.AW-1,NIST Privacy Framework,Awareness and training for personnel
NIST-CSF-PR.AC-4,NIST Cybersecurity Framework,Access permissions and authorizations managed
NIST-CSF-PR.DS-1,NIST Cybersecurity Framework,Data-at-rest is protected
NIST-CSF-PR.DS-2,NIST Cybersecurity Framework,Data-in-transit is protected
NIST-CSF-PR.PT-2,NIST Cybersecurity Framework,Removable media is protected and use restricted
NIST-CSF-DE.CM-1,NIST Cybersecurity Framework,Network monitored to detect anomalous activity
ISO-27701-5.2.1,ISO/IEC 27701,Conditions for collection and processing
ISO-27701-5.2.2,ISO/IEC 27701,Lawfulness of processing
ISO-27701-5.2.3,ISO/IEC 27701,Specific purpose and data minimization
ISO-27701-5.2.4,ISO/IEC 27701,Accuracy and data quality
ISO-27701-5.5.1,ISO/IEC 27701,Providing mechanism to modify or withdraw consent
ISO-27701-5.7.1,ISO/IEC 27701,Privacy rights of data subjects
ISO-27701-5.7.2,ISO/IEC 27701,Requests by data subjects
ISO-27701-5.7.3,ISO/IEC 27701,Data subject access
ISO-27701-5.7.4,ISO/IEC 27701,Rectification and erasure
ISO-27701-6.2.1,ISO/IEC 27701,Privacy impact assessment
CPA-6-1-1306,Colorado Privacy Act,Consumer rights to access correct delete and portability
CPA-6-1-1308,Colorado Privacy Act,Controller data protection obligations
CPA-6-1-1309,Colorado Privacy Act,Processor obligations
CPA-6-1-1313,Colorado Privacy Act,Data protection assessments
UCPA-13-61-302,Utah Consumer Privacy Act,Consumer rights to access delete and portability
UCPA-13-61-303,Utah Consumer Privacy Act,Controller responsibilities
CTDPA-42-520,Connecticut Data Privacy Act,Consumer rights to access correction deletion portability opt-out
CTDPA-42-521,Connecticut Data Privacy Act,Controller responsibilities including data minimization
CTDPA-42-522,Connecticut Data Privacy Act,Data protection assessments
