impl_id,owner_department
IMPL-CONSUMER_REQUEST_PROCESS,Privacy Operations
IMPL-CONSUMER_REQUEST_AUTHENTICATION,Privacy Operations
IMPL-ACCESS_REQUEST_RESPONSE,Privacy Operations
IMPL-CORRECTION_REQUEST_PROCESS,Privacy Operations
IMPL-DELETION_REQUEST_PROCESS,Privacy Operations
IMPL-PORTABILITY_REQUEST_FORMAT,Privacy Operations
IMPL-OPT_OUT_TRACKING,Privacy Operations
IMPL-APPEAL_PROCESS,Privacy Operations
IMPL-DATA_MINIMIZATION_POLICY,Privacy Engineering
IMPL-SECURITY_CONTROLS_FRAMEWORK,Security Operations
IMPL-PRIVACY_NOTICE_TEMPLATE,Privacy Operations
IMPL-OPT_OUT_MECHANISM,Digital Marketing
IMPL-PROCESSOR_AGREEMENT_TEMPLATE,Legal
IMPL-DPA_TEMPLATE,Privacy/Compliance
IMPL-DPA_SENSITIVE_DATA,Privacy/Compliance
IMPL-DPA_TARGETED_ADVERTISING,Privacy/Compliance
IMPL-DPA_HEIGHTENED_RISK,Privacy/Compliance
IMPL-DEIDENTIFICATION_STANDARD,Data Engineering
IMPL-REIDENTIFICATION_COMMITMENT,Data Engineering
