section_id,full_citation,heading,text,topic
59.1-575,Va. Code Ann. § 59.1-575,Definitions,"As used in this chapter, unless the context requires a different meaning: [defined terms include affiliate, authenticate, biometric data, child, consent, consumer, controller, de-identified data, personal data, precise geolocation data, process or processing, processor, profiling, pseudonymous data, publicly available information, sale of personal data, sensitive data, social media platform, targeted advertising, third party, and user].",Definitions
59.1-576,Va. Code Ann. § 59.1-576,Scope; exemptions,"A. This chapter applies to persons that conduct business in the Commonwealth or produce products or services that are targeted to residents of the Commonwealth and that (i) during a calendar year, control or process personal data of at least 100,000 consumers or (ii) control or process personal data of at least 25,000 consumers and derive over 50 percent of gross revenue from the sale of personal data. B. Entity-level exemptions. C. Fourteen categories of exempt information and data. D. COPPA verifiable parental consent deemed compliant.",Scope and Exemptions
59.1-577,Va. Code Ann. § 59.1-577,Personal data rights; consumers,"A. A consumer may invoke the consumer rights authorized pursuant to this subsection at any time by submitting a request to a controller specifying the consumer rights the consumer wishes to invoke. B. Response within 45 days, extendable once by 45 additional days; free up to twice annually; authentication. C. Appeal process, with a written response within 60 days and a method to contact the Attorney General.",Consumer Rights
59.1-577.1,Va. Code Ann. § 59.1-577.1,Social media platforms; responsibilities and prohibitions related to minors,"A. ""Minor"" means any natural person younger than 16 years of age. B. Social media platforms shall use commercially reasonable methods to determine whether a user is a minor and limit a minor's use to one hour per day, per service or application, subject to verifiable parental consent to adjust the limit. C. Age-determination information shall not be used for any other purpose.",Minors; Social Media Platforms
59.1-578,Va. Code Ann. § 59.1-578,Data controller responsibilities; transparency,"A. Controller duties: data minimization; purpose limitation; reasonable administrative, technical, and physical data security practices; non-discrimination; consent for sensitive data; and no sale of precise geolocation data. B. Waivers of consumer rights are void. C. Privacy notice contents. D. Disclosure of sale and targeted advertising with opt-out. E. Secure and reliable request mechanism. F. Limits on processing personal data collected from a known child.",Controller Obligations
59.1-579,Va. Code Ann. § 59.1-579,Responsibility according to role; controller and processor,A. A processor shall adhere to the instructions of a controller and shall assist the controller in meeting its obligations. B. A contract between a controller and a processor shall govern the processor's data processing procedures and shall include the enumerated required terms. C. Neither party is relieved of liabilities imposed by virtue of its role. D. Controller or processor status is a fact-based determination.,Processor Obligations
59.1-580,Va. Code Ann. § 59.1-580,Data protection assessments,"A. A controller shall conduct and document a data protection assessment of targeted advertising, sale of personal data, risky profiling, processing of sensitive data, and processing presenting a heightened risk of harm. B. Assessments for online services directed to known children. C. Assessments shall identify and weigh benefits against potential risks as mitigated by safeguards. D. Attorney General may request assessments by civil investigative demand; assessments are confidential and exempt from FOIA. E. A single assessment may address comparable operations. F. Comparable assessments under other laws may comply. G. Requirements apply to processing activities created or generated after January 1, 2023, and are not retroactive.",Data Protection Assessments
59.1-581,Va. Code Ann. § 59.1-581,Processing de-identified data; exemptions,A. Duties of a controller in possession of de-identified data. B. No obligation to re-identify or maintain data in identifiable form. C. Conditions under which an authenticated consumer request need not be honored. D. Consumer rights in subdivisions A 1 through 4 of § 59.1-577 and § 59.1-578 do not apply to pseudonymous data where identifying information is kept separately and subject to effective controls. E. Reasonable oversight of contractual commitments.,De-identified and Pseudonymous Data
59.1-582,Va. Code Ann. § 59.1-582,Limitations,"A. Nothing in this chapter restricts a controller's or processor's ability to comply with law, cooperate with law enforcement, defend legal claims, provide requested products or services, protect life or physical safety, prevent or respond to security incidents and fraud, or conduct approved public interest research. B. Internal research, product recall, technical error repair, and internal operations. C. Evidentiary privilege. D. Disclosure to third parties absent actual knowledge of intended violation. E. Free speech and purely personal or household activity. F-H. Proportionality, burden of demonstrating an exemption, and status.",Limitations and Exemptions
59.1-583,Va. Code Ann. § 59.1-583,Investigative authority,"Whenever the Attorney General has reasonable cause to believe that any person has engaged in, is engaging in, or is about to engage in any violation of this chapter, the Attorney General is empowered to issue a civil investigative demand. The provisions of § 59.1-9.10 shall apply mutatis mutandis to civil investigative demands issued under this section.",Investigative Authority
59.1-584,Va. Code Ann. § 59.1-584,Enforcement; civil penalty; expenses,"A. The Attorney General shall have exclusive authority to enforce the provisions of this chapter. B. Prior to initiating any action, the Attorney General shall provide 30 days' written notice; if the violation is cured within that period and an express written statement is provided, no action shall be initiated. C. Continued violation or breach of the written statement permits an action seeking an injunction and civil penalties of up to $7,500 for each violation, paid into the state treasury and credited to the Regulatory, Consumer Advocacy, Litigation, and Enforcement Revolving Trust Fund. D. Recovery of reasonable expenses and attorney fees. E. No private right of action.",Enforcement
59.1-585,Va. Code Ann. § 59.1-585,Repealed,"Repealed by Acts 2022, cc. 451 and 452, cl. 2. The Consumer Privacy Fund formerly established by this section no longer exists; civil penalties, expenses, and attorney fees are credited to the Regulatory, Consumer Advocacy, Litigation, and Enforcement Revolving Trust Fund pursuant to § 59.1-584(C).",Repealed
