role_id,name,description,threshold
CONTROLLER,Controller,"The natural or legal person that, alone or jointly with others, determines the purpose and means of processing personal data (§ 59.1-575).","At least 100,000 consumers, or at least 25,000 consumers and over 50 percent of gross revenue from the sale of personal data (§ 59.1-576(A))"
PROCESSOR,Processor,A natural or legal entity that processes personal data on behalf of a controller (§ 59.1-575).,Determined by contract with a controller pursuant to § 59.1-579(B)
CONSUMER,Consumer,A natural person who is a resident of the Commonwealth acting only in an individual or household context; does not include a natural person acting in a commercial or employment context (§ 59.1-575).,Virginia resident acting in an individual or household context
CHILD,Child,Any natural person younger than 13 years of age (§ 59.1-575).,Younger than 13 years of age
MINOR,Minor,"For purposes of § 59.1-577.1, any natural person younger than 16 years of age.",Younger than 16 years of age
PARENT_GUARDIAN,Parent,A parent or legal guardian of a child or minor (§ 59.1-575). A known child's parent or legal guardian may invoke consumer rights on behalf of the child (§ 59.1-577(A)).,Parent or legal guardian
THIRD_PARTY,Third Party,"A natural or legal person, public authority, agency, or body other than the consumer, controller, processor, or an affiliate of the processor or the controller (§ 59.1-575).",Unaffiliated party
AFFILIATE,Affiliate,"A legal entity that controls, is controlled by, or is under common control with another legal entity or shares common branding with another legal entity (§ 59.1-575).","More than 50 percent ownership or voting power, control over a majority of directors, or controlling influence over management"
USER,User,A person not acting as an agent of a controller or processor (§ 59.1-575).,Not an agent of a controller or processor
VIRGINIA_ATTORNEY_GENERAL,Virginia Attorney General,The Attorney General shall have exclusive authority to enforce the provisions of this chapter (§ 59.1-584(A)) and is empowered to issue civil investigative demands (§ 59.1-583).,Exclusive enforcement authority
