requirement_id,data_id,scope
VCDPA-59.1-577-R1,PERSONAL_DATA,all
VCDPA-59.1-577-R2,PERSONAL_DATA,all
VCDPA-59.1-577-R3,PERSONAL_DATA,all
VCDPA-59.1-577-R4,PERSONAL_DATA,all
VCDPA-59.1-578-R1,PERSONAL_DATA,all
VCDPA-59.1-578-R5,SENSITIVE_DATA_RACE_ETHNICITY,specific
VCDPA-59.1-578-R5,SENSITIVE_DATA_RELIGIOUS_BELIEFS,specific
VCDPA-59.1-578-R5,SENSITIVE_DATA_HEALTH,specific
VCDPA-59.1-578-R5,SENSITIVE_DATA_CHILD,specific
VCDPA-59.1-580-R2,SENSITIVE_DATA_RACE_ETHNICITY,specific
VCDPA-59.1-580-R2,SENSITIVE_DATA_HEALTH,specific
