requirement_id,role_id,applicability
VCDPA-59.1-577-R1,CONSUMER,entitled
VCDPA-59.1-577-R2,CONSUMER,entitled
VCDPA-59.1-577-R3,CONSUMER,entitled
VCDPA-59.1-577-R4,CONSUMER,entitled
VCDPA-59.1-577-R5,CONSUMER,entitled
VCDPA-59.1-577-R1,PARENT_GUARDIAN,request_initiator
VCDPA-59.1-577-R6,CONTROLLER,mandatory
VCDPA-59.1-577-R7,CONTROLLER,mandatory
VCDPA-59.1-577-R8,CONTROLLER,mandatory
VCDPA-59.1-578-R1,CONTROLLER,mandatory
VCDPA-59.1-578-R2,CONTROLLER,mandatory
VCDPA-59.1-578-R3,CONTROLLER,mandatory
VCDPA-59.1-578-R4,CONTROLLER,mandatory
VCDPA-59.1-578-R5,CONTROLLER,mandatory
VCDPA-59.1-578-R6,CONTROLLER,mandatory
VCDPA-59.1-578-R7,CONTROLLER,mandatory
VCDPA-59.1-578-R8,CONTROLLER,mandatory
VCDPA-59.1-578-R9,CONTROLLER,mandatory
VCDPA-59.1-578-R10,CONTROLLER,mandatory
VCDPA-59.1-578-R10,CHILD,protected_subject
VCDPA-59.1-579-R1,PROCESSOR,mandatory
VCDPA-59.1-579-R2,PROCESSOR,mandatory
VCDPA-59.1-579-R3,PROCESSOR,mandatory
VCDPA-59.1-579-R4,PROCESSOR,mandatory
VCDPA-59.1-579-R5,PROCESSOR,mandatory
VCDPA-59.1-579-R5,CONTROLLER,mandatory
VCDPA-59.1-580-R1,CONTROLLER,mandatory
VCDPA-59.1-580-R2,CONTROLLER,mandatory
VCDPA-59.1-580-R3,CONTROLLER,mandatory
VCDPA-59.1-580-R4,CONTROLLER,mandatory
VCDPA-59.1-580-R5,CONTROLLER,mandatory
VCDPA-59.1-580-R6,CONTROLLER,mandatory
VCDPA-59.1-581-R1,CONTROLLER,mandatory
VCDPA-59.1-581-R2,CONTROLLER,mandatory
VCDPA-59.1-581-R3,CONTROLLER,mandatory
VCDPA-59.1-584-R1,VIRGINIA_ATTORNEY_GENERAL,authority
VCDPA-59.1-584-R2,VIRGINIA_ATTORNEY_GENERAL,authority
VCDPA-59.1-584-R1,CONTROLLER,subject
VCDPA-59.1-584-R1,PROCESSOR,subject
VCDPA-59.1-584-R2,CONTROLLER,subject
VCDPA-59.1-584-R2,PROCESSOR,subject
