duty_id,type,description
DUTY-DATA-MINIMIZATION,LimitCollection,"Limit the collection of personal data to what is adequate, relevant, and reasonably necessary in relation to the purposes for which such data is processed, as disclosed to the consumer (§ 59.1-578(A)(1))."
DUTY-PURPOSE-LIMITATION,PurposeLimitation,"Except as otherwise provided in this chapter, not process personal data for purposes that are neither reasonably necessary to nor compatible with the disclosed purposes for which such personal data is processed, as disclosed to the consumer, unless the controller obtains the consumer's consent (§ 59.1-578(A)(2))."
DUTY-SECURITY,DataSecurity,"Establish, implement, and maintain reasonable administrative, technical, and physical data security practices to protect the confidentiality, integrity, and accessibility of personal data. Such data security practices shall be appropriate to the volume and nature of the personal data at issue (§ 59.1-578(A)(3))."
DUTY-NON-DISCRIMINATION,NonDiscrimination,"Not process personal data in violation of state and federal laws that prohibit unlawful discrimination against consumers, and not discriminate against a consumer for exercising any of the consumer rights contained in this chapter, including denying goods or services, charging different prices or rates, or providing a different level of quality of goods and services (§ 59.1-578(A)(4))."
DUTY-SENSITIVE-CONSENT,ConsentForSensitiveData,"Not process sensitive data concerning a consumer without obtaining the consumer's consent, or, in the case of the processing of sensitive data concerning a known child, without processing such data in accordance with the federal Children's Online Privacy Protection Act (15 U.S.C. § 6501 et seq.) (§ 59.1-578(A)(5))."
DUTY-NO-GEO-SALE,ProhibitionOnGeolocationSale,Not sell or offer for sale precise geolocation data concerning a consumer (§ 59.1-578(A)(6)).
DUTY-PRIVACY-NOTICE,ProvidePrivacyNotice,"Provide consumers with a reasonably accessible, clear, and meaningful privacy notice (§ 59.1-578(C))."
DUTY-OPTOUT-DISCLOSURE,DiscloseSaleAndTargetedAds,"If a controller sells personal data to third parties or processes personal data for targeted advertising, clearly and conspicuously disclose such processing, as well as the manner in which a consumer may exercise the right to opt out of such processing (§ 59.1-578(D))."
DUTY-REQUEST-MECHANISM,EstablishRequestMechanism,"Establish, and describe in a privacy notice, one or more secure and reliable means for consumers to submit a request to exercise their consumer rights. Controllers shall not require a consumer to create a new account in order to exercise consumer rights but may require a consumer to use an existing account (§ 59.1-578(E))."
DUTY-KNOWN-CHILD-LIMITS,KnownChildProcessingLimits,"Not process personal data collected from a known child for targeted advertising, sale, or profiling in furtherance of decisions producing legal or similarly significant effects; unless reasonably necessary to provide the online service, product, or feature; for undisclosed purposes; or for longer than reasonably necessary; and not collect precise geolocation data from a known child except as permitted, absent parental consent obtained in accordance with COPPA (§ 59.1-578(F))."
DUTY-RIGHTS-RESPONSE,RespondToRightsRequest,"Respond to the consumer without undue delay, but in all cases within 45 days of receipt of the request. The response period may be extended once by 45 additional days when reasonably necessary, so long as the controller informs the consumer of the extension within the initial 45-day response period, together with the reason for the extension (§ 59.1-577(B)(1))."
DUTY-APPEAL-PROCESS,EstablishAppealProcess,"Establish a conspicuously available appeal process similar to the request process, and inform the consumer in writing within 60 days of receipt of an appeal of any action taken or not taken, including a written explanation of the reasons (§ 59.1-577(C))."
DUTY-PROCESSOR-INSTRUCTIONS,AdhereToControllerInstructions,"A processor shall adhere to the instructions of a controller and shall assist the controller in meeting its obligations under this chapter, including responding to consumer rights requests, security of processing and breach notification pursuant to § 18.2-186.6, and providing information necessary for data protection assessments (§ 59.1-579(A))."
DUTY-PROCESSOR-CONTRACT,ExecuteProcessingContract,"A contract between a controller and a processor shall govern the processor's data processing procedures and shall be binding and clearly set forth instructions for processing data, the nature and purpose of processing, the type of data subject to processing, the duration of processing, and the rights and obligations of both parties (§ 59.1-579(B))."
DUTY-CONDUCT-DPA,ConductDataProtectionAssessment,"A controller shall conduct and document a data protection assessment of each processing activity listed in § 59.1-580(A), and for any online service, product, or feature directed to consumers the controller has actual knowledge are children (§ 59.1-580(A), (B))."
DUTY-DEIDENTIFIED-SAFEGUARDS,MaintainDeidentification,"A controller in possession of de-identified data shall take reasonable measures to ensure that the data cannot be associated with a natural person, publicly commit to maintaining and using de-identified data without attempting to re-identify the data, and contractually obligate any recipients of the de-identified data to comply with all provisions of this chapter (§ 59.1-581(A))."
DUTY-DISCLOSURE-OVERSIGHT,MonitorContractualCommitments,A controller that discloses pseudonymous data or de-identified data shall exercise reasonable oversight to monitor compliance with any contractual commitments to which the data is subject and shall take appropriate steps to address any breaches of those contractual commitments (§ 59.1-581(E)).
