statutoryprovision_id,citation,heading,text,discussed_in,document_id,source_document
524B,Section 524B of the FD&C Act,Ensuring Cybersecurity of Medical Devices,"Added to the FD&C Act by section 3305 of the Food and Drug Omnibus Reform Act of 2022 (“FDORA”), enacted on December 29, 2022. Effective March 29, 2023.",III,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(a),Section 524B(a) of the FD&C Act,Premarket submission obligation,"Under section 524B(a) of the FD&C Act, a person who submits a 510(k), PMA, PDP, De Novo, or HDE for a device that meets the definition of a cyber device, as defined under section 524B(c), is required to submit information to ensure that cyber devices meet the cybersecurity requirements under section 524B(b).",VII.A,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(1),Section 524B(b)(1) of the FD&C Act,Plans and Procedures,"Section 524B(b)(1) of the FD&C Act requires manufacturers of cyber devices to submit to FDA “a plan to monitor, identify, and address, as appropriate, in a reasonable time, postmarket cybersecurity vulnerabilities and exploits, including coordinated vulnerability disclosure and related procedures” in their premarket submissions.",VII.C.1,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(2),Section 524B(b)(2) of the FD&C Act,"Design, develop, and maintain processes and procedures","Manufacturers of cyber devices must “design, develop, and maintain processes and procedures to provide a reasonable assurance that the device and related systems are cybersecure . . .”",VII.C.2,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(2)(A),Section 524B(b)(2)(A) of the FD&C Act,Updates and patches on a reasonably justified regular cycle,"Section 524B(b)(2)(A) of the FD&C Act requires manufacturers of cyber devices to make available updates and patches to the device and related systems for known unacceptable vulnerabilities, with these updates and patches made available on a reasonably justified regular cycle.",VII.C.1,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(2)(B),Section 524B(b)(2)(B) of the FD&C Act,Out of cycle updates and patches for critical vulnerabilities,"Section 524B(b)(2)(B) of the FD&C Act requires manufacturers of cyber devices to make available updates and patches to the device and related systems to address as soon as possible out of cycle, critical vulnerabilities that could cause uncontrolled risks.",VII.C.1,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(3),Section 524B(b)(3) of the FD&C Act,Software Bill of Materials (SBOM),"Section 524B(b)(3) of the FD&C Act requires manufacturers of cyber devices to provide an SBOM, including commercial, open-source, and off-the-shelf software components.",VII.C.3,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(b)(4),Section 524B(b)(4) of the FD&C Act,Additional requirements by regulation,"In addition to the cybersecurity requirements set forth in section 524B(b) of the FD&C Act, section 524B(b)(4) of the FD&C Act requires cyber device manufacturers to comply with any other such requirements FDA sets forth in regulations “to demonstrate reasonable assurance that the device and related systems are cybersecure.”",IV.A,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
524B(c),Section 524B(c) of the FD&C Act,Definition of cyber device,"Section 524B(c) defines a “cyber device” as a device that meets all of the following criteria “(1) includes software validated, installed, or authorized by the sponsor as a device or in a device; (2) has the ability to connect to the internet; and (3) contains any such technological characteristics validated, installed, or authorized by the sponsor that could be vulnerable to cybersecurity threats.”",VII.B,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
FDORA3305(c),Section 3305(c) of FDORA,Reasonable assurance of cybersecurity,"Section 3305(c) of FDORA provides that nothing in section 524B of the FD&C Act “shall be construed to affect the Secretary’s authority related to ensuring that there is a reasonable assurance of the safety and effectiveness of devices, which may include ensuring that there is a reasonable assurance of the cybersecurity of certain cyber devices . . .”",VII.E,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
301(q),Section 301(q) of the FD&C Act,Prohibited act,"For cyber devices, failure to comply with any requirement under section 524B(b)(2) of the FD&C Act (relating to ensuring device cybersecurity) is considered a prohibited act under section 301(q) of the FD&C Act.",IV.D,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
502(f),Section 502(f) of the FD&C Act,Misbranding – adequate directions for use,"In addition, inadequate cybersecurity information in the device labeling may cause a device to be misbranded under section 502(f) of the FD&C Act if its labeling does not bear adequate directions for use.",IV.D,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
502(j),Section 502(j) of the FD&C Act,Misbranding – dangerous to health,"...or under section 502(j) of the FD&C Act because it is dangerous to health when used in the manner recommended or suggested in the labeling, among other possible violations.",IV.D,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
502(a)(1),Section 502(a)(1) of the FD&C Act,Misbranding – false or misleading labeling,"Under section 502(a)(1) of the FD&C Act, a medical device is deemed misbranded if its labeling is false or misleading in any particular.",VI.A,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
QMSR,21 CFR Part 820 (Quality Management System Regulation (QMSR)),Quality management system requirements,"The quality management systems requirements are found in the QMSR in 21 CFR Part 820, which incorporates by reference ISO 13485.",IV.A,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
