section_id,subtitle_id,full_citation,heading,description,content_summary,key_concepts,enacted_date,jurisdiction,authority,status,parent_framework,short_name
13400,HITECH_SUBTITLE_D,42 U.S.C. §17921,Definitions,Definitions related to HITECH privacy provisions and key terms,Defines critical terms including unsecured PHI breach compromise presumption low risk of compromise business associate direct liability and related enforcement concepts used throughout HITECH Act,"Unsecured PHI, Breach definition, Compromise presumption, Low risk threshold, Business associate, Subcontractor, Direct liability, Electronic PHI",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Definitions (13400)
13402,HITECH_SUBTITLE_D,42 U.S.C. §17932,Breach Notification,Notification in case of breach of unsecured protected health information,Comprehensive breach notification requirements establishing mandatory notification of individuals within 60 calendar days discovery of breach of unsecured PHI includes individual media and HHS notification procedures timeline and content requirements,"Breach discovery, 60-day timeline, Individual notification, Media notification (500+), HHS notification, Unsecured PHI, Risk assessment, Four-factor test, Compromise presumption, Safe harbor provisions",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Breach Notification (13402)
13404,HITECH_SUBTITLE_D,42 U.S.C. §17934,Application of Privacy Provisions and Penalties to Business Associates,Requirements for business associates to notify covered entities of breaches,Business associates must notify covered entities of any breach of unsecured PHI without unreasonable delay and no later than 60 calendar days from discovery of breach included detailed breach information for covered entity to issue individual notifications,"Business associate notification, Covered entity notification, 60-day timeline, Detailed breach information, Affected individuals list, PHI categories, Mitigation steps, Investigation results",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,BA Breach Notification (13404)
13405,HITECH_SUBTITLE_D,42 U.S.C. §17935,Restrictions on Certain Disclosures and Sales; Accounting of Disclosures; Electronic Access,Restrictions on certain uses and disclosures prohibition on sale of PHI expanded accounting of disclosures and individual right to electronic access,Section 17935 requires a covered entity to comply with an individual's requested restriction on disclosure of PHI to a health plan where the disclosure is for payment or health care operations and pertains solely to an item or service the individual paid for out of pocket in full; directs disclosures to be limited to the limited data set or the minimum necessary; requires the accounting of disclosures to include disclosures made through an electronic health record for treatment payment and health care operations over a three-year period; prohibits the sale of protected health information without individual authorization subject to statutory exceptions; and grants individuals a right to obtain a copy of their PHI in electronic format when maintained in an electronic health record,"Out-of-pocket disclosure restriction, Minimum necessary, Limited data set, Accounting of treatment payment and operations disclosures via EHR, Three-year accounting period, Prohibition on sale of PHI, Authorization exceptions, Electronic access to EHR copy",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Disclosure Restrictions Sale and Access (13405)
13406,HITECH_SUBTITLE_D,42 U.S.C. §17936,Conditions on Certain Contacts as Part of Health Care Operations,Conditions on marketing and subsidized treatment communications and opt-out for fundraising communications,Section 17936 provides that a communication about a product or service that encourages the recipient to purchase or use it is generally not a permitted health care operations communication where the covered entity receives payment for making it subject to limited exceptions such as a communication describing a drug or biologic currently being prescribed to the individual where any payment received is reasonable or a communication made with the individual's valid authorization; it also requires that fundraising communications to an individual provide a clear and conspicuous opportunity to opt out of receiving further such communications,"Marketing communications, Financial remuneration, Subsidized communications, Treatment communication exception, Refill and adherence reminders, Reasonable payment standard, Valid authorization, Fundraising communications opt-out",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Conditions on Contacts and Marketing (13406)
13407,HITECH_SUBTITLE_D,42 U.S.C. §17937,Temporary Breach Notification Requirement for Vendors of Personal Health Records,Temporary breach notification obligations for personal health record vendors and other non-HIPAA-covered entities enforced by the FTC,Section 17937 requires vendors of personal health records and related entities that are not covered by HIPAA to notify affected individuals and the Federal Trade Commission following discovery of a breach of security of unsecured PHR identifiable health information; third-party service providers must notify the vendor or PHR-related entity of a breach; the FTC treats violations as unfair and deceptive acts or practices and the requirement is temporary pending enactment of new legislation addressing privacy for such entities,"Personal health record vendors, Non-HIPAA-covered entities, PHR identifiable health information, Breach of security, Notification to individuals, FTC notification and enforcement, Unfair or deceptive acts or practices, Third-party service providers, Temporary requirement",2009-02-17,United States (Federal),Federal Trade Commission (FTC),Active and regularly enforced,HITECH Act Title I,PHR Vendor Breach Notification (13407)
13408,HITECH_SUBTITLE_D,42 U.S.C. §17938,Business Associate Contracts Required for Certain Entities,Specific requirements for business associates regarding safeguards and breach notification,Business associates must implement HIPAA Privacy and Security Rule safeguards conduct regular risk assessments maintain audit logs provide breach notification to covered entities and maintain documentation of compliance efforts business associates directly liable for HIPAA violations and subject to same penalties as covered entities,"Business associate safeguards, Risk assessment requirement, Audit logging, Breach notification, Direct liability, Same penalties as covered entities, Compliance documentation, Security measures implementation, Training requirements",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,BA Requirements (13408)
13409,HITECH_SUBTITLE_D,42 U.S.C. §17939,Clarification of Application of Wrongful Disclosures Criminal Penalties,Criminal penalties for knowing HIPAA violations,HITECH establishes criminal liability for knowing HIPAA violations obtaining or disclosing PHI under false pretenses with commercial advantage or private gain criminal penalties up to $250000 fine and or 10 years imprisonment for single knowing violation multiple years imprisonment for multiple violations,"Knowing violation, Commercial advantage, Private gain, Criminal penalties, $250,000 fine, 10-year imprisonment, Multiple offenses, False pretenses, Department of Justice referral",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Criminal Penalties (13409)
13410,HITECH_SUBTITLE_D,42 U.S.C. §1320d-5,Improved Enforcement,Enhanced accounting of disclosures requirements,HITECH expands accounting of disclosures requirement to 3 years for covered entities and business associates must track all uses and disclosures of PHI provide detailed accounting including date recipient purpose and type of information individual can request accounting at any time covered entity must provide within 30 days,"3-year accounting history, All disclosures tracked, Detailed accounting content, Recipient identification, Purpose of disclosure, PHI type disclosed, Accounting request procedure, 30-day response timeline",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Accounting Disclosures (13410)
13411,HITECH_SUBTITLE_D,42 U.S.C. §17940,Audits,Requirement for the Secretary to conduct periodic audits of covered entities and business associates,Section 17940 directs the Secretary of Health and Human Services to provide for periodic audits to ensure that covered entities and business associates that are subject to the HIPAA privacy and security requirements and the requirements of HITECH subtitle D are in compliance with those requirements,"Periodic audits, Secretary of HHS audit authority, Compliance monitoring, Covered entities, Business associates, Privacy and security requirements, Subtitle D compliance",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Audits (13411)
13421,HITECH_SUBTITLE_D,42 U.S.C. §17951,Relationship to Other Laws,Relationship of the subtitle's privacy and security provisions to HIPAA and to State law,Section 17951 provides that the privacy and security provisions of HITECH subtitle D and their associated penalties are applied and treated as requirements and prohibitions under the HIPAA Administrative Simplification provisions and that these provisions are subject to the HIPAA preemption framework so that contrary State laws that are more stringent in protecting the privacy of health information are not preempted,"Relationship to HIPAA, Incorporation into HIPAA provisions, Treated as HIPAA requirements and prohibitions, State law preemption framework, More stringent State law preserved, Construction with other laws",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Relationship to Other Laws (13421)
13422,HITECH_SUBTITLE_D,42 U.S.C. §17952,Regulatory References,Rules of construction for statutory and regulatory references used within the subtitle,Section 17952 provides rules of construction for the subtitle specifying that a reference to a provision of law or to a regulation is a reference to that provision or regulation as amended and that a reference to a HIPAA provision includes the associated implementing regulations,"Rules of construction, References to provisions as amended, References include implementing regulations, HIPAA regulatory references, Statutory interpretation",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Regulatory References (13422)
13423,HITECH_SUBTITLE_D,42 U.S.C. §17953,Effective Date,Effective date of the subtitle's privacy and security provisions,Section 17953 provides that except as otherwise specifically provided the provisions of HITECH subtitle D take effect on the date that is 12 months after the date of enactment of the HITECH Act which was enacted on February 17 2009,"Effective date, 12 months after enactment, February 2009 enactment, Delayed effective date, Transition period, Exceptions as otherwise specified",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Effective Date (13423)
13424,HITECH_SUBTITLE_D,42 U.S.C. §17954,"Studies, Reports, and Guidance",Required studies reports and guidance concerning health information privacy and security,Section 17954 directs the Secretary and the Government Accountability Office to conduct studies and issue reports and guidance including a study and report on privacy and security requirements for entities not covered by HIPAA such as vendors of personal health records guidance on how to implement the minimum necessary standard and periodic guidance on the most effective and appropriate technical safeguards for carrying out the security requirements,"Studies and reports, GAO and Secretary reports, Study on non-HIPAA-covered entities, PHR privacy and security, Minimum necessary guidance, De-identification guidance, Technical safeguards guidance, Congressional reporting",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Studies Reports and Guidance (13424)
