safeguard_id,safeguard_type,safeguard_category,safeguard_name,description,regulatory_basis,implementation_scope,responsible_entity,technical_details,compliance_testing,effectiveness_metrics,related_requirements,domains_covered,applicable_sections,success_criteria,failure_consequences,enforcement_authority,priority_level,status
SG-T-ENCRYPTION-AT-REST,Technical,Data Protection,Encryption of ePHI at Rest,Electronic protected health information must be encrypted using NIST-approved algorithms when stored on servers databases storage media portable devices and backup systems; encryption standard is AES-256 or equivalent,HIPAA Security Rule 45 CFR 164.312(a)(2)(i); HITECH Section 13417; NIST SP 800-111,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"AES-256 encryption algorithm; encryption key length minimum 256 bits; encryption applied to all ePHI at rest including databases servers disks backup media portable devices; key management procedures; encryption before data leaves the encryption boundary; encrypted data unrecoverable without decryption key","Annual encryption audit; key strength verification (NIST standards); encrypted data recovery testing; vendor certification review; encryption algorithm verification; test data encrypted and decrypted successfully","Percentage of ePHI at rest encrypted (target: 100%); encryption audit pass rate (target: 100%); key rotation compliance (target: 100% rotation per policy); mean time to encrypt new data; percentage of devices with encryption enabled","HITECH-13417-R2; HITECH-13406-R5 (Safe Harbor); HITECH-13418-R1; Requirement for risk assessment outcomes; Requirement for corrective action plans","Privacy & Security Protection; Encryption Standards; Data at Rest Protection; Technical Safeguards; Vulnerability Mitigation; Breach Prevention; Safe Harbor Security Practices","Section 13400 (Definitions); Section 13417 (Enhanced Security); Section 13418 (Safe Harbor); NIST SP 800-111; HHS Guidance 45 CFR 164.308(a)(7)","All ePHI at rest is encrypted with AES-256 or equivalent; encryption keys are generated using NIST-approved key generation; encryption is applied before data leaves encryption boundary; decryption requires proper authorization; audit logs of encryption/decryption; recovery testing completed annually","Failure results in: Tier 3 or 4 penalties ($10K-$50K per violation); breach notification triggered if unauthorized access; OCR enforcement action; corrective action plan required; Safe Harbor protection lost; criminal penalties if willful; state AG enforcement; civil litigation from affected individuals","HHS OCR; State Attorneys General; Department of Justice (criminal); CMS (if EHR program); Auditors; Plaintiffs",Critical,Active
SG-T-ENCRYPTION-IN-TRANSIT,Technical,Data Protection,Encryption of ePHI in Transit,Electronic protected health information must be encrypted when transmitted over networks including internet networks wireless networks and dial-up connections; encryption standard is TLS 1.2 or higher or equivalent encryption,HIPAA Security Rule 45 CFR 164.312(e)(1); HITECH Section 13417; NIST SP 800-52,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"TLS 1.2 or higher encryption protocol; encryption certificate management; secure key exchange; encrypted channels for all PHI transmission including HTTP HTTPS SFTP SCP; protection against man-in-the-middle attacks; encryption of backup transmission; encrypted email or secure messaging","Annual network security audit; certificate validity verification; TLS version verification; encryption strength testing (minimum 128-bit); test transmission encryption verification; vulnerability scanning for unencrypted transmissions; compliance with TLS standards","Percentage of PHI transmitted encrypted (target: 100%); average encryption strength rating; certificate expiration incidents (target: zero); man-in-the-middle attack incidents (target: zero); network vulnerability scan results","HITECH-13417-R2; HITECH-13406-R5 (Safe Harbor); HITECH-13418-R1; Requirement for access controls; Requirement for audit logging","Privacy & Security Protection; Encryption Standards; Data in Transit Protection; Technical Safeguards; Network Security; Vulnerability Mitigation; Breach Prevention","Section 13400; Section 13417; Section 13418; NIST SP 800-52; HHS Guidance","All ePHI in transit is encrypted with TLS 1.2 or equivalent; encryption certificates valid and current; encrypted channels used for all network transmissions; no unencrypted PHI detected on network; annual network audit confirms compliance","Failure results in: Tier 3 or 4 penalties; breach notification if intercepted; OCR enforcement; corrective action plan; Safe Harbor protection lost; potential criminal prosecution for knowing interception; state AG enforcement; class action litigation","HHS OCR; State Attorneys General; Department of Justice; CMS; Network security auditors; Plaintiffs",Critical,Active
SG-T-ACCESS-CONTROL-MFA,Technical,Access Control,Multi-Factor Authentication (MFA),All users must authenticate using at least two factors (something you know; something you have; something you are) to access systems containing ePHI; MFA required for remote access and for access to sensitive systems; authentication must occur at system entry and for sensitive operations,HIPAA Security Rule 45 CFR 164.312(a)(2)(i); HITECH Section 13417; NIST SP 800-63B; NIST SP 800-97,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Multi-factor authentication using 2+ of: password/PIN + hardware token + biometric + certificate; password requirements: minimum 12 characters; complexity requirements; account lockout after failed attempts; automatic session timeout (15-30 min); MFA for remote access; MFA for administrative access; MFA for sensitive operations; passwordless authentication options","Annual MFA audit; authentication failure rate analysis; MFA bypass attempt detection; password strength verification; session timeout compliance testing; MFA token management audit; biometric accuracy testing","MFA adoption rate (target: 100% for remote/admin); failed authentication incident rate; unauthorized access incidents (target: zero); average login time; false rejection rate; false acceptance rate","HITECH-13417-R3; HITECH-13406-R5; HITECH-13418-R1; Requirement for unique user identification; Requirement for audit logging of access","Privacy & Security Protection; Access Control; Authentication; Technical Safeguards; Accountability; Breach Prevention; Safe Harbor Practices","Section 13400; Section 13417; Section 13418; NIST SP 800-63B; NIST SP 800-97","All system access requires MFA; 100% remote access uses MFA; admin access requires MFA; failed authentication attempts logged; no bypass of MFA controls; session timeout enforced; MFA tokens managed securely; training completed for all users","Failure results in: Tier 3 or 4 penalties; unauthorized access incidents triggering breach notification; compromised credentials leading to data theft; OCR enforcement; corrective action plan; Safe Harbor protection lost; criminal prosecution if unauthorized access by employee; state AG enforcement; individual lawsuits","HHS OCR; State Attorneys General; Department of Justice; CMS; Security auditors; Plaintiffs",Critical,Active
SG-T-RBAC-ACCESS-CONTROL,Technical,Access Control,Role-Based Access Control (RBAC),Access to ePHI must be restricted based on user role and need-to-know principle; users receive only minimum necessary access to perform their job functions; roles are defined based on job responsibilities; access is reviewed and updated when roles change,HIPAA Security Rule 45 CFR 164.312(a)(2)(ii); HITECH Section 13417; Minimum Necessary Principle,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Role definitions aligned with job functions; principle of least privilege; access rights defined per role; user-role assignments documented; access review procedures (quarterly minimum); removal of access when role changes; separation of duties to prevent conflicts of interest; privileged account management","Quarterly access review verification; role definition documentation review; access right alignment with job functions; user-role assignment audit; access removal upon role change verification; separation of duties audit","Percentage of users with access aligned to role (target: 100%); percentage of access rights justified (target: 100%); time to remove access after role change (target: 24 hours); unauthorized access incidents (target: zero); access review compliance rate","HITECH-13417-R3; HITECH-13410-R1-R3 (Minimum necessary for accounting); HITECH-13418-R1; Requirement for access controls; Requirement for audit logging","Privacy & Security Protection; Access Control; Minimum Necessary Principle; Technical Safeguards; Data Minimization; Accountability; Breach Prevention","Section 13400 (Minimum necessary); Section 13410 (Accounting principle); Section 13417; HIPAA Privacy Rule minimum necessary","All users have access limited to minimum necessary for job function; role definitions documented; quarterly access reviews completed; access removed within 24 hours of role change; no user has excessive access; separation of duties enforced; least privilege principle applied","Failure results in: Tier 2 or 3 penalties for Privacy Rule violations; unauthorized access; breach notification; excessive access enabling theft; OCR enforcement; corrective action plan; Safe Harbor protection affected; state AG enforcement; individual litigation; job termination for employees violating principle","HHS OCR; State Attorneys General; Department of Justice; CMS; Internal audit; Plaintiffs",High,Active
SG-T-UNIQUE-USER-ID,Technical,Access Control,Unique User Identification,Each user accessing ePHI must have a unique user identifier; shared accounts are prohibited; user IDs must enable accountability and audit logging; users must authenticate before access; user IDs must be deactivated when employment or access authorization ends,HIPAA Security Rule 45 CFR 164.312(a)(2)(i); HIPAA Accountability Rule 45 CFR 164.308(a)(5),Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Unique user IDs assigned to each person; prohibition on shared accounts; shared use accounts only with supervisory approval and strong controls; user ID format enabling audit trail; deactivation procedures; user ID lifecycle management; contractor/temporary staff user ID procedures; inactive user account removal","Annual unique user ID audit; shared account identification and remediation; user deactivation compliance testing; inactive account identification and removal; user ID audit trail verification; contractor access procedures audit","Percentage of unique user IDs in use (target: 100%); shared accounts identified and removed (target: zero); user deactivation time (target: same day); inactive account removal time (target: 90 days); audit trail completeness (target: 100%)","HITECH-13408-R3 (BA audit logging); HITECH-13417-R3; HITECH-13418-R1; Requirement for audit logging with accountability","Privacy & Security Protection; Access Control; Accountability; Audit Logging; Technical Safeguards; Breach Investigation","Section 13400 (Accountability); Section 13408 (BA requirements); Section 13417 (Access controls)","All users have unique IDs; no shared accounts; all access traceable to individual; user IDs deactivated upon termination; inactive accounts removed; audit logs identify user for every action; contractor access properly controlled","Failure results in: Tier 2 penalties for accountability violations; inability to investigate unauthorized access; breach notification; employee misconduct undetectable; OCR enforcement; corrective action plan; Safe Harbor protection lost; criminal investigation hampered; state AG enforcement; individual litigation for privacy violations","HHS OCR; State Attorneys General; Department of Justice; CMS; Auditors; Law enforcement; Plaintiffs",High,Active
SG-T-AUDIT-LOGGING,Technical,Monitoring,Comprehensive Audit Logging,All access to ePHI must be logged including creation modification deletion access queries printing export and transmission; audit logs must be retained for minimum 6 years; logs must be reviewed for suspicious activity; logs must be protected from tampering; audit data must include user ID timestamp action type data accessed outcome,HIPAA Security Rule 45 CFR 164.312(b); HITECH Section 13408; Audit Controls Requirement,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Audit logging of all PHI access and changes; timestamps synchronized to network time protocol; log entries include user ID action object accessed result; logs stored centrally and protected; 6+ year retention; log review procedures; suspicious activity alerting; log tampering detection; immutable log storage; backup of audit logs","Annual audit log review for completeness; 6-year retention verification; log tampering detection testing; suspicious activity alert testing; log analysis for unauthorized access; audit log backup verification; access to audit logs restricted","Percentage of PHI access logged (target: 100%); log retention compliance (target: 100% of 6+ years); suspicious activity incidents detected; log integrity incidents (target: zero); log storage failures (target: zero); alert response time","HITECH-13408-R3 (BA requirement); HITECH-13417-R4 (Enhanced logging); HITECH-13416-R1-R2 (CAP basis); HITECH-13407-R2 (OCR audits)","Privacy & Security Protection; Audit Logging; Monitoring; Technical Safeguards; Accountability; Incident Detection; Investigation Support; Breach Investigation","Section 13400 (Definitions); Section 13408 (BA requirements); Section 13417 (Enhanced security); Section 13416 (Corrective actions)","All PHI access logged with user ID and timestamp; logs retained 6+ years; logs reviewed for suspicious activity; logs protected from tampering; audit alerts monitored; suspicious access investigated; employee misconduct detected through logs; breach investigations supported by audit trails","Failure results in: Tier 2 or 3 penalties for inadequate logging; inability to investigate unauthorized access; breach discovery delayed; employee misconduct undetected; OCR enforcement; corrective action plan; loss of audit evidence for litigation; Safe Harbor protection affected; criminal investigation hampered; state AG enforcement; individual litigation; OCR audit failures","HHS OCR; State Attorneys General; Department of Justice; CMS; Auditors; Plaintiffs; Law enforcement",Critical,Active
SG-T-SESSION-TIMEOUT,Technical,Access Control,Automatic Session Timeout,User sessions must automatically terminate after period of inactivity to prevent unauthorized access to unattended workstations; timeout period must be 15-30 minutes for general systems and 5-15 minutes for highly sensitive systems; session re-authentication required after timeout,HIPAA Security Rule 45 CFR 164.312(a)(2)(i); NIST SP 800-53; Standard Practice,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Automatic session termination after inactivity (15-30 minutes standard); re-authentication required to resume work; timeout applies to web portals; timeout applies to clinical systems; timeout applies to remote access; users notified before timeout; display timeout warning; inactivity tracking accurate; keyboard/mouse activity monitoring; lock screen on timeout","Annual session timeout configuration audit; inactivity calculation verification; timeout enforcement testing; re-authentication requirement testing; unattended workstation testing; user notification verification","Percentage of systems with session timeout (target: 100%); average session timeout before termination; unauthorized access to unattended workstations (target: zero); user complaints about premature timeout; timeout configuration compliance","HITECH-13417-R3; HITECH-13406-R5; HITECH-13418-R1; Requirement for access controls; Requirement for unique user identification","Privacy & Security Protection; Access Control; Technical Safeguards; Unattended Workstation Protection; Breach Prevention","Section 13400; Section 13417; Standard security practice","All systems have session timeout enabled (15-30 min); users re-authenticate after timeout; unattended workstations locked; no unauthorized access to inactive sessions; timeout working correctly per testing; users trained on timeout feature","Failure results in: Unauthorized access to unattended workstations; data theft by unauthorized users; breach notification; OCR enforcement; corrective action plan; Safe Harbor protection affected; employee misconduct prosecution; state AG enforcement; individual lawsuits; reputational damage","HHS OCR; State Attorneys General; Department of Justice; Internal security; Plaintiffs",High,Active
SG-T-ENCRYPTION-KEYS,Technical,Data Protection,Encryption Key Management,Encryption keys must be generated using NIST-approved methods; keys must be protected with equivalent or stronger encryption; keys must be stored separately from encrypted data; key access must be restricted to authorized personnel; key rotation must occur per schedule; key destruction must be secure,HIPAA Security Rule 45 CFR 164.312(a)(2)(i); NIST SP 800-57; NIST SP 800-38; HITECH Section 13417,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Key generation using NIST-approved algorithms; key storage in hardware security modules (HSM) or secure vaults; key separation from data; master key and working key separation; key rotation frequency: annual minimum for static keys; key destruction using cryptographic erasure or physical destruction; key escrow procedures; disaster recovery key procedures; key access logging","Annual key management audit; key generation verification; key storage security verification; key rotation schedule compliance; key separation verification; key access logging review; key destruction procedures verification","Percentage of keys stored securely (target: 100%); key rotation compliance (target: 100%); key compromise incidents (target: zero); key loss incidents (target: zero); authorized key access percentage; key lifecycle compliance","HITECH-13417-R2 (Encryption); HITECH-13406-R5 (Safe Harbor); HITECH-13418-R1; HITECH-13408-R1 (BA safeguards); Requirement for key management procedures","Privacy & Security Protection; Encryption Standards; Key Management; Data Protection; Technical Safeguards; Breach Prevention; Safe Harbor Practices","Section 13400; Section 13408 (BA requirements); Section 13417 (Enhanced encryption); Section 13418 (Safe Harbor); NIST SP 800-57","All encryption keys generated using NIST-approved methods; keys stored in HSM or secure vaults; keys separated from encrypted data; key rotation per schedule; keys properly destroyed; key access restricted and logged; key recovery tested annually; backup keys maintained securely","Failure results in: Tier 3 or 4 penalties; encrypted data potentially recoverable by attackers; compromise of encryption; breach notification; OCR enforcement; corrective action plan; Safe Harbor protection lost; criminal investigation; state AG enforcement; individual litigation; data ransom situations","HHS OCR; State Attorneys General; Department of Justice; CMS; Security auditors; Plaintiffs",Critical,Active
SG-A-BREACH-NOTIFICATION,Administrative,Incident Response,Breach Notification Procedures,Covered entities must have written breach notification procedures for discovery investigation notification within 60 days; procedures must include: discovery process; risk assessment; individual notification; media notification; HHS notification; documentation; OCR coordination; state AG coordination; tracking system,HIPAA Breach Notification Rule 45 CFR 164.400-414; HITECH Section 13402; HITECH Section 13404,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Breach discovery procedure; breach assessment (4-factor test); notification timeline (60-day); affected individual notification; media notification for 500+ affected; HHS notification (OCR); state notification per state law; documentation of decisions; tracking system; legal review; press release procedures; notification content standards; individual contact procedures","Annual breach notification procedure review; test breach notification process; notification timeline verification; documentation completeness audit; contact list accuracy; notification content audit; test notifications to sample individuals","Breach discovery time (target: <48 hours); notification timeline compliance (target: 100% within 60 days); notification accuracy (target: 100%); contact rate achieved (target: 95%+); notification content compliance; documentation completeness (target: 100%)","HITECH-13402-R1-R5; HITECH-13404-R1-R2; HITECH-13416-R1-R2 (CAP basis); Requirement for risk assessment; Requirement for incident response","Privacy & Security Protection; Breach Notification; Incident Response; Administrative Safeguards; Individual Rights; Accountability; Legal Compliance","Section 13400 (Definitions); Section 13402 (Breach notification); Section 13404 (BA notification); Section 13416 (Corrective actions); 45 CFR 164.400-414","Breach procedures documented; discovery process established; 4-factor risk assessment conducted; notifications sent within 60 days; media notified if 500+; HHS OCR notified; state AG notified if required; documentation complete; tracking system functional","Failure results in: Tier 3 or 4 penalties ($10K-$50K per violation); individual lawsuits for damages; state AG enforcement; OCR enforcement; corrective action plan; reputational damage; media coverage; class action litigation; OCR investigation; regulatory scrutiny","HHS OCR; State Attorneys General; Department of Justice; Plaintiffs; Media; Law enforcement",Critical,Active
SG-A-RISK-ASSESSMENT,Administrative,Planning,Regular Risk Assessment,Covered entities must conduct annual minimum risk assessments of ePHI; assessment must identify: systems and data; threats; vulnerabilities; likelihood of exploitation; impact if exploited; documented findings; remediation plan; follow-up on remediation,HIPAA Security Rule 45 CFR 164.308(a)(1)(ii)(A); HITECH Section 13417; NIST SP 800-30,Enterprise-wide,Covered Entities; Business Associates; Subcontractors,"Risk assessment methodology: identify assets; identify threats; identify vulnerabilities; assess likelihood; assess impact; rate risk (high/medium/low); prioritize remediation; document findings; develop remediation plan; schedule follow-up; track remediation progress; annual update; assessment scope: all systems with ePHI; assessment tools: interviews; documentation review; technical scanning; penetration testing","Annual risk assessment completion verification; assessment scope verification; threat identification completeness; vulnerability identification accuracy; likelihood assessment documentation; impact assessment documentation; remediation plan completeness; remediation tracking; follow-up assessment completion","Risk assessment completion rate (target: 100% annually); high-risk vulnerabilities identified; average time to remediate high-risk vulnerabilities; remediation effectiveness (target: 100% completion); reassessment completion rate","HITECH-13417-R1; HITECH-13408-R2 (BA requirement); HITECH-13406-R5 (Safe Harbor); HITECH-13418-R1 (Safe Harbor); HITECH-13416-R1-R2 (CAP basis)","Privacy & Security Protection; Risk Management; Vulnerability Identification; Remediation Planning; Threat Assessment; Administrative Safeguards; Safe Harbor Practices; Compliance Verification","Section 13400; Section 13408 (BA requirements); Section 13417 (Risk assessment requirement); Section 13418 (Safe Harbor); NIST SP 800-30","Risk assessment conducted annually; all systems with ePHI assessed; threats and vulnerabilities documented; likelihood and impact assessed; high-risk items prioritized; remediation plan developed; remediation tracked to completion; follow-up assessment completed; continuous improvement demonstrated","Failure results in: Tier 2 or 3 penalties for absence of risk assessment; vulnerabilities not identified; breaches caused by known vulnerabilities; OCR enforcement; corrective action plan; Safe Harbor protection lost; breach notification for preventable incidents; state AG enforcement; individual litigation; OCR audit findings; repeat violations","HHS OCR; State Attorneys General; Department of Justice; CMS; Auditors; Plaintiffs",Critical,Active
