Subcategory_ID,Category_ID,Function_ID,Subcategory_Number,Description
GV-1.1,GV-1,GV,GOVERN 1.1,"Legal and regulatory requirements involving AI are understood, managed, and documented."
GV-1.2,GV-1,GV,GOVERN 1.2,"The characteristics of trustworthy AI are integrated into organizational policies, processes, procedures, and practices."
GV-1.3,GV-1,GV,GOVERN 1.3,"Processes, procedures, and practices are in place to determine the needed level of risk management activities based on the organization’s risk tolerance."
GV-1.4,GV-1,GV,GOVERN 1.4,"The risk management process and its outcomes are established through transparent policies, procedures, and other controls based on organizational risk priorities."
GV-1.5,GV-1,GV,GOVERN 1.5,"Ongoing monitoring and periodic review of the risk management process and its outcomes are planned and organizational roles and responsibilities clearly defined, including determining the frequency of periodic review."
GV-1.6,GV-1,GV,GOVERN 1.6,Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.
GV-1.7,GV-1,GV,GOVERN 1.7,Processes and procedures are in place for decommissioning and phasing out AI systems safely and in a manner that does not increase risks or decrease the organization’s trustworthiness.
GV-2.1,GV-2,GV,GOVERN 2.1,"Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization."
GV-2.2,GV-2,GV,GOVERN 2.2,"The organization’s personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements."
GV-2.3,GV-2,GV,GOVERN 2.3,Executive leadership of the organization takes responsibility for decisions about risks associated with AI system development and deployment.
GV-3.1,GV-3,GV,GOVERN 3.1,"Decision-making related to mapping, measuring, and managing AI risks throughout the lifecycle is informed by a diverse team (e.g., diversity of demographics, disciplines, experience, expertise, and backgrounds)."
GV-3.2,GV-3,GV,GOVERN 3.2,Policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems.
GV-4.1,GV-4,GV,GOVERN 4.1,"Organizational policies and practices are in place to foster a critical thinking and safety-first mindset in the design, development, deployment, and uses of AI systems to minimize potential negative impacts."
GV-4.2,GV-4,GV,GOVERN 4.2,"Organizational teams document the risks and potential impacts of the AI technology they design, develop, deploy, evaluate, and use, and they communicate about the impacts more broadly."
GV-4.3,GV-4,GV,GOVERN 4.3,"Organizational practices are in place to enable AI testing, identification of incidents, and information sharing."
GV-5.1,GV-5,GV,GOVERN 5.1,"Organizational policies and practices are in place to collect, consider, prioritize, and integrate feedback from those external to the team that developed or deployed the AI system regarding the potential individual and societal impacts related to AI risks."
GV-5.2,GV-5,GV,GOVERN 5.2,Mechanisms are established to enable the team that developed or deployed AI systems to regularly incorporate adjudicated feedback from relevant AI actors into system design and implementation.
GV-6.1,GV-6,GV,GOVERN 6.1,"Policies and procedures are in place that address AI risks associated with third-party entities, including risks of infringement of a third-party’s intellectual property or other rights."
GV-6.2,GV-6,GV,GOVERN 6.2,"Contingency processes are in place to handle failures or incidents in third-party data or AI systems deemed to be high-risk."
MP-1.1,MP-1,MP,MAP 1.1,"Intended purposes, potentially beneficial uses, context-specific laws, norms and expectations, and prospective settings in which the AI system will be deployed are understood and documented."
MP-1.2,MP-1,MP,MAP 1.2,"Interdisciplinary AI actors, competencies, skills, and capacities for establishing context reflect demographic diversity and broad domain and user experience expertise, and their participation is documented."
MP-1.3,MP-1,MP,MAP 1.3,The organization’s mission and relevant goals for AI technology are understood and documented.
MP-1.4,MP-1,MP,MAP 1.4,The business value or context of business use has been clearly defined or – in the case of assessing existing AI systems – re-evaluated.
MP-1.5,MP-1,MP,MAP 1.5,Organizational risk tolerances are determined and documented.
MP-1.6,MP-1,MP,MAP 1.6,"System requirements (e.g., “the system shall respect the privacy of its users”) are elicited from and understood by relevant AI actors."
MP-2.1,MP-2,MP,MAP 2.1,"The specific tasks and methods used to implement the tasks that the AI system will support are defined (e.g., classifiers, generative models, recommenders)."
MP-2.2,MP-2,MP,MAP 2.2,Information about the AI system’s knowledge limits and how system output may be utilized and overseen by humans is documented.
MP-2.3,MP-2,MP,MAP 2.3,"Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection (e.g., availability, representativeness, suitability), system trustworthiness, and construct validation."
MP-3.1,MP-3,MP,MAP 3.1,Potential benefits of intended AI system functionality and performance are examined and documented.
MP-3.2,MP-3,MP,MAP 3.2,"Potential costs, including non-monetary costs, which result from expected or realized AI errors or system functionality and trustworthiness – as connected to organizational risk tolerance – are examined and documented."
MP-3.3,MP-3,MP,MAP 3.3,"Targeted application scope is specified and documented based on the system’s capability, established context, and AI system categorization."
MP-3.4,MP-3,MP,MAP 3.4,"Processes for operator and practitioner proficiency with AI system performance and trustworthiness – and relevant technical standards and certifications – are defined, assessed, and documented."
MP-3.5,MP-3,MP,MAP 3.5,"Processes for human oversight are defined, assessed, and documented in accordance with organizational policies from the GOVERN function."
MP-4.1,MP-4,MP,MAP 4.1,"Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and documented, as are risks of infringement of a third party’s intellectual property or other rights."
MP-4.2,MP-4,MP,MAP 4.2,"Internal risk controls for components of the AI system, including third-party AI technologies, are identified and documented."
MP-5.1,MP-5,MP,MAP 5.1,"Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identified and documented."
MP-5.2,MP-5,MP,MAP 5.2,"Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented."
MS-1.1,MS-1,MS,MEASURE 1.1,Approaches and metrics for measurement of AI risks enumerated during the MAP function are selected for implementation starting with the most significant AI risks.
MS-1.2,MS-1,MS,MEASURE 1.2,"Appropriateness of AI metrics and effectiveness of existing controls are regularly assessed and updated, including reports of errors and potential impacts on affected communities."
MS-1.3,MS-1,MS,MEASURE 1.3,"Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates."
MS-2.1,MS-2,MS,MEASURE 2.1,"Test sets, metrics, and details about the tools used during TEVV are documented."
MS-2.2,MS-2,MS,MEASURE 2.2,Evaluations involving human subjects meet applicable requirements (including human subject protection) and are representative of the relevant population.
MS-2.3,MS-2,MS,MEASURE 2.3,AI system performance or assurance criteria are measured qualitatively or quantitatively and demonstrated for conditions similar to deployment setting(s).
MS-2.4,MS-2,MS,MEASURE 2.4,The functionality and behavior of the AI system and its components – as identified in the MAP function – are monitored when in production.
MS-2.5,MS-2,MS,MEASURE 2.5,The AI system to be deployed is demonstrated to be valid and reliable. Limitations of the generalizability beyond the conditions under which the technology was developed are documented.
MS-2.6,MS-2,MS,MEASURE 2.6,"The AI system is evaluated regularly for safety risks – as identified in the MAP function. The AI system to be deployed is demonstrated to be safe, its residual negative risk does not exceed the risk tolerance, and it can fail safely."
MS-2.7,MS-2,MS,MEASURE 2.7,AI system security and resilience – as identified in the MAP function – are evaluated and documented.
MS-2.8,MS-2,MS,MEASURE 2.8,Risks associated with transparency and accountability – as identified in the MAP function – are examined and documented.
MS-2.9,MS-2,MS,MEASURE 2.9,"The AI model is explained, validated, and documented, and AI system output is interpreted within its context – as identified in the MAP function – to inform responsible use and governance."
MS-2.10,MS-2,MS,MEASURE 2.10,Privacy risk of the AI system – as identified in the MAP function – is examined and documented.
MS-2.11,MS-2,MS,MEASURE 2.11,Fairness and bias – as identified in the MAP function – are evaluated and results are documented.
MS-2.12,MS-2,MS,MEASURE 2.12,Environmental impact and sustainability of AI model training and management activities – as identified in the MAP function – are assessed and documented.
MS-2.13,MS-2,MS,MEASURE 2.13,Effectiveness of the employed TEVV metrics and processes in the MEASURE function are evaluated and documented.
MS-3.1,MS-3,MS,MEASURE 3.1,"Approaches, personnel, and documentation are in place to regularly identify and track existing, unanticipated, and emergent AI risks based on factors such as intended and actual performance in deployed contexts."
MS-3.2,MS-3,MS,MEASURE 3.2,Risk tracking approaches are considered for settings where AI risks are difficult to assess using currently available measurement techniques or where metrics are not yet available.
MS-3.3,MS-3,MS,MEASURE 3.3,Feedback processes for end users and impacted communities to report problems and appeal system outcomes are established and integrated into AI system evaluation metrics.
MS-4.1,MS-4,MS,MEASURE 4.1,Measurement approaches for identifying AI risks are connected to deployment context(s) and informed through consultation with domain experts and other end users. Approaches are documented.
MS-4.2,MS-4,MS,MEASURE 4.2,Measurement results regarding AI system trustworthiness in deployment context(s) and across the AI lifecycle are informed by input from domain experts and relevant AI actors to validate whether the system is performing consistently as intended.
MS-4.3,MS-4,MS,MEASURE 4.3,"Measurable performance improvements or declines based on consultations with relevant AI actors, including affected communities, and field data about contextrelevant risks and trustworthiness characteristics are identified and documented."
MG-1.1,MG-1,MG,MANAGE 1.1,A determination is made as to whether the AI system achieves its intended purposes and stated objectives and whether its development or deployment should proceed.
MG-1.2,MG-1,MG,MANAGE 1.2,"Treatment of documented AI risks is prioritized based on impact, likelihood, and available resources or methods."
MG-1.3,MG-1,MG,MANAGE 1.3,"Responses to the AI risks deemed high priority, as identified by the MAP function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting."
MG-1.4,MG-1,MG,MANAGE 1.4,Negative residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers of AI systems and end users are documented.
MG-2.1,MG-2,MG,MANAGE 2.1,"Resources required to manage AI risks are taken into account – along with viable non-AI alternative systems, approaches, or methods – to reduce the magnitude or likelihood of potential impacts."
MG-2.2,MG-2,MG,MANAGE 2.2,Mechanisms are in place and applied to sustain the value of deployed AI systems.
MG-2.3,MG-2,MG,MANAGE 2.3,Procedures are followed to respond to and recover from a previously unknown risk when it is identified.
MG-2.4,MG-2,MG,MANAGE 2.4,"Mechanisms are in place and applied, and responsibilities are assigned and understood, to supersede, disengage, or deactivate AI systems that demonstrate performance or outcomes inconsistent with intended use."
MG-3.1,MG-3,MG,MANAGE 3.1,"AI risks and benefits from third-party resources are regularly monitored, and risk controls are applied and documented."
MG-3.2,MG-3,MG,MANAGE 3.2,Pre-trained models which are used for development or implementation are monitored as part of the ongoing AI risk management process.
MG-3.3,MG-3,MG,MANAGE 3.3,"Risks and benefits of data or other third-party resources – including data privacy and intellectual property – are regularly monitored, and risk controls are applied and documented."
MG-4.1,MG-4,MG,MANAGE 4.1,"Post-deployment AI system monitoring plans are implemented, including limitation of the decision-making authority of the AI system, as required."
MG-4.2,MG-4,MG,MANAGE 4.2,"Measurable activities for continual improvement are integrated into AI system updates and include regular engagement with interested parties, including relevant AI actors."
MG-4.3,MG-4,MG,MANAGE 4.3,"Incidents and errors are communicated to relevant AI actors, including affected communities. Processes for tracking, responding to, and recovering from incidents and errors are followed and documented."
