Node_Type,Node_ID,Section_Number,Chapter,Name,Article_Range
Section,SEC-03-01,1,3,Transparency and modalities,12
Section,SEC-03-02,2,3,Information and access to personal data,13-15
Section,SEC-03-03,3,3,Rectification and erasure,16-20
Section,SEC-03-04,4,3,Right to object and automated individual decision-making,21-22
Section,SEC-03-05,5,3,Restrictions,23
Section,SEC-04-01,1,4,General obligations,24-31
Section,SEC-04-02,2,4,Security of personal data,32-34
Section,SEC-04-03,3,4,Data protection impact assessment and prior consultation,35-36
Section,SEC-04-04,4,4,Data protection officer,37-39
Section,SEC-04-05,5,4,Codes of conduct and certification,40-43
Section,SEC-06-01,1,6,Independent status,51-54
Section,SEC-06-02,2,6,"Competence, tasks and powers",55-59
Section,SEC-07-01,1,7,Cooperation,60-62
Section,SEC-07-02,2,7,Consistency,63-67
Section,SEC-07-03,3,7,European data protection board,68-76
