Node_ID,Node_Type,mechanism_id,name,definition,category,is_mandatory,regulated_by_articles,applicable_to_roles
CM001,ComplianceMechanism,GDPR-CO,Compliance Obligations,"Set of requirements organizations must meet for GDPR compliance",Framework,true,"Chapter III-IV","Controller, Processor"
CM002,ComplianceMechanism,GDPR-DPIA,Data Protection Impact Assessment (DPIA),"Process to assess processing operations likely to result in high risk to rights and freedoms",Risk Assessment,true,"Article 35","Controller, DPO"
CM003,ComplianceMechanism,GDPR-DPBD,Data Protection by Design and Default,"Implementing data protection from project initiation and default implementation of safeguards",Engineering,true,"Article 25","Controller, Processor"
CM004,ComplianceMechanism,GDPR-ROP,Records of Processing (RoPA),"Documentation of processing activities conducted by controller and processor",Documentation,true,"Article 30","Controller, Processor, DPO"
CM005,ComplianceMechanism,GDPR-SCC,Standard Data Protection Clauses (SCCs),"Standard contractual clauses for data transfers outside EU/EEA",Contractual,false,"Article 46(2)(c)","Controller, Processor"
CM006,ComplianceMechanism,GDPR-BCR,Binding Corporate Rules (BCRs),"Internal policies for intra-group data transfers with adequacy commitments",Contractual,false,"Article 46(2)(b)","Controller, Processor"
CM007,ComplianceMechanism,GDPR-DPA,Data Processing Agreement (DPA),"Agreement between controller and processor outlining processing terms and obligations",Contractual,true,"Article 28","Controller, Processor"
CM008,ComplianceMechanism,GDPR-CONSMGMT,Consent Management,"Obtaining, managing, recording and evidencing explicit consent from data subjects",Authorization,false,"Article 6(1)(a), Article 7","Controller"
CM009,ComplianceMechanism,GDPR-NOTICE,Privacy Notice/Notification,"Transparent communication of data processing practices, purposes and rights to data subjects",Transparency,true,"Article 13-14","Controller"
CM010,ComplianceMechanism,GDPR-BREACH,Breach Notification,"Required notification to supervisory authorities and affected individuals upon personal data breach",Incident Response,true,"Article 33-34","Controller, DPO"
CM011,ComplianceMechanism,GDPR-AUDIT,Audit and Compliance Monitoring,"Regular assessment of processing activities against GDPR requirements and controls effectiveness",Monitoring,false,"Article 32","Controller, DPO"
CM012,ComplianceMechanism,GDPR-DPO,Data Protection Officer (DPO),"Designated person responsible for monitoring GDPR compliance and data subject requests",Governance,false,"Article 37-39","Controller, Processor"
CM013,ComplianceMechanism,GDPR-TRAIN,Staff Training and Awareness,"Educational programs ensuring employees understand data protection obligations and risks",Human Resources,false,"Article 32","Controller, Processor"
CM014,ComplianceMechanism,GDPR-SEC,Security Measures,"Technical and organizational measures protecting personal data confidentiality, integrity and availability",Security,true,"Article 32","Controller, Processor"
CM015,ComplianceMechanism,GDPR-IA,Impact Assessment,"Evaluation of processing activities' potential impact on data subjects and compliance risks",Risk Assessment,false,"Article 35","Controller, DPO"
