id,articleId,name,chapter_id,chapter_name,description
article_5,Art. 5,Principles relating to processing of personal data,chapter_2,Principles,"Establishes fundamental principles: lawfulness, fairness, transparency, purpose limitation, data minimisation, accuracy, storage limitation, integrity and confidentiality, accountability"
article_6,Art. 6,Lawfulness of processing,chapter_2,Principles,"Defines six legal bases for processing: consent, contract, legal obligation, vital interests, public task, legitimate interests"
article_7,Art. 7,Conditions for consent,chapter_2,Principles,"Requirements for valid consent: demonstrable, clear and distinguishable presentation, easy withdrawal, conditional consent prohibition"
article_9,Art. 9,Processing of special categories of personal data,chapter_2,Principles,"Prohibitions and exceptions for sensitive data: racial/ethnic origin, political opinions, religious beliefs, health data, biometric data, genetic data, sexual orientation"
article_10,Art. 10,Processing of personal data relating to criminal convictions,chapter_2,Principles,Restrictions on processing criminal conviction and offences data - only under official authority or Union/Member State law
article_12,Art. 12,"Transparent information, communication and modalities",chapter_3,Rights of the Data Subject,"Requirements for transparent communication: concise, transparent, intelligible, easily accessible form using clear and plain language"
article_13,Art. 13,Information to be provided where personal data are collected from the data subject,chapter_3,Rights of the Data Subject,"Mandatory disclosures when collecting data directly: controller identity, DPO contact, purposes, legal basis, recipients, retention periods, data subject rights"
article_14,Art. 14,Information to be provided where personal data have not been obtained from the data subject,chapter_3,Rights of the Data Subject,"Additional disclosures for indirect collection: categories of personal data, source of data, plus all Art. 13 requirements"
article_24,Art. 24,Responsibility of the controller,chapter_4,Controller and Processor,"Controller accountability: implement appropriate technical and organisational measures, demonstrate compliance with GDPR principles"
article_25,Art. 25,Data protection by design and by default,chapter_4,Controller and Processor,"Mandatory implementation of data protection at design stage and in default settings, including pseudonymisation and data minimisation"
article_28,Art. 28,Processor,chapter_4,Controller and Processor,"Processor requirements: written contracts, sufficient guarantees, processing only on documented instructions, security obligations"
article_30,Art. 30,Records of processing activities,chapter_4,Controller and Processor,"Mandatory written records of all processing activities under controller or processor responsibility, including purposes, categories, recipients, transfers, retention"
article_32,Art. 32,Security of processing,chapter_4,Controller and Processor,"Appropriate technical and organisational security measures: pseudonymisation, encryption, confidentiality, integrity, availability, resilience, regular testing"
article_33,Art. 33,Notification of a personal data breach to the supervisory authority,chapter_4,Controller and Processor,"Breach notification to authority: without undue delay, where feasible within 72 hours, describing nature, categories, consequences, and measures taken"
article_34,Art. 34,Communication of a personal data breach to the data subject,chapter_4,Controller and Processor,"Breach notification to individuals: required when breach likely to result in high risk to rights and freedoms, using clear and plain language"
article_35,Art. 35,Data protection impact assessment,chapter_4,Controller and Processor,"DPIA required for high-risk processing: systematic monitoring, large scale sensitive data, innovative technologies, profiling with legal effects"
