regional_standard_and_regulation_id,section_id,requirement_id
dpdpa_2023,SEC-1,REQ-1-001
dpdpa_2023,SEC-1,REQ-1-002
dpdpa_2023,SEC-1,REQ-1-003
dpdpa_2023,SEC-2,REQ-2-001
dpdpa_2023,SEC-2,REQ-2-002
dpdpa_2023,SEC-3,REQ-3-001
dpdpa_2023,SEC-3,REQ-3-002
dpdpa_2023,SEC-3,REQ-3-003
dpdpa_2023,SEC-4,REQ-4-001
dpdpa_2023,SEC-4,REQ-4-002
dpdpa_2023,SEC-4,REQ-4-003
dpdpa_2023,SEC-5,REQ-5-001
dpdpa_2023,SEC-5,REQ-5-002
dpdpa_2023,SEC-6,REQ-6-001
dpdpa_2023,SEC-6,REQ-6-002
dpdpa_2023,SEC-6,REQ-6-003
dpdpa_2023,SEC-7,REQ-7-001
dpdpa_2023,SEC-7,REQ-7-002
dpdpa_2023,SEC-7,REQ-7-003
dpdpa_2023,SEC-8,REQ-8-001
dpdpa_2023,SEC-8,REQ-8-002
dpdpa_2023,SEC-9,REQ-9-001
dpdpa_2023,SEC-9,REQ-9-002
dpdpa_2023,SEC-9,REQ-9-003
dpdpa_2023,SEC-10,REQ-10-001
dpdpa_2023,SEC-10,REQ-10-002
dpdpa_2023,SEC-11,REQ-11-001
dpdpa_2023,SEC-11,REQ-11-002
dpdpa_2023,SEC-11,REQ-11-003
dpdpa_2023,SEC-12,REQ-12-001
dpdpa_2023,SEC-12,REQ-12-002
dpdpa_2023,SEC-13,REQ-13-001
dpdpa_2023,SEC-13,REQ-13-002
dpdpa_2023,SEC-13,REQ-13-003
dpdpa_2023,SEC-14,REQ-14-001
dpdpa_2023,SEC-14,REQ-14-002
dpdpa_2023,SEC-15,REQ-15-001
dpdpa_2023,SEC-15,REQ-15-002
dpdpa_2023,SEC-15,REQ-15-003
dpdpa_2023,SEC-16,REQ-16-001
dpdpa_2023,SEC-16,REQ-16-002
dpdpa_2023,SEC-17,REQ-17-001
dpdpa_2023,SEC-17,REQ-17-002
dpdpa_2023,SEC-17,REQ-17-003
dpdpa_2023,SEC-18,REQ-18-001
dpdpa_2023,SEC-18,REQ-18-002
dpdpa_2023,SEC-19,REQ-19-001
dpdpa_2023,SEC-19,REQ-19-002
dpdpa_2023,SEC-19,REQ-19-003
dpdpa_2023,SEC-20,REQ-20-001
dpdpa_2023,SEC-20,REQ-20-002
dpdpa_2023,SEC-21,REQ-21-001
dpdpa_2023,SEC-21,REQ-21-002
dpdpa_2023,SEC-21,REQ-21-003
dpdpa_2023,SEC-22,REQ-22-001
dpdpa_2023,SEC-22,REQ-22-002
