requirement_id,role_id
REQ-S4-001,ROLE-DF
REQ-S4-002,ROLE-DF
REQ-S5-001,ROLE-DF
REQ-S5-002,ROLE-DPR
REQ-S6-001,ROLE-DF
REQ-S7-001,ROLE-DF
REQ-S7-002,ROLE-DF
REQ-S8-001,ROLE-DF
REQ-S8-003,ROLE-AUTH
REQ-S9-001,ROLE-DF
REQ-S9-002,ROLE-DF
REQ-S10-001,ROLE-DF
REQ-S11-001,ROLE-DF
REQ-S11-002,ROLE-DPR
REQ-S12-001,ROLE-DF
REQ-S13-001,ROLE-DF
REQ-S14-001,ROLE-DF
REQ-S16-001,ROLE-SDF
REQ-S17-001,ROLE-SDF
REQ-S17-002,ROLE-SDF
REQ-S18-001,ROLE-SDF
REQ-S18-001,ROLE-CM
REQ-S21-001,ROLE-DP
REQ-S21-002,ROLE-DP
REQ-S23-001,ROLE-DP
REQ-S24-001,ROLE-DF
REQ-S25-001,ROLE-SDF
REQ-S28-001,ROLE-DPO
REQ-S29-001,ROLE-DF
REQ-S30-001,ROLE-DPR
