definition_id,term,section_id,clause,definition_text
DEF-A,Appellate Tribunal,SEC-02,2(a),"means the Telecom Disputes Settlement and Appellate Tribunal established under section 14 of the Telecom Regulatory Authority of India Act, 1997"
DEF-B,automated,SEC-02,2(b),"means any digital process capable of operating automatically in response to instructions given or otherwise for the purpose of processing data"
DEF-C,Board,SEC-02,2(c),"means the Data Protection Board of India established by the Central Government under section 18"
DEF-D,certain legitimate uses,SEC-02,2(d),"means the uses referred to in section 7"
DEF-E,Chairperson,SEC-02,2(e),"means the Chairperson of the Board"
DEF-F,child,SEC-02,2(f),"means an individual who has not completed the age of eighteen years"
DEF-G,Consent Manager,SEC-02,2(g),"means a person registered with the Board, who acts as a single point of contact to enable a Data Principal to give, manage, review and withdraw her consent through an accessible, transparent and interoperable platform"
DEF-H,data,SEC-02,2(h),"means a representation of information, facts, concepts, opinions or instructions in a manner suitable for communication, interpretation or processing by human beings or by automated means"
DEF-I,Data Fiduciary,SEC-02,2(i),"means any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data"
DEF-J,Data Principal,SEC-02,2(j),"means the individual to whom the personal data relates and where such individual is a child includes the parents or lawful guardian and where a person with disability includes her lawful guardian"
DEF-K,Data Processor,SEC-02,2(k),"means any person who processes personal data on behalf of a Data Fiduciary"
DEF-L,Data Protection Officer,SEC-02,2(l),"means an individual appointed by the Significant Data Fiduciary under clause (a) of sub-section (2) of section 10"
DEF-M,digital office,SEC-02,2(m),"means an office that adopts an online mechanism wherein the proceedings, from receipt of intimation or complaint or reference or directions or appeal, to the disposal thereof, are conducted in online or digital mode"
DEF-N,digital personal data,SEC-02,2(n),"means personal data in digital form"
DEF-O,gain,SEC-02,2(o),"means a gain in property or supply of services, or an opportunity to earn remuneration or greater remuneration or to gain a financial advantage otherwise than by way of legitimate remuneration"
DEF-P,loss,SEC-02,2(p),"means a loss in property or interruption in supply of services, or a loss of opportunity to earn remuneration or greater remuneration or to gain a financial advantage otherwise than by way of legitimate remuneration"
DEF-Q,Member,SEC-02,2(q),"means a Member of the Board and includes the Chairperson"
DEF-R,notification,SEC-02,2(r),"means a notification published in the Official Gazette and the expressions notify and notified shall be construed accordingly"
DEF-S,person,SEC-02,2(s),"includes an individual, a Hindu undivided family, a company, a firm, an association of persons or a body of individuals whether incorporated or not, the State, and every artificial juristic person"
DEF-T,personal data,SEC-02,2(t),"means any data about an individual who is identifiable by or in relation to such data"
DEF-U,personal data breach,SEC-02,2(u),"means any unauthorised processing of personal data or accidental disclosure, acquisition, sharing, use, alteration, destruction or loss of access to personal data, that compromises the confidentiality, integrity or availability of personal data"
DEF-V,prescribed,SEC-02,2(v),"means prescribed by rules made under this Act"
DEF-W,proceeding,SEC-02,2(w),"means any action taken by the Board under the provisions of this Act"
DEF-X,processing,SEC-02,2(x),"in relation to personal data, means a wholly or partly automated operation or set of operations performed on digital personal data, and includes operations such as collection, recording, organisation, structuring, storage, adaptation, retrieval, use, alignment or combination, indexing, sharing, disclosure by transmission, dissemination or otherwise making available, restriction, erasure or destruction"
DEF-Y,she,SEC-02,2(y),"in relation to an individual includes the reference to such individual irrespective of gender"
DEF-Z,Significant Data Fiduciary,SEC-02,2(z),"means any Data Fiduciary or class of Data Fiduciaries as may be notified by the Central Government under section 10"
DEF-ZA,specified purpose,SEC-02,2(za),"means the purpose mentioned in the notice given by the Data Fiduciary to the Data Principal in accordance with the provisions of this Act and the rules made thereunder"
DEF-ZB,State,SEC-02,2(zb),"means the State as defined under article 12 of the Constitution"
