enforcement_action_id,requirement_id
EA-WARNING,REQ-S7-001
EA-WARNING,REQ-S8-001
EA-SUSPEND,REQ-S6-003
EA-SUSPEND,REQ-S7-001
EA-CEASE,REQ-S5-001
EA-CEASE,REQ-S6-003
EA-FINE-LOW,REQ-S7-002
EA-FINE-LOW,REQ-S8-003
EA-FINE-HIGH,REQ-S6-001
EA-FINE-HIGH,REQ-S7-001
EA-DESTROY,REQ-S10-003
EA-DESTROY,REQ-S13-001
EA-AUDIT,REQ-S20-001
EA-AUDIT,REQ-S17-001
EA-BARRIER,REQ-S24-001
EA-BARRIER,REQ-S25-001
EA-COMPENSATION,REQ-S8-003
EA-COMPENSATION,REQ-S14-001
EA-APPEAL,REQ-S38-001
EA-CRIMINAL,REQ-S42-001
EA-PUBLICITY,REQ-S36-001
