right_id,right_name,article_number,clause_id,text,source_document
right_withdraw_consent,Right to withdraw consent,15,art15_p1,"Where the processing of personal information is based on the consent of the individual concerned, the individual is entitled to withdraw his/her consent. The personal information processor shall provide convenient means to withdraw consent.",KB 2/China/Personal Information Protection Law.pdf
right_explanation_automated,"Right to require an explanation of, and to reject, decisions made solely through automatic decision-making",24,art24_p3,"Where automatic decision-making has a significant impact on individual's rights and interests, he/she has the right to require the personal information processor to give an explanation, and to reject the decision made by the personal information processor only through automatic decision-making.",KB 2/China/Personal Information Protection Law.pdf
right_know_and_decide,Right to know and make decisions on the processing of personal information; right to restrict or refuse processing,44,art44_p1,"An individual has the right to know and make decisions on the processing of his/her personal information, and the right to restrict or refuse others to process his/her personal information, unless otherwise provided for by laws and administrative regulations.",KB 2/China/Personal Information Protection Law.pdf
right_consult_copy,Right to consult or copy personal information,45,art45_p1,"An individual is entitled to consult or copy his/her personal information from a personal information processor, except for the circumstances as prescribed in Paragraph 1 of Article 18 and Article 35 herein.",KB 2/China/Personal Information Protection Law.pdf
right_portability,Right to request transfer of personal information to a designated personal information processor,45,art45_p3,"Where an individual requests to transfer his/her personal information to a personal information processor designated by him/her, the personal information processor shall provide the means for such transfer if the conditions prescribed by the State cyberspace administration are met.",KB 2/China/Personal Information Protection Law.pdf
right_correct_supplement,Right to request corrections or supplements,46,art46_p1,"Where an individual finds that his/her personal information is inaccurate or incomplete, he/she is entitled to request the personal information processor to make corrections or supplements.",KB 2/China/Personal Information Protection Law.pdf
right_delete,Right to request deletion,47,art47_p1,"Under any of the following circumstances, a personal information processor shall delete personal information on its own initiative; if the personal information processor has not deleted it, the individual concerned shall have the right to request deletion:",KB 2/China/Personal Information Protection Law.pdf
right_explanation_of_rules,Right to request an explanation of the rules on processing of personal information,48,art48_p1,An individual is entitled to request the personal information processor to explain the rules on processing of personal information.,KB 2/China/Personal Information Protection Law.pdf
right_near_relatives_deceased,Rights of near relatives of a deceased natural person,49,art49_p1,"In the event of the death of a natural person, his/her near relatives may, for their own lawful and legitimate interests, exercise the rights of consulting, copying, correcting, and deleting the relevant personal information of the deceased as prescribed in this Chapter, unless the deceased had otherwise arranged before his/her death.",KB 2/China/Personal Information Protection Law.pdf
right_lawsuit_on_refusal,Right to bring a lawsuit in a people's court where a request to exercise rights is refused,50,art50_p2,"Where the personal information processor refuses an individual's request to exercise his rights, the individual may bring a lawsuit in a people's court according to law.",KB 2/China/Personal Information Protection Law.pdf
