source_id,target_id,rel_type,scope_status
ROLE-EMPLOYEE,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-EMPLOYEE,OWN-THIRD,DEVICE_SCOPE,N/A
ROLE-EMPLOYEE,OWN-BYOD,DEVICE_SCOPE,In scope
ROLE-VOLUNTEER,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-VOLUNTEER,OWN-THIRD,DEVICE_SCOPE,N/A
ROLE-VOLUNTEER,OWN-BYOD,DEVICE_SCOPE,In scope
ROLE-TRUSTEE,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-TRUSTEE,OWN-THIRD,DEVICE_SCOPE,N/A
ROLE-TRUSTEE,OWN-BYOD,DEVICE_SCOPE,In scope
ROLE-UNIVERSITY-RESEARCH-ASSISTANT,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-UNIVERSITY-RESEARCH-ASSISTANT,OWN-THIRD,DEVICE_SCOPE,N/A
ROLE-UNIVERSITY-RESEARCH-ASSISTANT,OWN-BYOD,DEVICE_SCOPE,In scope
ROLE-STUDENT,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-STUDENT,OWN-THIRD,DEVICE_SCOPE,N/A
ROLE-STUDENT,OWN-BYOD,DEVICE_SCOPE,Out of scope
ROLE-MSP-ADMINISTRATOR,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-MSP-ADMINISTRATOR,OWN-THIRD,DEVICE_SCOPE,Out of scope
ROLE-MSP-ADMINISTRATOR,OWN-BYOD,DEVICE_SCOPE,Out of scope
ROLE-THIRD-PARTY-CONTRACTOR,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-THIRD-PARTY-CONTRACTOR,OWN-THIRD,DEVICE_SCOPE,Out of scope
ROLE-THIRD-PARTY-CONTRACTOR,OWN-BYOD,DEVICE_SCOPE,Out of scope
ROLE-CUSTOMER,OWN-ORG,DEVICE_SCOPE,In scope
ROLE-CUSTOMER,OWN-THIRD,DEVICE_SCOPE,Out of scope
ROLE-CUSTOMER,OWN-BYOD,DEVICE_SCOPE,Out of scope
