source_id,target_id,rel_type,citation,source_document
LAW_ART_2_F_I,LAW_ART_14,CROSS_REFERENCES,Article 14 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P5,LAW_ART_9,CROSS_REFERENCES,Articles 9 and 36 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_7_P5,LAW_ART_36,CROSS_REFERENCES,Articles 9 and 36 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_30_P1,LAW_ART_29,CROSS_REFERENCES,Article 29 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_IV,LAW_ART_45,CROSS_REFERENCES,Article 45 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_44_P1,LAW_ART_41,CROSS_REFERENCES,Article 41 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_VI,LAW_ART_40,CROSS_REFERENCES,Article 40 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_V,LAW_ART_15,CROSS_REFERENCES,Article 15 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_VII,LAW_ART_59,CROSS_REFERENCES,Article 59 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_VIII,LAW_ART_20,CROSS_REFERENCES,Article 20 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_IX,LAW_ART_11,CROSS_REFERENCES,Article 11 of this Law,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XVIII,LAW_ART_8,CROSS_REFERENCES,"Article 8, second paragraph of this Law",KB 2/Mexico/Federal LAW.pdf
