reg_section_id,number,title,reg_chapter_id,regulation_id,source_document
REG_CH_2_S_I,I,Principles,REG_CH_2,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_2_S_II,II,Sensitive Personal Data,REG_CH_2,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_4_S_I,I,General Provisions,REG_CH_4,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_4_S_II,II,National Transfers,REG_CH_4,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_4_S_III,III,International Transfers,REG_CH_4,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_I,I,General Provisions,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_II,II,Right to Access and its Exercise,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_III,III,Right to Rectification and its Exercise,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_IV,IV,Right of Cancellation and its Exercise,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_V,V,Right of Objection and its Exercise,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
REG_CH_7_S_VI,VI,Decisions Made without Human Intervention,REG_CH_7,REG_LFPDPPP_2011,KB 2/Mexico/2_regulations_to_the_flppdhpp.pdf
