article_id,number,chapter_id,chapter_number,chapter_title,text,law_id,source_document
LAW_ART_1,1,LAW_CH_I,I,General Provisions,"This Law is of public order and of general observance throughout the national territory and its purpose is the protection of personal data in possession of private parties, with the purpose of regulating its legitimate, controlled and informed processing, in order to guarantee the privacy and the right to informational self-determination of individuals. The following are exempted from the application of this Law: Credit reporting companies under the provisions of the Law to Regulate Credit Reporting Companies and other applicable provisions, and Persons who carry out the collection and storage of personal data, which is exclusively for personal use, and without the purpose of disclosure or commercial use.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_2,2,LAW_CH_I,I,General Provisions,"For the purposes of this Law, the following definitions shall apply: Privacy Notice: Document available to the data subject in physical, electronic or any other format generated by the data controller, from the moment in which his/her personal data is collected, in order to inform him/her of the purposes of the processing thereof, in accordance with Article 14 of this Law; Databases: An ordered set of personal data referring to an identified or identifiable person conditioned to determined criteria, regardless of the form or modality of its creation, type of support, processing, storage and organization; Blocking: Identification and preservation of personal data once the purpose for which they were collected has been fulfilled, for the sole purpose of determining possible liabilities in connection with their processing, until the legal or contractual statute of limitations period. During this period, personal data may not be processed and, after this period has elapsed, they will be cancelled in the corresponding database; Consent: Manifestation of the free, specific and informed will of the data subject by means of which the data is processed; Personal Data: Any information concerning an identified or identifiable person. A person is considered identifiable when his identity can be determined directly or indirectly through any information; Sensitive personal data: Those personal data that affect the most intimate sphere of the data subject, or whose improper use may give rise to discrimination or entail a serious risk for the data subject. By way of example, but not limited to, personal data that may reveal aspects such as racial or ethnic origin, present or future health status, genetic information, religious, philosophical and moral beliefs, political opinions and sexual preference are considered sensitive; ARCO Rights: Rights of access, rectification, cancellation and opposition to the processing of personal data; Days: Business days; Dissociation: Procedure by which personal data cannot be associated with the data subject or allow, due to its structure, content or degree of disaggregation, the identification of the data subject; Public access source: Those databases, systems or files that by law may be publicly consulted when there is no impediment by a limiting rule, and with no other requirement than, as the case may be, the payment of a consideration, fee or contribution. It shall not be considered a source of public access when the information contained therein is obtained or has an unlawful origin, in accordance with the provisions established by this Law and other applicable legal provisions; Law: Federal Law for the Protection of Personal Data in Possession of Private Parties; Processor person: Natural or legal person who alone or jointly with others processes personal data on behalf of the data controller; Regulation: Regulation of the Federal Law for the Protection of Personal Data in Possession of Private Parties; Data Controller: Regulated subjects referred to in section XVI of this article; Secretariat: Anticorruption and Good Governance Secretariat; Regulated subjects: Individuals or private legal entities that carry out the processing of personal data; Third Party: Natural or legal person, national or foreign, other than the data subject or the data controller for the data; Data Subject: Person to whom the personal data corresponds; Processing: Any operation or set of operations carried out by means of manual or automated procedures applied to personal data, related to the collection, use, recording, organization, preservation, storage, processing, use, communication, dissemination, storage, possession, access, handling, use, disclosure, transfer or disposal of personal data, and Transfer: Any communication of personal data within or outside Mexican territory, made to a person other than the data subject, the data controller or the processor.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_3,3,LAW_CH_I,I,General Provisions,"The principles and rights provided for in this Law shall have as a limit as to their observance and exercise, the protection of national security, public order, safety and health, as well as the rights of third parties.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_4,4,LAW_CH_I,I,General Provisions,"In the absence of express provision in this Law, the provisions of the Federal Code of Civil Procedures and the Federal Law of Administrative Procedure shall be applied in a supplementary manner. For the substantiation of proceedings for the protection of rights, verification and imposition of sanctions, the provisions contained in the Federal Law of Administrative Procedure will be observed.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_5,5,LAW_CH_II,II,Personal Data Protection Principles,"The data controller shall observe the principles of legality, purpose, loyalty, consent, quality, proportionality, information and responsibility in the processing of personal data.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_6,6,LAW_CH_II,II,Personal Data Protection Principles,"Personal data shall be collected and processed in a lawful manner in accordance with the provisions of this Law and other applicable legal provisions. The data controller shall not obtain and process personal data through deceitful or fraudulent means, and shall give priority to the protection of the interests of the data subject and the reasonable expectation of privacy, understood as the trust placed by any person in another, that the personal data provided will be processed in accordance with what they agreed in the terms established by this Law.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_7,7,LAW_CH_II,II,Personal Data Protection Principles,"Any processing of personal data shall be subject to the consent of the data subject, except for the exceptions provided for in this Law. Consent may be express or tacit. It shall be understood that consent is express when the will of the data subject is expressed verbally, in writing, by electronic or optical means, unequivocal signs or by any other technology. The consent will be tacit when, having made the privacy notice available to the data subject, he/she does not express his/her will to the contrary. As a general rule, tacit consent shall be valid, unless the applicable legal provisions require that the will of the data subject be expressly expressed. Financial or patrimonial data shall require the express consent of the data subject, except for the exceptions referred to in Articles 9 and 36 of this Law. Consent may be revoked at any time without retroactive effect. To revoke consent, the data controller shall, in the privacy notice, establish the mechanisms and procedures to do so.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_8,8,LAW_CH_II,II,Personal Data Protection Principles,"In the case of sensitive personal data, the data controller shall obtain the express written consent of the data subject for the processing thereof, by means of his autograph signature, electronic signature, or any authentication mechanism established for such purpose. Databases containing sensitive personal data may not be created without justifying the creation of such databases for legitimate and specific purposes, in accordance with the activities or explicit purposes pursued by the regulated entity.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_9,9,LAW_CH_II,II,Personal Data Protection Principles,"The data controller shall not be obliged to obtain the consent of the data subject for the processing of personal data when: A legal provision so provides; The personal data is contained in publicly available sources; The personal data is subjected to a prior disassociation procedure; The personal data is required to exercise a right or fulfill obligations arising from a legal relationship between the data subject and the data controller; An emergency situation exists that could potentially harm an individual's person or property; The personal data are indispensable to carry out a treatment for medical care, prevention, diagnosis, provision of health care, or management of health services, as long as the data subject is not in a position to grant consent, in the terms established by the General Health Law and other applicable legal provisions, and that such data processing is carried out by a person subject to professional secrecy or equivalent obligation, or There is a court order, resolution or mandate founded and motivated by a competent authority.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
LAW_ART_10,10,LAW_CH_II,II,Personal Data Protection Principles,"The data controller shall ensure that the personal data contained in the databases are accurate, complete, correct and updated for the purposes for which they were collected. When the personal data is no longer necessary for the fulfillment of the purposes set forth in the privacy notice and that motivated its processing in accordance with the applicable legal provisions, it must be deleted after blocking, if applicable, and once the term of conservation of the same has concluded. The data controller shall be obliged to delete the data related to the breach of contractual obligations, once a period of seventy- two months has elapsed, counted from the calendar date on which the breach occurs.",LFPDPPP_2025,KB 2/Mexico/Federal LAW.pdf
