clause_id,title,category,parent_clause
4,Context of the organization,main_clause,
4.1,Understanding the organization and its context,subclause,4
4.2,Understanding the needs and expectations of interested parties,subclause,4
4.3,Determining the scope of the information security management system,subclause,4
4.4,Information security management system,subclause,4
5,Leadership,main_clause,
5.1,Leadership and commitment,subclause,5
5.2,Policy,subclause,5
5.3,Organizational roles, responsibilities and authorities,subclause,5
6,Planning,main_clause,
6.1,Actions to address risks and opportunities,subclause,6
6.2,Information security objectives and planning to achieve them,subclause,6
6.3,Planning of changes,subclause,6
7,Support,main_clause,
7.1,Resources,subclause,7
7.2,Competence,subclause,7
7.3,Awareness,subclause,7
7.4,Communication,subclause,7
7.5,Documented information,subclause,7
8,Operation,main_clause,
8.1,Operational planning and control,subclause,8
8.2,Information security risk assessment,subclause,8
8.3,Information security risk treatment,subclause,8
9,Performance evaluation,main_clause,
9.1,Monitoring, measurement, analysis and evaluation,subclause,9
9.2,Internal audit,subclause,9
9.3,Management review,subclause,9
10,Improvement,main_clause,
10.1,Continual improvement,subclause,10
10.2,Nonconformity and corrective action,subclause,10
