clause_id,title,description,category,parent_clause
4,Context of the Organisation,ISO 27001:2022 Clause 4 - Context of the Organisation,main_clause,
4.1,Understanding the organisation and its context,ISO 27001:2022 Clause 4.1 - Understanding the organisation and its context,subclause,4
4.2,Understanding the needs and expectations of interested parties,ISO 27001:2022 Clause 4.2 - Understanding the needs and expectations of interested parties,subclause,4
4.3,Determining the scope of the ISMS,ISO 27001:2022 Clause 4.3 - Determining the scope of the ISMS,subclause,4
4.4,Information security management system,ISO 27001:2022 Clause 4.4 - Information security management system,subclause,4
5,Leadership,ISO 27001:2022 Clause 5 - Leadership,main_clause,
5.1,Leadership and commitment,ISO 27001:2022 Clause 5.1 - Leadership and commitment,subclause,5
5.2,Policy,ISO 27001:2022 Clause 5.2 - Policy,subclause,5
5.3,"Organisational roles, responsibilities and authorities","ISO 27001:2022 Clause 5.3 - Organisational roles, responsibilities and authorities",subclause,5
6,Planning,ISO 27001:2022 Clause 6 - Planning,main_clause,
6.1,Actions to address risks and opportunities,ISO 27001:2022 Clause 6.1 - Actions to address risks and opportunities,subclause,6
6.1.1,General,ISO 27001:2022 Clause 6.1.1 - General,subclause,6
6.1.2,Information security risk assessment,ISO 27001:2022 Clause 6.1.2 - Information security risk assessment,subclause,6
6.1.3,Information security risk treatment,ISO 27001:2022 Clause 6.1.3 - Information security risk treatment,subclause,6
6.2,Information security objectives and planning to achieve them,ISO 27001:2022 Clause 6.2 - Information security objectives and planning to achieve them,subclause,6
6.3,Planning of changes,ISO 27001:2022 Clause 6.3 - Planning of changes,subclause,6
7,Support,ISO 27001:2022 Clause 7 - Support,main_clause,
7.1,Resources,ISO 27001:2022 Clause 7.1 - Resources,subclause,7
7.2,Competence,ISO 27001:2022 Clause 7.2 - Competence,subclause,7
7.3,Awareness,ISO 27001:2022 Clause 7.3 - Awareness,subclause,7
7.4,Communication,ISO 27001:2022 Clause 7.4 - Communication,subclause,7
7.5,Documented information,ISO 27001:2022 Clause 7.5 - Documented information,subclause,7
8,Operation,ISO 27001:2022 Clause 8 - Operation,main_clause,
8.1,Operational planning and control,ISO 27001:2022 Clause 8.1 - Operational planning and control,subclause,8
8.2,Information security risk assessment,ISO 27001:2022 Clause 8.2 - Information security risk assessment,subclause,8
8.3,Information security risk treatment,ISO 27001:2022 Clause 8.3 - Information security risk treatment,subclause,8
9,Performance evaluation,ISO 27001:2022 Clause 9 - Performance evaluation,main_clause,
9.1,"Monitoring, measurement, analysis and evaluation","ISO 27001:2022 Clause 9.1 - Monitoring, measurement, analysis and evaluation",subclause,9
9.2,Internal audit,ISO 27001:2022 Clause 9.2 - Internal audit,subclause,9
9.3,Management review,ISO 27001:2022 Clause 9.3 - Management review,subclause,9
10,Improvement,ISO 27001:2022 Clause 10 - Improvement,main_clause,
10.1,Continual improvement,ISO 27001:2022 Clause 10.1 - Continual improvement,subclause,10
10.2,Nonconformity and corrective action,ISO 27001:2022 Clause 10.2 - Nonconformity and corrective action,subclause,10
