requirement_id,clause_id,requirement_text
REQ_4.1,4.1,The organization shall determine external and internal issues that are relevant to its purpose.
REQ_4.2,4.2,The organization shall determine interested parties that are relevant to the information security management system.
REQ_4.3,4.3,The organization shall determine the boundaries and applicability of the information security management system to establish its scope.
REQ_4.4,4.4,The organization shall establish, implement, maintain and continually improve an information security management system.
REQ_5.1,5.1,Top management shall demonstrate leadership and commitment with respect to the information security management system.
REQ_5.2,5.2,Top management shall establish an information security policy.
REQ_6.1.2,6.1.2,The organization shall define and apply an information security risk assessment process.
REQ_6.1.3,6.1.3,The organization shall define and apply an information security risk treatment process.
REQ_7.2,7.2,The organization shall determine the necessary competence of person(s) doing work under its control.
REQ_9.2,9.2,The organization shall conduct internal audits at planned intervals.
REQ_9.3,9.3,Top management shall review the organization's information security management system at planned intervals.
