chapter_id,title_id,label,heading,source_line,source_document
T1-C1,T1,Single Chapter,Of the Object of the Law,41,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T2-C2,T2,Chapter I,Of the Principles,315,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T2-C3,T2,Chapter II,Of Duties,536,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T3-C4,T3,Chapter I,"Rights of Access, Rectification, Cancellation and Opposition",693,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T3-C5,T3,Chapter II,"On the Exercise of the Rights of Access, Rectification, Cancellation and Opposition",741,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T3-C6,T3,Chapter III,On Data Portability,929,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T4-C7,T4,Single Chapter,Person in Charge and Responsible Person,942,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T5-C8,T5,Single Chapter,On Transfers and Remissions of Personal Data,1067,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T6-C9,T6,Chapter I,Best Practices,1149,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T6-C10,T6,Chapter II,"From the Databases Held by Security, Procurement and Administration of Justice Instances",1238,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T7-C11,T7,Chapter I,Transparency Committee,1280,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T7-C12,T7,Chapter II,From the Transparency Unit,1313,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T8-C13,T8,Chapter I,From the Secretariat,1361,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T8-C14,T8,Chapter II,From the Guarantor Authorities,1474,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T8-C15,T8,Chapter III,Coordination and Promotion of the Right to the Protection of Personal Data,1548,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T9-C16,T9,Chapter I,From the Review Appeal,1580,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T9-C17,T9,Chapter II,From the Appeal for Review in Matters of National Security,1946,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T9-C18,T9,Chapter III,Of the Criteria of Interpretation,1993,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T10-C19,T10,Single Chapter,From the Verification Procedure,2014,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T11-C20,T11,Chapter I,Of the Coercive Measures,2126,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
T11-C21,T11,Chapter II,Of the Sanctions,2203,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
