clause_id,article_id,clause_type,marker,text,source_line,source_document
Art2-I,Art2,fraction,I.,"Establish the bases, principles and procedures to guarantee the right of every person to the protection of their personal data, held by obligated subjects;",50,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-II,Art2,fraction,II.,Distribute powers between the Secretariat and the Guarantor Authorities regarding the protection of personal data held by obliged subjects;,53,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-III,Art2,fraction,III.,"Establish the minimum bases and homogeneous conditions that will govern the processing of personal data and the exercise of the rights of access, rectification, cancellation and opposition, through simple and expeditious procedures;",55,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-IV,Art2,fraction,IV.,Ensure compliance with the principles of personal data protection provided for in this document Law and other provisions that are applicable in the matter;,60,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-V,Art2,fraction,V.,"Protect personal data in the possession of any authority, entity, body and organization of the Executive, Legislative and Judicial Powers, autonomous bodies, trusts and public funds, of the Federation, political parties, the Federative Entities and the municipalities, with the purpose of regulating their due treatment;",62,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-VI,Art2,fraction,VI.,Ensure that every person can exercise the right to the protection of personal data;,66,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-VII,Art2,fraction,VII.,"Promote, encourage and disseminate a culture of personal data protection, and",68,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art2-VIII,Art2,fraction,VIII.,Establish mechanisms to ensure compliance and effective enforcement of appropriate enforcement measures for conduct that violates the provisions of this Law.,83,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-I,Art3,fraction,I.,"Areas: Instances of the obligated subjects provided for in the respective internal regulations, organic statutes or equivalent instruments, which have or may have, process, and be responsible for or in charge of personal data;",88,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-II,Art3,fraction,II.,"Guarantor authorities: Control and disciplinary body of the Judiciary; the internal control bodies of the autonomous constitutional bodies; the internal comptroller's offices of the Congress of the Union; the National Electoral Institute, with regard to access to the protection of personal data by political parties; and the bodies in charge of internal comptrollership or their counterparts. Executive, Legislative and Judicial Powers, as well as the autonomous constitutional bodies, of the Federative Entities;",93,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-III,Art3,fraction,III.,"Privacy Notice: Document available to the data subject, whether physically, electronically, or in any format generated by the data controller, from the moment in which their personal data is collected, in order to inform them of the purposes for which said data is processed;",99,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-IV,Art3,fraction,IV.,"Databases: An ordered set of personal data relating to an identified or identifiable person, subject to certain criteria, regardless of the form or method of its creation, type of support, processing, storage and organization;",104,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-V,Art3,fraction,V.,"Blocking: Identification and retention of personal data once the purpose for which it was collected has been fulfilled, for the sole purpose of determining potential liabilities related to its processing, until the statutory or contractual limitation period for such processing expires. During this period, personal data may not be processed, and once this period has elapsed, they will be deleted from the corresponding database.",108,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-VI,Art3,fraction,VI.,Transparency Committee: Body referred to in article 39 of the General Law of Transparency and Access to Public Information;,114,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-VII,Art3,fraction,VII.,"Cloud computing: A model for the external provision of on-demand computing services, which involves the provision of infrastructure, a platform, or software, distributed flexibly, through virtual procedures, on dynamically shared resources;",116,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art3-VIII,Art3,fraction,VIII.,"Consent: Manifestation of the free, specific and informed will of the data subject through which the processing of the data is carried out;",119,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
