definition_id,term,definition,clause_id,article_id,source_line,source_document
DEF-Areas,Areas,"Instances of the obligated subjects provided for in the respective internal regulations, organic statutes or equivalent instruments, which have or may have, process, and be responsible for or in charge of personal data;",Art3-I,Art3,88,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Guarantor_authorities,Guarantor authorities,"Control and disciplinary body of the Judiciary; the internal control bodies of the autonomous constitutional bodies; the internal comptroller's offices of the Congress of the Union; the National Electoral Institute, with regard to access to the protection of personal data by political parties; and the bodies in charge of internal comptrollership or their counterparts. Executive, Legislative and Judicial Powers, as well as the autonomous constitutional bodies, of the Federative Entities;",Art3-II,Art3,93,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Privacy_Notice,Privacy Notice,"Document available to the data subject, whether physically, electronically, or in any format generated by the data controller, from the moment in which their personal data is collected, in order to inform them of the purposes for which said data is processed;",Art3-III,Art3,99,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Databases,Databases,"An ordered set of personal data relating to an identified or identifiable person, subject to certain criteria, regardless of the form or method of its creation, type of support, processing, storage and organization;",Art3-IV,Art3,104,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Blocking,Blocking,"Identification and retention of personal data once the purpose for which it was collected has been fulfilled, for the sole purpose of determining potential liabilities related to its processing, until the statutory or contractual limitation period for such processing expires. During this period, personal data may not be processed, and once this period has elapsed, they will be deleted from the corresponding database.",Art3-V,Art3,108,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Transparency_Committee,Transparency Committee,Body referred to in article 39 of the General Law of Transparency and Access to Public Information;,Art3-VI,Art3,114,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Cloud_computing,Cloud computing,"A model for the external provision of on-demand computing services, which involves the provision of infrastructure, a platform, or software, distributed flexibly, through virtual procedures, on dynamically shared resources;",Art3-VII,Art3,116,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Consent,Consent,"Manifestation of the free, specific and informed will of the data subject through which the processing of the data is carried out;",Art3-VIII,Art3,119,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Personal_data,Personal data,"Any information relating to an identified or identifiable person. A person is considered identifiable when their identity can be determined, directly or indirectly, from any information;",Art3-IX,Art3,121,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Sensitive_personal_data,Sensitive personal data,"Data that relates to the most intimate sphere of the data subject, or whose improper use could give rise to discrimination or pose a serious risk to discrimination. By way of example, but not limited to, sensitive personal data includes data that may reveal aspects such as racial or ethnic origin, current or future health status, genetic information, religious, philosophical, and moral beliefs, political opinions, and sexual preference.",Art3-X,Art3,126,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-ARCO_Rights,ARCO Rights,"Rights of access, rectification, cancellation and opposition to the processing of personal data;",Art3-XI,Art3,132,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Days,Days,Business days;,Art3-XII,Art3,135,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Dissociation,Dissociation,"Procedure by which personal data cannot be associated with the data subject nor, due to their structure, content or degree of disaggregation, allow their identification;",Art3-XIII,Art3,136,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Security_document,Security document,"Instrument that describes and provides a general account of the technical, physical and administrative security measures adopted by the controller to guarantee the confidentiality, integrity and availability of the personal data it holds;",Art3-XIV,Art3,138,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
DEF-Personal_data_protection_impact_assessment,Personal data protection impact assessment,"Document through which obligated subjects who intend to implement or modify public policies, programs, computer systems or platforms, electronic applications or any other technology that involves the intensive or relevant processing of personal data, assess the real impacts regarding certain processing of personal data, in order to identify and mitigate possible risks related to the principles, duties and rights of the data subjects, as well as the duties of those responsible and those in charge, provided for in the applicable legal provisions;",Art3-XV,Art3,156,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
