transitory_id,ordinal,order,text,source_line,source_document
TRANS-First,First,1,"This Decree will enter into force on the day following its publication in the Official Gazette of the Federation, with the exception of what is provided in the Third Transitory Provision of this instrument.",2333,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Second,Second,2,"Upon the entry into force of this Decree, the following provisions are repealed: YO. The Federal Law on the Protection of Personal Data Held by Private Parties, published in the Official Gazette of the Federation on July 5, 2010; II. The General Law on Transparency and Access to Public Information, published in the Official Gazette of the Federation on May 4, 2015, and its subsequent amendments; III. The Federal Law on Transparency and Access to Public Information, published in the Official Gazette of the Federation on May 9, 2016, and its subsequent amendments; IV. The General Law on the Protection of Personal Data Held by Obligated Subjects, published in the Official Gazette of the Federation on January 26, 2017, and V. The Agreement approving the Annual Program for Verification and Institutional Support for compliance with obligations regarding access to information and transparency by federally obligated entities, corresponding to the 2025 fiscal year, was published in the Official Gazette of the Federation on January 21, 2025.",2335,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Third,Third,3,"Articles 71 and 72 of the General Law on Transparency and Access to Public Information will enter into force when the Federal Economic Competition Commission and the Federal Telecommunications Institute are extinguished in accordance with the provisions of the Tenth and Eleventh transitory provisions of the ""Decree by which various provisions of the Political Constitution of the United Mexican States are reformed, added to and repealed, in matters of organic simplification"", published in the Official Gazette of the Federation on December 20, 2024. For the purposes of the preceding paragraph, the Federal Economic Competition Commission and the Federal Telecommunications Institute must make available to the public and update the information referred to in Article 72, Sections II and V, respectively, of the Federal Law on Transparency and Access to Public Information, which is repealed by virtue of this Decree.",2365,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Fourth,Fourth,4,"The mentions, powers or functions contained in other laws, regulations and, in general, in any normative provision, regarding the National Institute of Transparency, Access to Information and Protection of Personal Data shall be understood to have been made or conferred to the public entities that acquire such powers or functions, as appropriate.",2374,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Fifth,Fifth,5,"The labor rights of public servants of the National Institute of Transparency, Access to Information and Protection of Personal Data will be respected, in accordance with applicable legislation. The human resources available at the aforementioned Institute will become part of the Anti-Corruption, Good Governance and Transparency Secretariat for the People. The National Institute for Transparency, Access to Information, and Personal Data Protection will transfer the resources corresponding to the value of the inventory or staffing table of positions to the Ministry of Finance and Public Credit within twenty business days following the entry into force of this Decree, so that this agency can take the appropriate actions, in accordance with applicable legal provisions. Public servants of the National Institute for Transparency, Access to Information and Protection of Personal Data who cease to provide their services to the aforementioned Institute and who are required to file a declaration of assets and interests, in accordance with applicable legal provisions, shall do so using the systems of the Secretariat for Anti-Corruption and Good Governance authorized for such purposes or through the means it determines and in accordance with the regulations applicable to the Federal Public Administration. The foregoing also applies to individuals who have served as public servants at the aforementioned Institute and who, as of the date this Decree enters into force, have yet to comply with this obligation. Persons who, within the ten days prior to the entry into force of this Decree, have served as public servants of the National Institute for Transparency, Access to Information and Protection of Personal Data, including Commissioners, must submit an administrative record of institutional and individual delivery-receipt, as appropriate, to the public servant designated by the Anti-Corruption and Good Government Secretariat and in accordance with the regulations applicable to the Federal Public Administration, in the systems of the aforementioned agency enabled for such purposes or in the means it determines, with the understanding that the delivery made does not imply any release from any responsibilities that may be determined by the competent authority later.",2378,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Sixth,Sixth,6,"The material resources available to the National Institute for Transparency, Access to Information and Protection of Personal Data will be transferred to the Secretariat for Anti-Corruption and Good Governance within twenty business days following the entry into force of this Decree.",2401,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Seventh,Seventh,7,"The National Institute for Transparency, Access to Information and Protection of Personal Data will transfer financial resources to the Ministry of Finance and Public Credit, in accordance with applicable legal provisions. Likewise, the National Institute for Transparency, Access to Information, and Protection of Personal Data must provide the aforementioned agency with the information and forms necessary to compile the Public Accounts and other reports for the first quarter, in accordance with applicable legal provisions, within ten business days following the entry into force of this Decree.",2404,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Eighth,Eighth,8,"The internal and external records, registries and systems that comprise the National Transparency Platform of the National In stitute for Transparency, Access to Information and Protection of Personal Data, as well as the computer systems used by said Institute, including those no longer in use but containing historical records, including their documentation and ownership, will be transferred to the Anti -Corruption and Good Governance Secretariat within fifteen business days following the entry into force of this Decree.",2426,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Ninth,Ninth,9,"Procedures initiated prior to the entry into force of this Decree before the National Institute for Transparency, Access to I nformation and Protection of Personal Data, regarding access to public information, shall be substantiated before Transparency for the People in accordance with the applicable provisions in force at the time of their initiation. Legal defense before administrative, jurisdictional, and judicial authorities regarding administrative and legal acts issued by the National Institute for Transparency, Access to Information, and Protection of Personal Data regarding access to public information will be carried o ut by Transparency for the People. Transparency for the People may refer to the competent guarantor authority those matters that are mentioned in the preceding paragraphs that it is up to them according to the scope of their powers to address them.",2434,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Tenth,Tenth,10,"Procedures initiated prior to the entry into force of this Decree before the National Institute for Transparency, Access to I nformation and Protection of Personal Data, in matters of personal data or any other than those mentioned in the previous transitional provi sion, shall be substantiated in accordance with the provisions in force at the time of their initiation before the Anti-Corruption and Good Government Secretariat referred to in this Decree. Legal defense before administrative, jurisdictional, or judicial authorities of administrative and legal acts issued by the N ational Institute for Transparency, Access to Information, and Protection of Personal Data, regarding personal data or any other matters other than those mentioned in the previous transitional provision, as well as the monitoring of those currently in progress, including criminal and labor proce edings, will be carried out by the Anti-Corruption and Good Governance Secretariat. The Anti-Corruption and Good Governance Secretariat may refer to the competent guarantor authority those matters mentioned in the preceding paragraphs that correspond to it according to the scope of its powers for its attention.",2444,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Eleventh,Eleventh,11,"Municipalities may comply with their obligations regarding transparency and access to information, in accordance with the provisions of the Tenth Transitory Provision of the General Law on Transparency and Access to Public Information, which is repealed by this Dec ree.",2461,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Twelfth,Twelfth,12,"The head of the Federal Executive Branch shall issue the corresponding adjustments to the regulations and other applicable provisions, including the Internal Regulations on Transparency for the People, within ninety calendar days following the entry into force of this Decree, in order to harmonize them with the provisions herein.",2465,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Thirteenth,Thirteenth,13,"The files and archives that upon the entry into force of this Decree are in the charge of the National Institute of Transparency, Access to Information and Protection of Personal Data for the exercise of its substantive powers, competences or functions, in accordan ce with the General Law of Archives and other applicable legal provisions, will be transferred to the Anti-Corruption and Good Government Secretariat within twenty business days following the entry into force of this Decree. The Anti-Corruption and Good Governance Secretariat, within thirty calendar days following receipt of the files and records mentioned in the preceding paragraph, may transfer them to the corresponding authority.",2470,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Fourteenth,Fourteenth,14,"The Internal Control Body of the National Institute for Transparency, Access to Information and Protection of Personal Data i s hereby dissolved and its matters and procedures that are under its charge upon the entry into force of this Decree, as well as the f iles and archives, shall be transferred to the Internal Control Body of the Anti-Corruption and Good Government Secretariat within twenty business days following its entry into force, and shall be processed and resolved by said body in accordance with the legal provisions in force at the time of its commence ment.",2480,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Fifteenth,Fifteenth,15,"For the purposes of the provisions of the Fifth, Sixth, Seventh, Eighth and Thirteenth transitional provisions of this Decree , the Plenary of the National Institute of Transparency, Access to Information and Protection of Personal Data must integrate, on the date of publication of this instrument, a Transfer Committee made up of the Commissioners of the aforementioned Institute and eleven public servants of the same with at least the level of Area Director or equivalent, who have knowledge of or are in charge of the matters mentioned in the transitional provisions themselves. The Transfer Committee will be in place for a period of 30 calendar days, during which its members will work with the various competent authorities to address the matters outlined in the aforementioned transitional provisions and to carry out any other actions deemed necessary for such purposes.",2486,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Sixteenth,Sixteenth,16,"The Council of the National System of Access to Public Information must be established no later than sixty calendar days after the entry into force of this Decree, following a call for this purpose issued by the Anti-Corruption and Good Government Secretariat. Until the legislatures of the corresponding federal entities harmonize their legal framework regarding access to public information in accordance with the provisions of the Fourth Transitional Provision of the Decree amending, adding to, and repealing various provisions of the Political Constitution of the United Mexican States, regarding organic simplification, published in the Official Gazette of the Federation on December 20, 2024, the person holding the local executive branch in question will be a member of the Council of the National System for Access to Public Information.",2510,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Seventeenth,Seventeenth,17,"The person holding the position of Executive Secretary of the Council of the National System of Access to Public Information will propose the rules of operation and functioning indicated in article 25, section XV, of the General Law of Transparency and Access to Public Information, to be approved at the installation of said Council.",2521,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Eighteenth,Eighteenth,18,"The oversight and discipline body of the Judiciary; the internal oversight bodies of the autonomous constitutional bodies; the internal comptroller's offices of the Congress of the Union; the National Electoral Institute; the Federal Center for Conciliation and Labor Registration; and the Federal Conciliation and Arbitration Court must, within a maximum period of thirty calendar days from the date this Decree enters into force, make the necessary adjustments to their internal regulations to comply with the provisions of this instrument. For the purposes of this transitional provision, each and every one of the procedures, processes and other means of appeal established in this instrument and other applicable regulations are suspended for a period of ninety calendar days from the date of entry into force of this Decree, with the exception of the reception and response to requests for information processed through the National Transparency Platform by the authorities mentioned in the previous paragraph.",2526,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Nineteenth,Nineteenth,19,"Until the legislatures of the federative entities issue legislation to harmonize their legal framework in accordance with this Decree, the bodies that guarantee them will continue to operate and carry out the powers conferred on the local guarantor authorities, as well as the bodies in charge of internal oversight or their counterparts in the legislative and judicial branches, as well as the autonomous constitutional bodies of the federative entities themselves in this Law.",2538,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
TRANS-Twentieth,Twentieth,20,"The Federal Judicial Branch shall establish District Courts and Circuit Collegiate Courts specializing in matters of access to public information and protection of personal data, within a period of no more than one hundred and twenty calendar days from the date of entry into force of this Decree, to which the amparo trials in these matters that are pending for resolution shall be referred. For the purposes of this transitional provision, the procedural deadlines and time limits for amparo proceedings regarding access to public information and the protection of personal data that are pending before District Courts and Circuit Collegiate Courts are hereby suspended for a period of one hundred and eighty calendar days from the date of entry into force of this Decree.",2544,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
