sanction_ground_id,marker,conduct,clause_id,article_id,source_line,source_document
SG-I,I.,"Acting with negligence, fraud or bad faith during the processing of requests for the exercise of ARCO rights;",Art132-I,Art132,2208,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-II,II.,"Failure to comply with the deadlines for responding to requests for the exercise of ARCO rights or to enforce the right in question, as provided for in this Law;",Art132-II,Art132,2213,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-III,III.,"Use, remove, disclose, hide, alter, mutilate, destroy or render useless, in whole or in part and in an improper manner, personal data that is in your custody or to which you have access or knowledge due to your employment, position or commission;",Art132-III,Art132,2216,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-IV,IV.,Intentionally processing personal data in violation of the principles and duties established in this Law;,Art132-IV,Art132,2220,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-V,V.,"Failure to have a privacy notice, or omitting from it any of the elements referred to in Article 21 of this Law, as the case may be, and other provisions that are applicable in the matter;",Art132-V,Art132,2225,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-VI,VI.,Fraudulently or negligently classifying personal data as confidential without meeting the criteria specified in the applicable legal provisions. The sanction will only be imposed when a prior ruling has become final regarding the criteria for classifying personal data;,Art132-VI,Art132,2229,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-VII,VII.,Failure to comply with the duty of confidentiality established in Article 36 of this Law;,Art132-VII,Art132,2235,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-VIII,VIII.,"Failure to establish security measures in accordance with the provisions of Articles 25, 26 and 27 of this Law;",Art132-VIII,Art132,2237,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-IX,IX.,"Present violations of personal data due to the lack of implementation of security measures in accordance with articles 25, 26 and 27 of this Law;",Art132-IX,Art132,2242,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-X,X.,Carry out the transfer of personal data in violation of the provisions of this Law;,Art132-X,Art132,2245,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-XI,XI.,Obstructing the acts of verification of the authority;,Art132-XI,Art132,2247,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-XII,XII.,Creating personal databases in violation of the provisions of Article 5 of this Law;,Art132-XII,Art132,2249,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-XIII,XIII.,"Failure to comply with the resolutions issued by the Secretariat or the guarantor Authorities, and",Art132-XIII,Art132,2251,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
SG-XIV,XIV.,"Failing to submit the annual report and other reports referred to in Article 40, Section VI of the General Law on Transparency and Access to Public Information, or submitting them late.",Art132-XIV,Art132,2253,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
