definition_id,term,definition_type,defined_in,definition_text,source_document
DEF_personal_information,personal information,statutory definition (Article 2),ART_2_SP1,"The term ""personal information"" means any of the following information relating to a living individual:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_pseudonymization,pseudonymization,statutory definition (Article 2),ART_2_SP1-2,"The term “pseudonymization” means a procedure to process personal information so that the information cannot identify a particular individual without additional information, by deleting in part, or replacing in whole or in part, such information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_processing,processing,statutory definition (Article 2),ART_2_SP2,"The term “processing” means the collection, generation, connecting, interlocking, recording, storage, retention, value-added processing, editing, searching, output, correction, recovery, use, provision, disclosure, and destruction of personal information and other similar activities;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_data_subject,data subject,statutory definition (Article 2),ART_2_SP3,The term “data subject” means an individual who is identifiable through the information processed and is the subject of that information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_personal_information_file,personal information file,statutory definition (Article 2),ART_2_SP4,The term “personal information file” means a set or sets of personal information arranged or organized in a systematic manner based on a certain rule for easy search of the personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_personal_information_controller,personal information controller,statutory definition (Article 2),ART_2_SP5,"The term “personal information controller” means a public institution, legal person, organization, individual, etc. that processes personal information directly or indirectly to operate the personal information files as part of its activities;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_public_institution,public institution,statutory definition (Article 2),ART_2_SP6,"The term ""public institution"" means any of the following institutions:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_visual_data_processing_devices,visual data processing devices,statutory definition (Article 2),ART_2_SP7,"The term ""visual data processing devices"" means the devices prescribed by Presidential Decree, which are continuously installed at a certain place to take pictures of persons or images of things, or transmit such pictures or images via wired or wireless networks.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_scientific_research,scientific research,statutory definition (Article 2),ART_2_SP8,"The term “scientific research” means research that applies scientific methods, such as technological development and demonstration, fundamental research, applied research and privately funded research.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_broadcasting_service_provider_etc,"broadcasting service provider, etc.",defined in-line (hereinafter referred to as),ART_39-14,"If entities falling under subparagraphs 3 (a) through (e), 6, 9, 12 and 14 of Article 2 of the Broadcasting Act (hereinafter referred to as “broadcasting service provider, etc.”) process the personal information of viewers, the broadcasting service provider, etc. shall observe regulations applicable to an information and communications service provider, etc. In such cases, “broadcasting service provider, etc.” shall be deemed to be “information and communications service provider, etc.” and “viewers” to be “users.” Special Cases for Broadcasting Service Providers",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_class_action_lawsuit,class action lawsuit,defined in-line (hereinafter referred to as),ART_51,Any of the following organizations may file a lawsuit (hereinafter referred to as “class action lawsuit”) with the court to prevent or suspend an infringement with respect to personal information if a personal information controller rejects or would not accept the collective dispute mediation under Article 49: Parties to Class Action Lawsuit,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_Protection_Commission,Protection Commission,defined in-line (hereinafter referred to as),ART_7_P1,"The Personal Information Protection Commission (hereinafter referred to as the “Protection Commission”) shall be established under the Prime Minister to independently conduct work relating to the protection of personal information. <Amended by Act No. 16930, 4. February, 2020 >",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
DEF_Master_Plan,Master Plan,defined in-line (hereinafter referred to as),ART_9_P1,"The Protection Commission shall establish a Master Plan to protect personal information (hereinafter referred to as a “Master Plan”) every three years in consultation with the heads of related central administrative agencies to ensure the protection of personal information and the rights and interests of data subjects. <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 13423, Jul. 24, 2015>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
