id,control_id,text
HITRUST-00.a-SPEC,HITRUST-00.a,"Establish, implement, maintain and continually improve an information security management program, including necessary policies, procedures, guidelines, and associated resources and controls, managed with a risk-based approach, to manage and protect information assets."
HITRUST-01.a-SPEC,HITRUST-01.a,"An access control policy shall be established, documented, and reviewed based on business and information security requirements."
HITRUST-01.b-SPEC,HITRUST-01.b,A formal user registration and de-registration procedure shall be implemented to enable assignment of access rights.
HITRUST-01.c-SPEC,HITRUST-01.c,The allocation and use of privileges shall be restricted and controlled.
HITRUST-01.d-SPEC,HITRUST-01.d,The allocation of passwords shall be controlled through a formal management process.
HITRUST-01.e-SPEC,HITRUST-01.e,Asset owners shall review users' access rights at regular intervals.
HITRUST-01.f-SPEC,HITRUST-01.f,Users shall be required to follow good security practices in the selection and use of passwords.
HITRUST-01.g-SPEC,HITRUST-01.g,Users shall ensure that unattended equipment has appropriate protection.
HITRUST-01.h-SPEC,HITRUST-01.h,A clear desk policy for papers and removable storage media and a clear screen policy for information processing facilities shall be adopted.
HITRUST-01.i-SPEC,HITRUST-01.i,A policy shall be established concerning the use of network services.
HITRUST-01.j-SPEC,HITRUST-01.j,Appropriate authentication methods shall be used to control access by remote users.
HITRUST-01.k-SPEC,HITRUST-01.k,Automatic equipment identification shall be considered as a means to authenticate connections.
HITRUST-01.l-SPEC,HITRUST-01.l,Physical and logical access to diagnostic and configuration ports shall be controlled.
HITRUST-01.m-SPEC,HITRUST-01.m,"Groups of information services, users, and information systems shall be segregated on networks."
HITRUST-01.n-SPEC,HITRUST-01.n,"For shared networks, especially those extending across the organization's boundaries, the capability of users to connect to the network shall be restricted."
HITRUST-01.o-SPEC,HITRUST-01.o,Routing controls shall be implemented for networks to ensure that computer connections and information flows do not breach the access control policy.
HITRUST-01.p-SPEC,HITRUST-01.p,Access to operating systems shall be controlled by a secure log-on procedure.
HITRUST-01.q-SPEC,HITRUST-01.q,All users shall have a unique identifier (user ID) for their personal and sole use.
HITRUST-01.r-SPEC,HITRUST-01.r,Systems for managing passwords shall be interactive and shall ensure quality passwords.
HITRUST-01.s-SPEC,HITRUST-01.s,The use of utility programs that might be capable of overriding system and application controls shall be restricted and tightly controlled.
HITRUST-01.t-SPEC,HITRUST-01.t,Inactive sessions shall shut down after a defined period of inactivity.
HITRUST-01.u-SPEC,HITRUST-01.u,Access to information and application system functions by users and support personnel shall be restricted in accordance with the defined access control policy.
HITRUST-01.v-SPEC,HITRUST-01.v,Restrictions on connection times shall be used to provide additional security for high-risk applications.
HITRUST-01.w-SPEC,HITRUST-01.w,Sensitive systems shall have a dedicated (isolated) computing environment.
HITRUST-01.x-SPEC,HITRUST-01.x,A formal policy and appropriate security measures shall be adopted to protect against the risks of using mobile computing.
HITRUST-01.y-SPEC,HITRUST-01.y,"Policy, operational plans and procedures shall be developed and implemented for teleworking activities."
HITRUST-02.a-SPEC,HITRUST-02.a,"Security roles and responsibilities of employees, contractors and third-party users shall be defined and documented."
HITRUST-02.b-SPEC,HITRUST-02.b,"Background verification checks on all candidates for employment, contractors, and third-party users shall be carried out."
