start_id,end_id,mapping_type,confidence,rationale,source_document_id,created_date
HITRUST-00.a,PR.IR-01,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory PR.IR-01 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,ID.IM,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory ID.IM based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,ID.IM-03,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory ID.IM-03 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,DE.CM-01,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory DE.CM-01 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,DE.CM-03,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory DE.CM-03 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,DE.AE-06,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory DE.AE-06 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.OC-02,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.OC-02 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.SC-03,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.SC-03 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.SC-04,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.SC-04 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.SC-07,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.SC-07 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,ID.RA-10,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory ID.RA-10 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.RM-05,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.RM-05 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.SC-01,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.SC-01 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
HITRUST-00.a,GV.SC-06,direct,High,HITRUST control 00.a (Information Security Management Program) maps to CSF subcategory GV.SC-06 based on objective alignment and control specification requirements,SOURCE-HITRUST-V20,30-10-2025
